GENERATOR,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
EOL ANGICO,0,10.456,10.793,10.431,10.705,10.95,10.941,11.311,11.019,11.034,11.014000000000001,10.994000000000002,10.974000000000002,10.954000000000002,10.934000000000003,10.914000000000003,10.894000000000004,10.874000000000004
EOL ANGICOS I,0,10.878,11.646,12.723,13.855,16.028,16.145,16.593,16.448,16.472,16.452,16.432000000000002,16.412000000000003,16.392000000000003,16.372000000000003,16.352000000000004,16.332000000000004,16.312000000000005
EOL ANGICOS II,0,10.878,11.646,12.723,13.855,16.028,16.145,16.593,16.448,16.472,16.452,16.432000000000002,16.412000000000003,16.392000000000003,16.372000000000003,16.352000000000004,16.332000000000004,16.312000000000005
EOL APELIOTES(RIACHAO VI),0,10.042,10.812,11.742,12.953,14.615,14.704,15.211,15.048,15.07,15.05,15.030000000000001,15.010000000000002,14.990000000000002,14.970000000000002,14.950000000000003,14.930000000000003,14.910000000000004
EOL AQUIBATA,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ARAPAPA,0,10.528,10.863,10.503,10.782,11.036,11.029,11.404,11.111,11.127,11.107000000000001,11.087000000000002,11.067000000000002,11.047000000000002,11.027000000000003,11.007000000000003,10.987000000000004,10.967000000000004
EOL ARARINHA AZUL,0,10.528,10.863,10.503,10.782,11.036,11.029,11.404,11.111,11.127,11.107000000000001,11.087000000000002,11.067000000000002,11.047000000000002,11.027000000000003,11.007000000000003,10.987000000000004,10.967000000000004
EOL ARATUA 1,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ARENA (RIACHAO VII),0,10.042,10.812,11.742,12.953,14.615,14.704,15.211,15.048,15.07,15.05,15.030000000000001,15.010000000000002,14.990000000000002,14.970000000000002,14.950000000000003,14.930000000000003,14.910000000000004
EOL ARIZONA 1,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL AROEIRA,0,10.64,11.454,12.387,13.523,14.909,15.004,15.539,15.384,15.407,15.387,15.367,15.347000000000001,15.327000000000002,15.307000000000002,15.287000000000003,15.267000000000003,15.247000000000003
EOL AROEIRA 1,0,10.81,11.14,11.257,11.799,12.258,12.272,12.689,12.448,12.466,12.446,12.426,12.406,12.386000000000001,12.366000000000001,12.346000000000002,12.326000000000002,12.306000000000003
EOL AROEIRA 2,0,10.81,11.14,11.257,11.799,12.258,12.272,12.689,12.448,12.466,12.446,12.426,12.406,12.386000000000001,12.366000000000001,12.346000000000002,12.326000000000002,12.306000000000003
EOL AROEIRA 3,0,10.81,11.14,11.257,11.799,12.258,12.272,12.689,12.448,12.466,12.446,12.426,12.406,12.386000000000001,12.366000000000001,12.346000000000002,12.326000000000002,12.306000000000003
EOL AROEIRA 4,0,10.81,11.14,11.257,11.799,12.258,12.272,12.689,12.448,12.466,12.446,12.426,12.406,12.386000000000001,12.366000000000001,12.346000000000002,12.326000000000002,12.306000000000003
EOL AROEIRA 5,0,10.81,11.14,11.257,11.799,12.258,12.272,12.689,12.448,12.466,12.446,12.426,12.406,12.386000000000001,12.366000000000001,12.346000000000002,12.326000000000002,12.306000000000003
EOL AROEIRA 6,0,10.81,11.14,11.257,11.799,12.258,12.272,12.689,12.448,12.466,12.446,12.426,12.406,12.386000000000001,12.366000000000001,12.346000000000002,12.326000000000002,12.306000000000003
EOL AROEIRA 7,0,10.81,11.14,11.257,11.799,12.258,12.272,12.689,12.448,12.466,12.446,12.426,12.406,12.386000000000001,12.366000000000001,12.346000000000002,12.326000000000002,12.306000000000003
EOL AROEIRA 8,0,10.81,11.14,11.257,11.799,12.258,12.272,12.689,12.448,12.466,12.446,12.426,12.406,12.386000000000001,12.366000000000001,12.346000000000002,12.326000000000002,12.306000000000003
EOL ASA BRANCA I,0,10.64,11.454,12.387,13.523,14.909,15.004,15.539,15.384,15.407,15.387,15.367,15.347000000000001,15.327000000000002,15.307000000000002,15.287000000000003,15.267000000000003,15.247000000000003
