USINA;CEG;CÓD. ONS;UF;MUST;CLASSIFICAÇÃO;CICLO TC N-1;CICLO TB N;TC N;TUST Estab.;TUST RB
UFV JANAUBA 16;040872-7;;MG;50,0;ENVOLTÓRIA;;10,978;10,978;;10,978
UFV JANAUBA 17;040873-5;;MG;50,0;ENVOLTÓRIA;;10,978;10,978;;10,978
UFV JANAUBA 18;040874-3;;MG;50,0;ENVOLTÓRIA;;10,978;10,978;;10,978
UFV JANAUBA 19;040875-1;;MG;50,0;ENVOLTÓRIA;;10,978;10,978;;10,978
UFV JANAUBA 2;040858-1;;MG;50,0;ENVOLTÓRIA;;10,978;10,978;;10,978
UFV JANAUBA 20;040876-0;;MG;50,0;ENVOLTÓRIA;;10,978;10,978;;10,978
UFV JANAUBA 3;040859-0;;MG;50,0;ENVOLTÓRIA;;10,978;10,978;;10,978
UFV JANAUBA 4;040860-3;;MG;50,0;ENVOLTÓRIA;;10,978;10,978;;10,978
UFV JANAUBA 5;040861-1;;MG;50,0;ENVOLTÓRIA;;10,978;10,978;;10,978
UFV JANAUBA 6;040862-0;;MG;50,0;ENVOLTÓRIA;;10,978;10,978;;10,978
UFV JANAUBA 7;040863-8;;MG;50,0;ENVOLTÓRIA;;10,978;10,978;;10,978
UFV JANAUBA 8;040864-6;;MG;50,0;ENVOLTÓRIA;;10,978;10,978;;10,978
UFV JANAUBA 9;040865-4;;MG;50,0;ENVOLTÓRIA;;10,978;10,978;;10,978
UFV JUAZEIRO SOLAR I;033928-8;;BA;30,0;ENVOLTÓRIA;;13,801;13,801;;13,801
UFV JUAZEIRO SOLAR II;033929-6;;BA;30,0;ENVOLTÓRIA;;13,801;13,801;;13,801
UFV JUAZEIRO SOLAR III;033930-0;;BA;30,0;ENVOLTÓRIA;;13,801;13,801;;13,801
UFV JUAZEIRO SOLAR IV;033931-8;;BA;30,0;ENVOLTÓRIA;;13,801;13,801;;13,801
UFV JUAZEIRO V;043284-9;;BA;45,9;ENVOLTÓRIA;;13,801;13,801;;13,801
UFV JUAZEIRO VI;043285-7;;BA;45,9;ENVOLTÓRIA;;13,801;13,801;;13,801
UFV JUAZEIRO VII;043286-5;;BA;45,9;ENVOLTÓRIA;;13,801;13,801;;13,801
UFV JUAZEIRO VIII;044754-4;;BA;14,7;ENVOLTÓRIA;;13,801;13,801;;13,801
UFV LAPA 2;034437-0;;BA;30,0;ENVOLTÓRIA;;11,331;11,331;;11,331
UFV LAPA 3;034333-1;;BA;30,0;ENVOLTÓRIA;;11,331;11,331;;11,331
UFV LAR DO SOL 1;037830-5;;MG;48,1;ENVOLTÓRIA;;10,012;10,012;;10,012
UFV LAR DO SOL 10;037839-9;;MG;48,1;ENVOLTÓRIA;;10,012;10,012;;10,012
UFV LAR DO SOL 2;037831-3;;MG;48,1;ENVOLTÓRIA;;10,012;10,012;;10,012
UFV LAR DO SOL 3;037832-1;;MG;48,1;ENVOLTÓRIA;;10,012;10,012;;10,012
UFV LAR DO SOL 4;037833-0;;MG;48,1;ENVOLTÓRIA;;10,012;10,012;;10,012
UFV LAR DO SOL 5;037834-8;;MG;48,1;ENVOLTÓRIA;;10,012;10,012;;10,012
UFV LAR DO SOL 6;037835-6;;MG;48,1;ENVOLTÓRIA;;10,012;10,012;;10,012
UFV LAR DO SOL 7;037836-4;;MG;48,1;ENVOLTÓRIA;;10,012;10,012;;10,012
UFV LAR DO SOL 8;037837-2;;MG;48,1;ENVOLTÓRIA;;10,012;10,012;;10,012
UFV LAR DO SOL 9;037838-0;;MG;48,1;ENVOLTÓRIA;;10,012;10,012;;10,012
UFV LAVRAS 1;037865-8;;CE;27,0;ENVOLTÓRIA;;13,469;13,469;;13,469
UFV LAVRAS 2;037866-6;;CE;27,0;ENVOLTÓRIA;;13,469;13,469;;13,469
UFV LAVRAS 3;037867-4;;CE;27,0;ENVOLTÓRIA;;13,469;13,469;;13,469
UFV LAVRAS 4;037868-2;;CE;27,0;ENVOLTÓRIA;;13,469;13,469;;13,469
UFV LAVRAS 5;037869-0;;CE;27,0;ENVOLTÓRIA;;13,469;13,469;;13,469
UFV LAVRAS 6;037870-4;;RN;25,6;ENVOLTÓRIA;;15,867;15,867;;15,867
UFV LAVRAS 7;037871-2;;RN;19,8;ENVOLTÓRIA;;15,867;15,867;;15,867
UFV LAVRAS 8;037872-0;;RN;19,8;ENVOLTÓRIA;;15,867;15,867;;15,867
UFV LEO SILVEIRA 21;051983-9;;MG;50,0;ENVOLTÓRIA;;11,435;11,435;;11,435
UFV LEO SILVEIRA 22;051984-7;;MG;50,0;ENVOLTÓRIA;;11,435;11,435;;11,435
UFV LEO SILVEIRA 23;051985-5;;MG;50,0;ENVOLTÓRIA;;11,435;11,435;;11,435
UFV LEO SILVEIRA 24;051986-3;;MG;50,0;ENVOLTÓRIA;;11,435;11,435;;11,435
UFV LEO SILVEIRA 25;051987-1;;MG;50,0;ENVOLTÓRIA;;11,435;11,435;;11,435
UFV LEO SILVEIRA 26;051988-0;;MG;50,0;ENVOLTÓRIA;;11,435;11,435;;11,435
UFV LEO SILVEIRA 27;051989-8;;MG;50,0;ENVOLTÓRIA;;11,435;11,435;;11,435
UFV LEO SILVEIRA 28;051990-1;;MG;50,0;ENVOLTÓRIA;;11,435;11,435;;11,435
UFV LEO SILVEIRA 29;051991-0;;MG;50,0;ENVOLTÓRIA;;11,435;11,435;;11,435
UFV LEO SILVEIRA 30;051992-8;;MG;50,0;ENVOLTÓRIA;;11,435;11,435;;11,435
UFV LEO SILVEIRA 31;051993-6;;MG;50,0;ENVOLTÓRIA;;11,435;11,435;;11,435
UFV LEO SILVEIRA 32;051994-4;;MG;50,0;ENVOLTÓRIA;;11,435;11,435;;11,435
UFV LEO SILVEIRA 33;051995-2;;MG;50,0;ENVOLTÓRIA;;11,435;11,435;;11,435
UFV LEO SILVEIRA 34;051996-0;;MG;50,0;ENVOLTÓRIA;;11,435;11,435;;11,435
UFV LEO SILVEIRA 35;051997-9;;MG;50,0;ENVOLTÓRIA;;11,435;11,435;;11,435
UFV LEO SILVEIRA 36;051998-7;;MG;50,0;ENVOLTÓRIA;;11,435;11,435;;11,435
UFV LEO SILVEIRA 37;051999-5;;MG;50,0;ENVOLTÓRIA;;11,435;11,435;;11,435
UFV LEO SILVEIRA 38;052000-4;;MG;50,0;ENVOLTÓRIA;;11,435;11,435;;11,435
UFV LEO SILVEIRA 39;052001-2;;MG;50,0;ENVOLTÓRIA;;11,435;11,435;;11,435
UFV LEO SILVEIRA 40;052002-0;;MG;50,0;ENVOLTÓRIA;;11,435;11,435;;11,435
UFV LINS 01;;;SP;90,0;ENVOLTÓRIA;;6,289;6,289;;6,289
UFV LINS 02;;;SP;92,0;ENVOLTÓRIA;;6,289;6,289;;6,289
UFV LUZEIRO 10;052383-6;;BA;30,4;ENVOLTÓRIA;;11,239;11,239;;11,239
UFV LUZEIRO 11;052384-4;;BA;30,4;ENVOLTÓRIA;;11,239;11,239;;11,239
UFV LUZEIRO 12;052385-2;;BA;30,4;ENVOLTÓRIA;;11,239;11,239;;11,239
UFV LUZEIRO 13;052386-0;;BA;30,4;ENVOLTÓRIA;;11,239;11,239;;11,239
UFV LUZEIRO 14;052387-9;;BA;16,7;ENVOLTÓRIA;;11,239;11,239;;11,239
UFV LUZEIRO 15;052388-7;;BA;30,4;ENVOLTÓRIA;;11,239;11,239;;11,239
UFV LUZEIRO 16;052389-5;;BA;30,4;ENVOLTÓRIA;;11,239;11,239;;11,239
UFV LUZEIRO 17;052390-9;;BA;30,4;ENVOLTÓRIA;;11,239;11,239;;11,239
UFV LUZEIRO 18;052391-7;;BA;16,7;ENVOLTÓRIA;;11,239;11,239;;11,239
UFV LUZIA 2;044469-3;;BA;50,0;ENVOLTÓRIA;;13,051;13,051;;13,051
UFV LUZIA 3;044470-7;;BA;50,0;ENVOLTÓRIA;;13,051;13,051;;13,051
UFV MARANGATU 1;037786-4;;CE;29,8;ENVOLTÓRIA;;13,470;13,470;;13,470
UFV MARANGATU 10;038352-0;;CE;29,8;ENVOLTÓRIA;;13,470;13,470;;13,470
UFV MARANGATU 11;038353-8;;CE;29,8;ENVOLTÓRIA;;13,470;13,470;;13,470
UFV MARANGATU 12;038354-6;;CE;29,8;ENVOLTÓRIA;;13,470;13,470;;13,470
UFV MARANGATU 2;037787-2;;CE;29,8;ENVOLTÓRIA;;13,470;13,470;;13,470
UFV MARANGATU 3;037788-0;;CE;29,8;ENVOLTÓRIA;;13,470;13,470;;13,470
UFV MARANGATU 4;037783-0;;CE;29,8;ENVOLTÓRIA;;13,470;13,470;;13,470
UFV MARANGATU 5;037784-8;;CE;29,8;ENVOLTÓRIA;;13,470;13,470;;13,470
UFV MARANGATU 6;037785-6;;CE;29,8;ENVOLTÓRIA;;13,470;13,470;;13,470
UFV MARANGATU 7;038349-0;;CE;29,8;ENVOLTÓRIA;;13,470;13,470;;13,470
UFV MARANGATU 8;038350-3;;CE;29,8;ENVOLTÓRIA;;13,470;13,470;;13,470
UFV MARANGATU 9;038351-1;;CE;29,8;ENVOLTÓRIA;;13,470;13,470;;13,470
UFV MAURITI 1;038364-3;;CE;49,1;ENVOLTÓRIA;;14,614;14,614;;14,614
UFV MAURITI 2;038365-1;;CE;24,6;ENVOLTÓRIA;;14,614;14,614;;14,614
UFV MAURITI 3;038366-0;;CE;49,1;ENVOLTÓRIA;;14,614;14,614;;14,614
UFV MAURITI 4;038367-8;;CE;49,1;ENVOLTÓRIA;;14,614;14,614;;14,614
UFV MAURITI 5;038368-6;;CE;49,1;ENVOLTÓRIA;;14,614;14,614;;14,614
UFV MAURITI 6;038369-4;;CE;49,1;ENVOLTÓRIA;;14,614;14,614;;14,614
UFV MAURITI 7;038370-8;;CE;14,7;ENVOLTÓRIA;;14,614;14,614;;14,614
UFV MAURITI 8;038371-6;;CE;49,1;ENVOLTÓRIA;;14,614;14,614;;14,614
UFV MAURITI 9;038372-4;;CE;9,8;ENVOLTÓRIA;;14,614;14,614;;14,614
UFV MENDUBIM I;037749-0;;RN;36,0;ENVOLTÓRIA;;15,867;15,867;;15,867
UFV MENDUBIM II;037750-3;;RN;31,5;ENVOLTÓRIA;;15,867;15,867;;15,867
UFV MENDUBIM III;037751-1;;RN;36,0;ENVOLTÓRIA;;15,867;15,867;;15,867
UFV MENDUBIM IV;037752-0;;RN;36,0;ENVOLTÓRIA;;15,867;15,867;;15,867
UFV MENDUBIM IX;037770-8;;RN;36,0;ENVOLTÓRIA;;15,867;15,867;;15,867
UFV MENDUBIM V;037753-8;;RN;31,5;ENVOLTÓRIA;;15,867;15,867;;15,867
UFV MENDUBIM VI;037754-6;;RN;31,5;ENVOLTÓRIA;;15,867;15,867;;15,867
UFV MENDUBIM VII;037755-4;;RN;31,5;ENVOLTÓRIA;;15,867;15,867;;15,867
UFV MENDUBIM VIII;037769-4;;RN;31,5;ENVOLTÓRIA;;15,867;15,867;;15,867
UFV MENDUBIM X;037771-6;;RN;22,5;ENVOLTÓRIA;;15,867;15,867;;15,867
UFV MENDUBIM XI;037772-4;;RN;53,9;ENVOLTÓRIA;;15,867;15,867;;15,867
UFV MENDUBIM XII;037773-2;;RN;27,0;ENVOLTÓRIA;;15,867;15,867;;15,867
UFV MENDUBIM XIII;037774-0;;RN;36,0;ENVOLTÓRIA;;15,867;15,867;;15,867
UFV MILAGRES I;044573-8;;CE;32,7;ENVOLTÓRIA;;14,806;14,806;;14,806
UFV MILAGRES II;044574-6;;CE;32,7;ENVOLTÓRIA;;14,806;14,806;;14,806
UFV MILAGRES III;044575-4;;CE;32,7;ENVOLTÓRIA;;14,806;14,806;;14,806
UFV MILAGRES IV;044579-7;;CE;32,7;ENVOLTÓRIA;;14,806;14,806;;14,806
UFV MILAGRES V;044576-2;;CE;32,7;ENVOLTÓRIA;;14,806;14,806;;14,806
UFV MINAS DO SOL 03;047356-1;;BA;25,0;ENVOLTÓRIA;;11,108;11,108;;11,108
UFV MINAS DO SOL 05;047358-8;;BA;25,0;ENVOLTÓRIA;;11,108;11,108;;11,108
UFV MINAS DO SOL 06;047359-6;;BA;25,0;ENVOLTÓRIA;;11,108;11,108;;11,108
UFV MONTE VERDE SOLAR I;045153-3;;PE;46,5;ENVOLTÓRIA;;15,071;15,071;;15,071
UFV MONTE VERDE SOLAR II;045154-1;;SP;46,0;ENVOLTÓRIA;;5,361;5,361;;5,361
UFV MONTE VERDE SOLAR III;045155-0;;SP;37,3;ENVOLTÓRIA;;5,361;5,361;;5,361
UFV MONTE VERDE SOLAR IV;045156-8;;SP;46,0;ENVOLTÓRIA;;5,361;5,361;;5,361
UFV MONTE VERDE SOLAR V;045020-0;;SP;45,8;ENVOLTÓRIA;;5,361;5,361;;5,361
UFV MONTE VERDE SOLAR VI;045022-7;;PE;37,3;ENVOLTÓRIA;;15,071;15,071;;15,071
UFV MONTE VERDE SOLAR VII;045021-9;;SP;28,8;ENVOLTÓRIA;;5,361;5,361;;5,361
UFV MUNDO NOVO I;040195-1;;BA;44,0;ENVOLTÓRIA;;13,538;13,538;;13,538
UFV MUNDO NOVO II;040196-0;;BA;46,0;ENVOLTÓRIA;;13,538;13,538;;13,538
UFV MUNDO NOVO III;040198-6;;BA;46,0;ENVOLTÓRIA;;13,538;13,538;;13,538
UFV MUNDO NOVO IV;040197-8;;BA;46,0;ENVOLTÓRIA;;13,538;13,538;;13,538
UFV NOVA OLINDA 10;033129-5;;PI;30,0;ENVOLTÓRIA;;13,356;13,356;;13,356
UFV NOVA OLINDA 11;033130-9;;PI;30,0;ENVOLTÓRIA;;13,356;13,356;;13,356
UFV NOVA OLINDA 12;033131-7;;PI;30,0;ENVOLTÓRIA;;13,356;13,356;;13,356
UFV NOVA OLINDA 13;033132-5;;PI;30,0;ENVOLTÓRIA;;13,356;13,356;;13,356
UFV NOVA OLINDA 14;033133-3;;PI;30,0;ENVOLTÓRIA;;13,356;13,356;;13,356
UFV NOVA OLINDA 8;033127-9;;PI;30,0;ENVOLTÓRIA;;13,356;13,356;;13,356
UFV NOVA OLINDA 9;033128-7;;PI;30,0;ENVOLTÓRIA;;13,356;13,356;;13,356
UFV NOVO TEXAS 1;049960-9;;BA;30,0;ENVOLTÓRIA;;11,801;11,801;;11,801
UFV NOVO TEXAS 2;049961-7;;BA;30,0;ENVOLTÓRIA;;11,801;11,801;;11,801
UFV OLHO DO SOL 1;040698-8;;PI;29,6;ENVOLTÓRIA;;13,037;13,037;;13,037
UFV OLHO DO SOL 2;040699-6;;PI;29,7;ENVOLTÓRIA;;13,037;13,037;;13,037
UFV OLHO DO SOL 3;040700-3;;PI;29,7;ENVOLTÓRIA;;13,037;13,037;;13,037
UFV OLHO DO SOL 4;040701-1;;PI;29,7;ENVOLTÓRIA;;13,037;13,037;;13,037
UFV OLHO DO SOL 5;040702-0;;PI;29,8;ENVOLTÓRIA;;13,037;13,037;;13,037
UFV OLHO DO SOL 6;040703-8;;PI;29,7;ENVOLTÓRIA;;13,037;13,037;;13,037
UFV OLHO DO SOL 7;040704-6;;PI;29,7;ENVOLTÓRIA;;13,037;13,037;;13,037
UFV OLHO DO SOL 8;040705-4;;PI;29,6;ENVOLTÓRIA;;13,037;13,037;;13,037
UFV PANATI 1;038389-9;;CE;29,3;ENVOLTÓRIA;;14,705;14,705;;14,705
UFV PANATI 2;038390-2;;CE;29,3;ENVOLTÓRIA;;14,705;14,705;;14,705
UFV PANATI 3;038392-9;;CE;29,3;ENVOLTÓRIA;;14,705;14,705;;14,705
UFV PANATI 4;038393-7;;CE;29,3;ENVOLTÓRIA;;14,705;14,705;;14,705
UFV PANATI 5;038394-5;;CE;29,3;ENVOLTÓRIA;;14,705;14,705;;14,705
UFV PANATI 6;038395-3;;CE;29,3;ENVOLTÓRIA;;14,705;14,705;;14,705
UFV PANORAMA 01;;;SP;100,0;ENVOLTÓRIA;;6,438;6,438;;6,438
UFV PANORAMA 02;;;SP;100,0;ENVOLTÓRIA;;6,438;6,438;;6,438
UFV PANORAMA 03;;;SP;100,0;ENVOLTÓRIA;;6,438;6,438;;6,438
UFV PITOMBEIRA;034037-5;;CE;46,0;ENVOLTÓRIA;;15,393;15,393;;15,393
UFV PROFA. HELEY DE ABREU SILVA;;;MG;50,0;ENVOLTÓRIA;;9,203;9,203;;9,203
UFV RAIOS DO PARNAIBA I;043203-2;;PE;30,0;ENVOLTÓRIA;;15,071;15,071;;15,071
UFV RAIOS DO PARNAIBA II;044294-1;;PE;30,0;ENVOLTÓRIA;;15,071;15,071;;15,071
UFV RAIOS DO PARNAIBA III;043204-0;;PE;30,0;ENVOLTÓRIA;;15,071;15,071;;15,071
UFV RAIOS DO PARNAIBA IX;043205-9;;PE;30,0;ENVOLTÓRIA;;15,052;15,052;;15,052
UFV RAIOS DO PARNAIBA V;043209-1;;PE;30,0;ENVOLTÓRIA;;15,071;15,071;;15,071
UFV RAIOS DO PARNAIBA VI;043206-7;;PE;30,0;ENVOLTÓRIA;;15,071;15,071;;15,071
UFV RAIOS DO PARNAIBA VII;043207-5;;PE;30,0;ENVOLTÓRIA;;15,071;15,071;;15,071
UFV RAIOS DO PARNAIBA VIII;043212-1;;PE;30,0;ENVOLTÓRIA;;15,052;15,052;;15,052
UFV RIACHO DA SERRA 4;046083-4;;BA;61,0;ENVOLTÓRIA;;12,722;12,722;;12,722
UFV RIACHO DA SERRA 5;046582-8;;BA;42,7;ENVOLTÓRIA;;12,722;12,722;;12,722
UFV RIACHO DA SERRA 6;046583-6;;BA;42,7;ENVOLTÓRIA;;12,722;12,722;;12,722
UFV RIACHO DA SERRA 7;046584-4;;BA;36,6;ENVOLTÓRIA;;12,722;12,722;;12,722
UFV RIACHO DA SERRA 8;046585-2;;BA;41,2;ENVOLTÓRIA;;12,722;12,722;;12,722
UFV RIBEIRO GONCALVES I;041904-4;;PI;16,8;ENVOLTÓRIA;;13,227;13,227;;13,227
UFV RIBEIRO GONCALVES II;041905-2;;PI;36,8;ENVOLTÓRIA;;13,227;13,227;;13,227
UFV RIBEIRO GONCALVES III;041906-0;;PI;36,8;ENVOLTÓRIA;;13,227;13,227;;13,227
UFV RIBEIRO GONCALVES IV;041907-9;;PI;20,1;ENVOLTÓRIA;;13,227;13,227;;13,227
UFV RIBEIRO GONCALVES VI;041909-5;;PI;33,1;ENVOLTÓRIA;;13,227;13,227;;13,227
UFV RIBEIRO GONCALVES VII;044295-0;;PI;29,8;ENVOLTÓRIA;;13,227;13,227;;13,227
UFV RIBEIRO GONCALVES VIII;044296-8;;PI;29,8;ENVOLTÓRIA;;13,227;13,227;;13,227
UFV RIO DO PEIXE II;043215-6;;PB;30,0;ENVOLTÓRIA;;14,376;14,376;;14,376
UFV SANTA LUZIA 1;049685-5;;PB;49,3;ENVOLTÓRIA;;14,924;14,924;;14,924
UFV SANTA LUZIA 15;049699-5;;PB;49,3;ENVOLTÓRIA;;14,924;14,924;;14,924
UFV SANTA LUZIA 16;050865-9;;PB;49,3;ENVOLTÓRIA;;14,924;14,924;;14,924
UFV SANTA LUZIA 17;050866-7;;PB;49,3;ENVOLTÓRIA;;14,924;14,924;;14,924
UFV SANTA LUZIA 18;050867-5;;PB;49,3;ENVOLTÓRIA;;14,924;14,924;;14,924
UFV SANTA LUZIA 19;050868-3;;PB;49,3;ENVOLTÓRIA;;14,924;14,924;;14,924
UFV SANTA LUZIA 2;049686-3;;PB;49,3;ENVOLTÓRIA;;14,924;14,924;;14,924
UFV SANTA LUZIA 20;050869-1;;PB;49,3;ENVOLTÓRIA;;14,924;14,924;;14,924
UFV SANTA LUZIA 21;050870-5;;PB;49,3;ENVOLTÓRIA;;14,924;14,924;;14,924
UFV SANTA LUZIA 3;049687-1;;PB;49,3;ENVOLTÓRIA;;14,924;14,924;;14,924
UFV SANTA LUZIA 4;049688-0;;PB;49,3;ENVOLTÓRIA;;14,924;14,924;;14,924
UFV SANTA LUZIA 6;049690-1;;PB;49,3;ENVOLTÓRIA;;14,924;14,924;;14,924
UFV SANTA LUZIA 8;049692-8;;PB;49,3;ENVOLTÓRIA;;14,924;14,924;;14,924
UFV SANTA LUZIA IX;049693-6;;PB;49,3;ENVOLTÓRIA;;14,924;14,924;;14,924
UFV SANTA LUZIA V;049689-8;;PB;49,3;ENVOLTÓRIA;;14,924;14,924;;14,924
UFV SANTA LUZIA VII;049691-0;;PB;49,3;ENVOLTÓRIA;;14,924;14,924;;14,924
UFV SAO FRANCISCO I;054447-7;;MG;49,9;ENVOLTÓRIA;;10,978;10,978;;10,978
UFV SAO FRANCISCO II;054448-5;;MG;49,9;ENVOLTÓRIA;;10,978;10,978;;10,978
UFV SAO FRANCISCO III;054449-3;;MG;49,9;ENVOLTÓRIA;;10,978;10,978;;10,978
UFV SAO GONCALO 1;033841-9;;PI;45,7;ENVOLTÓRIA;;12,781;12,781;;12,781
UFV SAO GONCALO 10;037577-2;;PI;50,0;ENVOLTÓRIA;;12,781;12,781;;12,781
UFV SAO GONCALO 11;037578-0;;PI;34,5;ENVOLTÓRIA;;12,742;12,742;;12,742
UFV SAO GONCALO 12;037579-9;;PI;34,5;ENVOLTÓRIA;;12,742;12,742;;12,742
UFV SAO GONCALO 14;037581-0;;PI;42,4;ENVOLTÓRIA;;12,742;12,742;;12,742
UFV SAO GONCALO 15;037582-9;;PI;42,4;ENVOLTÓRIA;;12,742;12,742;;12,742
UFV SAO GONCALO 17;037584-5;;PI;42,4;ENVOLTÓRIA;;12,742;12,742;;12,742
UFV SAO GONCALO 18;037585-3;;PI;42,4;ENVOLTÓRIA;;12,742;12,742;;12,742
UFV SAO GONCALO 19;037586-1;;PI;42,4;ENVOLTÓRIA;;12,742;12,742;;12,742
UFV SAO GONCALO 2;033842-7;;PI;50,0;ENVOLTÓRIA;;12,781;12,781;;12,781
UFV SAO GONCALO 21;037588-8;;PI;50,0;ENVOLTÓRIA;;12,781;12,781;;12,781
UFV SAO GONCALO 22;037589-6;;PI;50,0;ENVOLTÓRIA;;12,781;12,781;;12,781
UFV SAO GONCALO 3;033843-5;;PI;45,7;ENVOLTÓRIA;;12,781;12,781;;12,781
UFV SAO GONCALO 4;033844-3;;PI;50,0;ENVOLTÓRIA;;12,781;12,781;;12,781
UFV SAO GONCALO 5;033845-1;;PI;50,0;ENVOLTÓRIA;;12,781;12,781;;12,781
UFV SAO GONCALO 6;033846-0;;PI;45,7;ENVOLTÓRIA;;12,742;12,742;;12,742
UFV SAO GONCALO 7;033847-8;;PI;34,5;ENVOLTÓRIA;;12,742;12,742;;12,742
UFV SAO GONCALO 8;033849-4;;PI;34,5;ENVOLTÓRIA;;12,742;12,742;;12,742
UFV SAO PEDRO II;033782-0;;BA;29,8;ENVOLTÓRIA;;11,239;11,239;;11,239
UFV SAO PEDRO IV;033784-6;;BA;29,8;ENVOLTÓRIA;;11,239;11,239;;11,239
UFV SELECAO 1;044871-0;;CE;40,0;ENVOLTÓRIA;;14,705;14,705;;14,705
UFV SELECAO 2;044872-9;;CE;40,0;ENVOLTÓRIA;;14,705;14,705;;14,705
UFV SELECAO 3;044873-7;;CE;40,0;ENVOLTÓRIA;;14,705;14,705;;14,705
UFV SELECAO 4;044874-5;;CE;40,0;ENVOLTÓRIA;;14,705;14,705;;14,705
UFV SELECAO 5;046702-2;;CE;40,0;ENVOLTÓRIA;;14,705;14,705;;14,705
UFV SERRA DO MATO III;044495-2;;PE;46,5;ENVOLTÓRIA;;15,052;15,052;;15,052
UFV SERRA DO MATO IV;044496-0;;PE;53,3;ENVOLTÓRIA;;15,052;15,052;;15,052
UFV SERRA DO MEL I;037811-9;;RN;137,5;ENVOLTÓRIA;;15,722;15,722;;15,722
UFV SERRA DO MEL II;037812-7;;RN;103,1;ENVOLTÓRIA;;15,722;15,722;;15,722
UFV SERRA DO MEL III;047424-0;;RN;45,7;ENVOLTÓRIA;;15,722;15,722;;15,722
UFV SERRA DO MEL IV;047425-8;;RN;45,7;ENVOLTÓRIA;;15,722;15,722;;15,722
UFV SERRA DO MEL V;047422-3;;RN;45,7;ENVOLTÓRIA;;15,722;15,722;;15,722
UFV SERRA DO MEL VI;047423-1;;RN;45,7;ENVOLTÓRIA;;15,722;15,722;;15,722
UFV SERRA DO MEL VII;047420-7;;RN;48,1;ENVOLTÓRIA;;15,485;15,485;;15,485
UFV SERTAO SOLAR BARREIRAS I;033469-3;;BA;28,0;ENVOLTÓRIA;;10,356;10,356;;10,356
UFV SERTAO SOLAR BARREIRAS II;033470-7;;BA;28,0;ENVOLTÓRIA;;10,356;10,356;;10,356
UFV SERTAO SOLAR BARREIRAS III;033471-5;;BA;28,0;ENVOLTÓRIA;;10,356;10,356;;10,356
UFV SERTAO SOLAR BARREIRAS IV;033473-1;;BA;28,0;ENVOLTÓRIA;;10,356;10,356;;10,356
UFV SERTAO SOLAR BARREIRAS V;033474-0;;CE;27,5;ENVOLTÓRIA;;16,360;16,360;;16,360
UFV SERTAO SOLAR BARREIRAS XIX;044510-0;;BA;49,5;ENVOLTÓRIA;;11,801;11,801;;11,801
UFV SERTAO SOLAR BARREIRAS XV;044511-8;;BA;49,5;ENVOLTÓRIA;;11,801;11,801;;11,801
UFV SERTAO SOLAR BARREIRAS XVI;044512-6;;BA;49,5;ENVOLTÓRIA;;11,801;11,801;;11,801
UFV SERTAO SOLAR BARREIRAS XVII;044513-4;;BA;49,5;ENVOLTÓRIA;;11,801;11,801;;11,801
UFV SERTAO SOLAR BARREIRAS XVIII;044514-2;;BA;49,5;ENVOLTÓRIA;;11,801;11,801;;11,801
UFV SERTAO SOLAR BARREIRAS XX;044515-0;;BA;49,5;ENVOLTÓRIA;;11,801;11,801;;11,801
UFV SERTAO SOLAR BARREIRAS XXI;049771-1;;BA;49,5;ENVOLTÓRIA;;11,801;11,801;;11,801
UFV SITIA 1;038396-1;;CE;24,4;ENVOLTÓRIA;;14,705;14,705;;14,705
UFV SITIA 2;038397-0;;CE;24,4;ENVOLTÓRIA;;14,705;14,705;;14,705
UFV SKY ARINOS IX;047372-3;;MG;49,5;ENVOLTÓRIA;;10,139;10,139;;10,139
UFV SKY ARINOS X;047373-1;;MG;49,5;ENVOLTÓRIA;;10,139;10,139;;10,139
UFV SKY ARINOS XI;047374-0;;MG;49,5;ENVOLTÓRIA;;10,139;10,139;;10,139
UFV SKY ARINOS XII;047375-8;;MG;49,5;ENVOLTÓRIA;;10,139;10,139;;10,139
UFV SKY ARINOS XIII;047376-6;;MG;49,5;ENVOLTÓRIA;;10,139;10,139;;10,139
UFV SKY ARINOS XIV;047377-4;;MG;49,5;ENVOLTÓRIA;;10,139;10,139;;10,139
UFV SKY ARINOS XV;048772-4;;MG;49,5;ENVOLTÓRIA;;10,139;10,139;;10,139
UFV SKY ARINOS XVI;048773-2;;MG;49,5;ENVOLTÓRIA;;10,139;10,139;;10,139
UFV SKY ARINOS XVII;048774-0;;MG;49,5;ENVOLTÓRIA;;10,139;10,139;;10,139
UFV SKY ARINOS XVIII;048775-9;;MG;49,5;ENVOLTÓRIA;;10,139;10,139;;10,139
UFV SOBRADO1;034387-0;;BA;30,0;ENVOLTÓRIA;;13,801;13,801;;13,801
UFV SOL DO PIAUI;046552-6;;PI;68,0;ENVOLTÓRIA;;14,263;14,263;;14,263
UFV SOL DO SERTAO VIII;032066-8;;BA;93,3;ENVOLTÓRIA;;11,881;11,881;;11,881
UFV SOL DO SERTAO XII;032050-1;;BA;53,3;ENVOLTÓRIA;;11,881;11,881;;11,881
UFV SOL DO SERTAO XIII;032052-8;;BA;73,3;ENVOLTÓRIA;;11,881;11,881;;11,881
UFV SOL DO SERTAO XIV;032065-0;;BA;20,0;ENVOLTÓRIA;;11,881;11,881;;11,881
UFV SOL DO SERTAO XXXV;032049-8;;BA;26,7;ENVOLTÓRIA;;11,881;11,881;;11,881
