USINA;CEG;CÓD. ONS;UF;MUST;CLASSIFICAÇÃO;CICLO TC N-1;CICLO TB N;TC N;TUST Estab.;TUST RB
UFV BELMONTE 1-2;040726-7;;SP;50,0;ENVOLTÓRIA;;6,734;6,734;;6,734
UFV BELMONTE 1-3;040727-5;;SP;50,0;ENVOLTÓRIA;;6,734;6,734;;6,734
UFV BELMONTE 1-4;040728-3;;SP;5,0;ENVOLTÓRIA;;6,438;6,438;;6,438
UFV BELMONTE 2-1;040735-6;;PE;50,0;ENVOLTÓRIA;;15,052;15,052;;15,052
UFV BELMONTE 2-2;040736-4;;PE;50,0;ENVOLTÓRIA;;15,052;15,052;;15,052
UFV BELMONTE 2-3;040737-2;;PE;50,0;ENVOLTÓRIA;;15,052;15,052;;15,052
UFV BELMONTE 2-4;040738-0;;PE;50,0;ENVOLTÓRIA;;15,052;15,052;;15,052
UFV BELMONTE 2-5;040739-9;;PE;50,0;ENVOLTÓRIA;;15,052;15,052;;15,052
UFV BELMONTE 2-6;043267-9;;MS;50,0;ENVOLTÓRIA;;6,599;6,599;;6,599
UFV BJL 11;034153-3;;BA;20,0;ENVOLTÓRIA;;11,239;11,239;;11,239
UFV BJL 4;034158-4;;BA;20,0;ENVOLTÓRIA;;11,239;11,239;;11,239
UFV BOA HORA 4;037814-3;;PE;23,1;ENVOLTÓRIA;;13,503;13,503;;13,503
UFV BOA HORA 5;;;PE;23,1;ENVOLTÓRIA;;13,503;13,503;;13,503
UFV BOA HORA 6;;;PE;23,1;ENVOLTÓRIA;;13,503;13,503;;13,503
UFV BOA SORTE 1;049183-7;;MG;44,1;ENVOLTÓRIA;;9,203;9,203;;9,203
UFV BOA SORTE 10;049193-4;;MG;44,1;ENVOLTÓRIA;;9,167;9,167;;9,167
UFV BOA SORTE 11;049195-0;;MG;44,1;ENVOLTÓRIA;;9,167;9,167;;9,167
UFV BOA SORTE 12;049196-9;;MG;44,1;ENVOLTÓRIA;;9,167;9,167;;9,167
UFV BOA SORTE 13;049197-7;;MG;44,1;ENVOLTÓRIA;;9,167;9,167;;9,167
UFV BOA SORTE 14;049198-5;;MG;44,1;ENVOLTÓRIA;;9,167;9,167;;9,167
UFV BOA SORTE 15;049199-3;;MG;44,1;ENVOLTÓRIA;;9,167;9,167;;9,167
UFV BOA SORTE 16;049200-0;;MG;44,1;ENVOLTÓRIA;;9,167;9,167;;9,167
UFV BOA SORTE 17;049201-9;;MG;44,1;ENVOLTÓRIA;;9,167;9,167;;9,167
UFV BOA SORTE 18;049202-7;;MG;44,1;ENVOLTÓRIA;;9,167;9,167;;9,167
UFV BOA SORTE 19;049192-6;;MG;44,1;ENVOLTÓRIA;;9,167;9,167;;9,167
UFV BOA SORTE 2;049185-3;;MG;44,1;ENVOLTÓRIA;;9,203;9,203;;9,203
UFV BOA SORTE 20;049203-5;;MG;44,1;ENVOLTÓRIA;;9,167;9,167;;9,167
UFV BOA SORTE 21;049204-3;;MG;44,1;ENVOLTÓRIA;;9,167;9,167;;9,167
UFV BOA SORTE 22;049205-1;;MG;44,1;ENVOLTÓRIA;;9,167;9,167;;9,167
UFV BOA SORTE 23;049206-0;;MG;44,1;ENVOLTÓRIA;;9,167;9,167;;9,167
UFV BOA SORTE 3;049186-1;;MG;44,1;ENVOLTÓRIA;;9,203;9,203;;9,203
UFV BOA SORTE 4;049187-0;;MG;44,1;ENVOLTÓRIA;;9,203;9,203;;9,203
UFV BOA SORTE 5;049188-8;;MG;44,1;ENVOLTÓRIA;;9,203;9,203;;9,203
UFV BOA SORTE 6;049189-6;;MG;44,1;ENVOLTÓRIA;;9,203;9,203;;9,203
UFV BOA SORTE 7;049190-0;;MG;44,1;ENVOLTÓRIA;;9,203;9,203;;9,203
UFV BOA SORTE 8;049191-8;;MG;44,1;ENVOLTÓRIA;;9,203;9,203;;9,203
UFV BOA SORTE 9;049194-2;;MG;44,1;ENVOLTÓRIA;;9,167;9,167;;9,167
UFV BOM JARDIM I;051608-2;;CE;47,0;ENVOLTÓRIA;;14,174;14,174;;14,174
UFV BOM JARDIM II;;;CE;48,2;ENVOLTÓRIA;;14,174;14,174;;14,174
UFV BOM JARDIM III;051610-4;;BA;47,0;ENVOLTÓRIA;;13,538;13,538;;13,538
UFV BOM LUGAR IV;035645-0;;BA;35,0;ENVOLTÓRIA;;13,538;13,538;;13,538
UFV BOM LUGAR IX;035675-1;;BA;35,0;ENVOLTÓRIA;;13,538;13,538;;13,538
UFV BOM LUGAR V;035680-8;;BA;35,0;ENVOLTÓRIA;;13,538;13,538;;13,538
UFV BOM LUGAR VI;035672-7;;BA;34,0;ENVOLTÓRIA;;13,538;13,538;;13,538
UFV BOM LUGAR VII;035676-0;;BA;35,0;ENVOLTÓRIA;;13,538;13,538;;13,538
UFV BOM LUGAR VIII;035679-4;;BA;35,0;ENVOLTÓRIA;;13,538;13,538;;13,538
UFV CAETITE Va;038168-3;;BA;4,0;ENVOLTÓRIA;;10,710;10,710;;10,710
UFV CALDEIRAO GRANDE I;031689-0;;PI;28,7;ENVOLTÓRIA;;14,263;14,263;;14,263
UFV CALDEIRAO GRANDE II;031690-3;;PI;28,7;ENVOLTÓRIA;;14,263;14,263;;14,263
UFV CALDEIRAO GRANDE III;031685-7;;PI;28,7;ENVOLTÓRIA;;14,263;14,263;;14,263
UFV CALDEIRAO GRANDE IV;031691-1;;PI;28,7;ENVOLTÓRIA;;14,263;14,263;;14,263
UFV CALDEIRAO GRANDE V;031688-1;;PI;28,7;ENVOLTÓRIA;;14,263;14,263;;14,263
UFV CALDEIRAO GRANDE VI;031686-5;;PI;28,7;ENVOLTÓRIA;;14,263;14,263;;14,263
UFV CALDEIRAO GRANDE VII;031687-3;;PI;28,7;ENVOLTÓRIA;;14,263;14,263;;14,263
UFV CARNAUBA SOLAR I;048757-0;;PI;44,6;ENVOLTÓRIA;;12,932;12,932;;12,932
UFV CARNAUBA SOLAR II;048756-2;;PI;44,6;ENVOLTÓRIA;;12,932;12,932;;12,932
UFV CARNAUBA SOLAR III;048755-4;;PI;44,6;ENVOLTÓRIA;;12,932;12,932;;12,932
UFV CARNAUBA SOLAR IV;048754-6;;PI;44,6;ENVOLTÓRIA;;12,932;12,932;;12,932
UFV CARNAUBA SOLAR IX;049327-9;;PI;38,2;ENVOLTÓRIA;;12,932;12,932;;12,932
UFV CARNAUBA SOLAR V;048753-8;;PI;44,7;ENVOLTÓRIA;;12,932;12,932;;12,932
UFV CARNAUBA SOLAR VI;048752-0;;PI;44,7;ENVOLTÓRIA;;12,932;12,932;;12,932
UFV CARNAUBA SOLAR VII;048751-1;;PI;44,7;ENVOLTÓRIA;;12,932;12,932;;12,932
UFV CARNAUBA SOLAR VIII;049326-0;;PI;38,2;ENVOLTÓRIA;;12,932;12,932;;12,932
UFV CIRANDA 1;037465-2;;RN;49,3;ENVOLTÓRIA;;15,867;15,867;;15,867
UFV CIRANDA 2;037466-0;;PE;49,3;ENVOLTÓRIA;;15,052;15,052;;15,052
UFV CIRANDA 3;037516-0;;PE;49,3;ENVOLTÓRIA;;15,052;15,052;;15,052
UFV COREMAS I;032311-0;;PB;26,7;ENVOLTÓRIA;;14,574;14,574;;14,574
UFV COREMAS II;032926-6;;PB;26,7;ENVOLTÓRIA;;14,574;14,574;;14,574
UFV COREMAS III;032544-9;;PB;26,7;ENVOLTÓRIA;;14,574;14,574;;14,574
UFV COREMAS IV;032843-0;;PE;26,7;ENVOLTÓRIA;;15,052;15,052;;15,052
UFV COREMAS V;032888-0;;PE;26,7;ENVOLTÓRIA;;15,052;15,052;;15,052
UFV COREMAS VI;032865-0;;PE;26,7;ENVOLTÓRIA;;15,052;15,052;;15,052
UFV COREMAS VII;032882-0;;PE;26,7;ENVOLTÓRIA;;15,052;15,052;;15,052
UFV COREMAS VIII;037916-6;;PE;26,7;ENVOLTÓRIA;;15,052;15,052;;15,052
UFV CRISTO REI I;050206-5;;RN;49,5;ENVOLTÓRIA;;15,722;15,722;;15,722
UFV CRISTO REI II;050207-3;;RN;49,5;ENVOLTÓRIA;;15,722;15,722;;15,722
UFV CRISTO REI III;050208-1;;RN;49,5;ENVOLTÓRIA;;15,722;15,722;;15,722
UFV CRISTO REI IV;050209-0;;RN;49,5;ENVOLTÓRIA;;15,722;15,722;;15,722
UFV CRISTO REI V;050210-3;;RN;31,0;ENVOLTÓRIA;;15,722;15,722;;15,722
UFV CRUZEIRO DO SUL I;051068-8;;GO;49,8;ENVOLTÓRIA;;10,377;10,377;;10,377
UFV CRUZEIRO DO SUL II;051069-6;;GO;49,8;ENVOLTÓRIA;;10,377;10,377;;10,377
UFV CRUZEIRO DO SUL III;051070-0;;GO;30,4;ENVOLTÓRIA;;10,377;10,377;;10,377
UFV DELIO BERNARDINO;038218-3;;MG;88,2;ENVOLTÓRIA;;12,137;12,137;;12,137
UFV DELIO BERNARDINO VIII;040186-2;;MG;291,8;ENVOLTÓRIA;;12,137;12,137;;12,137
UFV DOURADO 11;045488-5;;RN;39,7;ENVOLTÓRIA;;15,455;15,455;;15,455
UFV DOURADO 12;045489-3;;RN;39,7;ENVOLTÓRIA;;15,455;15,455;;15,455
UFV DOURADO 13;045490-7;;RN;39,7;ENVOLTÓRIA;;15,455;15,455;;15,455
UFV DOURADO 14;045491-5;;RN;39,7;ENVOLTÓRIA;;15,455;15,455;;15,455
UFV DOURADO 15;045492-3;;SP;39,7;ENVOLTÓRIA;;5,361;5,361;;5,361
UFV DOURADO 16;045700-0;;SP;39,7;ENVOLTÓRIA;;6,583;6,583;;6,583
UFV DOURADO 17;045701-9;;SP;39,7;ENVOLTÓRIA;;6,264;6,264;;6,264
UFV DOURADO 18;045702-7;;SP;39,7;ENVOLTÓRIA;;6,492;6,492;;6,492
UFV DOURADO 19;045703-5;;SP;39,7;ENVOLTÓRIA;;5,361;5,361;;5,361
UFV DOURADO 20;045704-3;;SP;39,7;ENVOLTÓRIA;;6,864;6,864;;6,864
UFV DUNAMIS I;045016-2;;RN;28,9;ENVOLTÓRIA;;15,722;15,722;;15,722
UFV DUNAMIS II;045017-0;;RN;28,9;ENVOLTÓRIA;;15,722;15,722;;15,722
UFV DUNAMIS III;045018-9;;RN;28,9;ENVOLTÓRIA;;15,722;15,722;;15,722
UFV DUNAMIS IV;045019-7;;RN;28,9;ENVOLTÓRIA;;15,722;15,722;;15,722
UFV ELISEU MARTINS I;044425-1;;PI;32,8;ENVOLTÓRIA;;13,422;13,422;;13,422
UFV ELISEU MARTINS II;044426-0;;PI;31,8;ENVOLTÓRIA;;13,422;13,422;;13,422
UFV ETESA 17 SAO JOAO DO PIAUI I;034785-0;;PI;32,2;ENVOLTÓRIA;;13,346;13,346;;13,346
UFV ETESA 18 SAO JOAO DO PIAUI I;;;PI;32,2;ENVOLTÓRIA;;13,346;13,346;;13,346
UFV ETESA 19 SAO JOAO DO PIAUI I;;;PI;32,2;ENVOLTÓRIA;;13,346;13,346;;13,346
UFV ETESA 20 SAO JOAO DO PIAUI I;;;PI;28,8;ENVOLTÓRIA;;13,346;13,346;;13,346
UFV ETESA S. J. DO PIAUI I;034785-0;;PI;31,7;ENVOLTÓRIA;;13,554;13,554;;13,554
UFV ETESA S. J. DO PIAUI II;034786-8;;PI;31,7;ENVOLTÓRIA;;13,554;13,554;;13,554
UFV ETESA S. J. DO PIAUI III;034787-6;;PI;31,7;ENVOLTÓRIA;;13,554;13,554;;13,554
UFV ETESA S. J. DO PIAUI IV;034788-4;;PI;28,4;ENVOLTÓRIA;;13,554;13,554;;13,554
UFV ETESA S. J. DO PIAUI V;034789-2;;PI;28,4;ENVOLTÓRIA;;13,554;13,554;;13,554
UFV ETESA S. J. DO PIAUI VI;034790-6;;PI;31,4;ENVOLTÓRIA;;13,554;13,554;;13,554
UFV FAZENDA BOA ESPERANCA I;048639-6;;PB;29,9;ENVOLTÓRIA;;14,924;14,924;;14,924
UFV FAZENDA BOA ESPERANCA II;048640-0;;CE;29,9;ENVOLTÓRIA;;13,668;13,668;;13,668
UFV FAZENDA BOA ESPERANCA III;048641-8;;CE;29,9;ENVOLTÓRIA;;13,668;13,668;;13,668
UFV FAZENDA BOA ESPERANCA IV;048642-6;;CE;29,9;ENVOLTÓRIA;;13,668;13,668;;13,668
UFV FAZENDA BOA ESPERANCA V;048643-4;;CE;29,9;ENVOLTÓRIA;;13,668;13,668;;13,668
UFV FAZENDA BOA ESPERANCA VI;048644-2;;CE;29,9;ENVOLTÓRIA;;13,668;13,668;;13,668
UFV FAZENDA BOA ESPERANCA VII;048645-0;;CE;29,9;ENVOLTÓRIA;;13,668;13,668;;13,668
UFV FAZENDA BOA ESPERANCA VIII;048646-9;;PE;29,9;ENVOLTÓRIA;;15,052;15,052;;15,052
UFV FIRMINOPOLIS I;052132-9;;GO;49,5;ENVOLTÓRIA;;8,447;8,447;;8,447
UFV FIRMINOPOLIS II;052133-7;;GO;49,5;ENVOLTÓRIA;;8,447;8,447;;8,447
UFV FIRMINOPOLIS III;052134-5;;GO;49,5;ENVOLTÓRIA;;8,447;8,447;;8,447
UFV FIRMINOPOLIS IV;052135-3;;GO;49,5;ENVOLTÓRIA;;8,447;8,447;;8,447
UFV FLOR DE MANDACARU;047255-7;;SP;2,0;ENVOLTÓRIA;;5,361;5,361;;5,361
UFV FLORESTA I;034310-2;;RN;31,0;ENVOLTÓRIA;;15,801;15,801;;15,801
UFV FLORESTA II;034309-9;;RN;31,0;ENVOLTÓRIA;;15,801;15,801;;15,801
UFV FLORESTA III;033569-0;;RN;21,0;ENVOLTÓRIA;;15,801;15,801;;15,801
UFV FONTES SOLAR I;032372-1;;PE;5,0;ENVOLTÓRIA;;15,056;15,056;;15,056
UFV FONTES SOLAR II;032373-0;;PE;5,0;ENVOLTÓRIA;;15,056;15,056;;15,056
UFV FUTURA 1;037479-2;;PI;30,5;ENVOLTÓRIA;;14,263;14,263;;14,263
UFV FUTURA 10;037488-1;;BA;30,5;ENVOLTÓRIA;;12,951;12,951;;12,951
UFV FUTURA 11;037489-0;;BA;30,5;ENVOLTÓRIA;;13,679;13,679;;13,679
UFV FUTURA 12;037490-3;;BA;30,5;ENVOLTÓRIA;;12,951;12,951;;12,951
UFV FUTURA 13;037491-1;;BA;30,5;ENVOLTÓRIA;;13,679;13,679;;13,679
UFV FUTURA 14;037492-0;;BA;30,5;ENVOLTÓRIA;;13,679;13,679;;13,679
UFV FUTURA 15;037493-8;;BA;30,5;ENVOLTÓRIA;;13,679;13,679;;13,679
UFV FUTURA 16;037494-6;;BA;30,5;ENVOLTÓRIA;;13,679;13,679;;13,679
UFV FUTURA 17;037495-4;;BA;30,5;ENVOLTÓRIA;;13,679;13,679;;13,679
UFV FUTURA 18;037496-2;;BA;30,5;ENVOLTÓRIA;;12,951;12,951;;12,951
UFV FUTURA 19;037497-0;;CE;30,5;ENVOLTÓRIA;;14,712;14,712;;14,712
UFV FUTURA 2;037480-6;;PI;30,5;ENVOLTÓRIA;;14,263;14,263;;14,263
UFV FUTURA 20;037498-9;;CE;30,5;ENVOLTÓRIA;;14,712;14,712;;14,712
UFV FUTURA 21;037499-7;;PB;30,5;ENVOLTÓRIA;;14,924;14,924;;14,924
UFV FUTURA 22;037500-4;;BA;30,5;ENVOLTÓRIA;;11,239;11,239;;11,239
UFV FUTURA 3;037481-4;;PI;30,5;ENVOLTÓRIA;;14,263;14,263;;14,263
UFV FUTURA 4;037482-2;;PI;30,5;ENVOLTÓRIA;;14,263;14,263;;14,263
UFV FUTURA 5;037483-0;;BA;30,5;ENVOLTÓRIA;;13,679;13,679;;13,679
UFV FUTURA 6;037484-9;;BA;30,5;ENVOLTÓRIA;;13,679;13,679;;13,679
UFV FUTURA 7;037485-7;;BA;30,5;ENVOLTÓRIA;;13,679;13,679;;13,679
UFV FUTURA 8;037486-5;;BA;30,5;ENVOLTÓRIA;;13,679;13,679;;13,679
UFV FUTURA 9;037487-3;;BA;30,5;ENVOLTÓRIA;;13,679;13,679;;13,679
UFV FWA 1;048518-7;;PI;32,1;ENVOLTÓRIA;;14,432;14,432;;14,432
UFV FWA 2;048519-5;;PI;32,1;ENVOLTÓRIA;;14,432;14,432;;14,432
UFV FWA 3;048520-9;;PI;32,1;ENVOLTÓRIA;;14,432;14,432;;14,432
UFV GRAUNA I;044456-1;;RN;68,7;ENVOLTÓRIA;;15,722;15,722;;15,722
UFV GRAUNA II;044457-0;;RN;55,0;ENVOLTÓRIA;;15,722;15,722;;15,722
UFV GRAUNA III;044458-8;;RN;55,0;ENVOLTÓRIA;;15,722;15,722;;15,722
UFV GRAUNA IV;044459-6;;RN;55,0;ENVOLTÓRIA;;15,722;15,722;;15,722
UFV GRAUNA V;044460-0;;RN;55,0;ENVOLTÓRIA;;15,722;15,722;;15,722
UFV GRAUNA VI;044461-8;;RN;68,7;ENVOLTÓRIA;;15,722;15,722;;15,722
UFV GRAUNA VII;044462-6;;RN;55,0;ENVOLTÓRIA;;15,722;15,722;;15,722
UFV GRAUNA VIII;044463-4;;RN;55,0;ENVOLTÓRIA;;15,722;15,722;;15,722
UFV HELIO VALGAS 1;042991-0;;MG;50,0;ENVOLTÓRIA;;9,993;9,993;;9,993
