USINA,SUBSISTEMA,CEG,2023,2024,2025,2026,2027,2028,2029,2030,2031,MUST,BUS_2023,BUS_2030
EOL ASSURUA 4 IV,NE,050466-1,11.069,11.194,11.032,11.336,11.798,11.855,12.287,12.123,12.14,35.1,6061,59050
EOL ASSURUA 4 V,NE,050467-0,11.069,11.194,11.032,11.336,11.798,11.855,12.287,12.123,12.14,35.1,6061,59050
EOL ASSURUA 4 VI,NE,050468-8,11.069,11.194,11.032,11.336,11.798,11.855,12.287,12.123,12.14,35.1,6061,59050
EOL ASSURUA 5 I,NE,051784-4,11.069,11.194,11.032,11.336,11.798,11.855,12.287,12.123,12.14,39.6,6061,59050
EOL ASSURUA 5 II,NE,051785-2,11.069,11.194,11.032,11.336,11.798,11.855,12.287,12.123,12.14,45.2,6061,59050
EOL ASSURUA 5 III,NE,051786-0,11.069,11.194,11.032,11.336,11.798,11.855,12.287,12.123,12.14,39.6,6061,59050
EOL ASSURUA 5 IV,NE,051787-9,11.069,11.194,11.032,11.336,11.798,11.855,12.287,12.123,12.14,45.2,6061,59050
EOL ASSURUA 5 V,NE,051788-7,11.069,11.194,11.032,11.336,11.798,11.855,12.287,12.123,12.14,33.9,6061,59050
EOL ASSURUA 5 VI,NE,051789-5,11.069,11.194,11.032,11.336,11.798,11.855,12.287,12.123,12.14,33.9,6061,59050
EOL ASSURUA II,NE,031343-2,10.918,10.295,10.099,10.352,10.58,10.622,11.008,10.827,10.843,29.13,6341,59022
EOL ASSURUA III,NE,032342-0,10.918,10.295,10.099,10.352,10.58,10.622,11.008,10.827,10.843,12.45,6341,59023
EOL ASSURUA IV,NE,032343-8,10.918,10.295,10.099,10.352,10.58,10.622,11.008,10.827,10.843,29.15,6341,59024
EOL ASSURUA V,NE,031341-6,10.918,10.295,10.099,10.352,10.58,10.622,11.008,10.827,10.843,19.74,6341,59025
EOL ASSURUA VII,NE,031356-4,10.918,10.295,10.099,10.352,10.58,10.622,11.008,10.827,10.843,17.91,6341,59027
EOL ATLANTICA I,S,030457-3,5.5,8.011,8.083,7.929,7.159,6.83,6.761,6.972,6.982,29.3,1231,51063
EOL ATLANTICA II,S,030462-0,5.5,8.011,8.083,7.929,7.159,6.83,6.761,6.972,6.982,29.3,1231,51063
EOL ATLANTICA IV,S,030461-1,5.5,8.011,8.083,7.929,7.159,6.83,6.761,6.972,6.982,29.3,1231,51063
EOL ATLANTICA V,S,030480-8,5.5,8.011,8.083,7.929,7.159,6.83,6.761,6.972,6.982,29.7,1231,51063
EOL AURA CAETITE 01,NE,044959-8,10.456,10.787,10.559,10.907,11.477,11.537,11.96,11.747,11.764,26.99,6221,59514
EOL AURA CAETITE 02,NE,044960-1,10.456,10.787,10.559,10.907,11.477,11.537,11.96,11.747,11.764,35.99,6221,59515
EOL AURA CAETITE 03,NE,032804-9,10.456,10.787,10.559,10.907,11.477,11.537,11.96,11.747,11.764,35.99,6221,59516
EOL AURA CAETITE 04,NE,032805-7,10.456,10.787,10.559,10.907,11.477,11.537,11.96,11.747,11.764,22.5,6221,59517
EOL AURA LAGOA DO BARRO 01,NE,033621-1,10.859,10.181,10.115,10.343,11.326,11.333,11.787,11.662,11.679,26.86,5571,58152
EOL AURA LAGOA DO BARRO 02,NE,033622-0,10.859,10.181,10.115,10.343,11.326,11.333,11.787,11.662,11.679,26.86,5571,58153
EOL AURA LAGOA DO BARRO 03,NE,033619-0,10.859,10.181,10.115,10.343,11.326,11.333,11.787,11.662,11.679,26.86,5571,58154
EOL AURA LAGOA DO BARRO 04,NE,033620-3,10.859,10.181,10.115,10.343,11.326,11.333,11.787,11.662,11.679,26.86,5571,58155
EOL AURA LAGOA DO BARRO 05,NE,033623-8,10.859,10.181,10.115,10.343,11.326,11.333,11.787,11.662,11.679,23.88,5571,58156
EOL AURA LAGOA DO BARRO 06,NE,033624-6,10.859,10.181,10.115,10.343,11.326,11.333,11.787,11.662,11.679,26.86,5571,58157
EOL AURA LAGOA DO BARRO 07,NE,033618-1,10.859,10.181,10.115,10.343,11.326,11.333,11.787,11.662,11.679,26.86,5571,58158
EOL AURA MANGUEIRA IV,S,031700-4,6.613,9.096,9.201,9.06,8.541,8.227,8.224,8.433,8.445,20.9,9820,50226
EOL AURA MANGUEIRA VI,S,031696-2,6.613,9.096,9.201,9.06,8.541,8.227,8.224,8.433,8.445,26.86,9820,50226
EOL AURA MANGUEIRA VII,S,031805-1,6.613,9.096,9.201,9.06,8.541,8.227,8.224,8.433,8.445,23.88,9820,50226
EOL AURA MANGUEIRA XI,S,031719-5,6.613,9.096,9.201,9.06,8.541,8.227,8.224,8.433,8.445,8.96,9820,50226
EOL AURA MANGUEIRA XII,S,031653-9,6.613,9.096,9.201,9.06,8.541,8.227,8.224,8.433,8.445,14.92,9820,50226
EOL AURA MANGUEIRA XIII,S,031646-6,6.613,9.096,9.201,9.06,8.541,8.227,8.224,8.433,8.445,14.92,9820,50226
EOL AURA MANGUEIRA XV,S,031647-4,6.613,9.096,9.201,9.06,8.541,8.227,8.224,8.433,8.445,17.91,9820,50226
EOL AURA MANGUEIRA XVII,S,031705-5,6.613,9.096,9.201,9.06,8.541,8.227,8.224,8.433,8.445,14.92,9820,50226
EOL AURA MIRIM II,S,031806-0,6.613,9.096,9.201,9.06,8.541,8.227,8.224,8.433,8.445,29.85,9820,50226
EOL AURA MIRIM IV,S,031663-6,6.613,9.096,9.201,9.06,8.541,8.227,8.224,8.433,8.445,14.93,9820,50226
EOL AURA MIRIM VI,S,031701-2,6.613,9.096,9.201,9.06,8.541,8.227,8.224,8.433,8.445,8.96,9820,50226
EOL AURA MIRIM VIII,S,031699-7,6.613,9.096,9.201,9.06,8.541,8.227,8.224,8.433,8.445,8.96,9820,50226
EOL AURA QUEIMADA NOVA 01,NE,032863-4,10.859,10.181,10.115,10.343,11.142,11.145,11.59,11.463,11.48,32.19,5571,58768
EOL AURA QUEIMADA NOVA 02,NE,040567-1,10.859,10.181,10.115,10.343,11.142,11.145,11.59,11.463,11.48,49.5,5571,58769
EOL AURA QUEIMADA NOVA 03,NE,033625-4,10.859,10.181,10.115,10.343,11.326,11.333,11.787,11.662,11.679,8.97,5571,58159
EOL AURA TANQUE NOVO 01,NE,044961-0,10.456,10.787,10.559,10.907,11.477,11.537,11.96,11.747,11.764,26.99,6221,59518
EOL AURA TANQUE NOVO 02,NE,044962-8,10.456,10.787,10.559,10.907,11.477,11.537,11.96,11.747,11.764,18.0,6221,59519
EOL AURA TANQUE NOVO 03,NE,035172-5,10.456,10.787,10.559,10.907,11.477,11.537,11.96,11.747,11.764,13.5,6221,59520
EOL AVENTURA I,NE,031887-6,10.764,9.842,9.875,10.102,10.921,10.988,11.402,11.279,11.296,27.18,6141,56672
EOL AVENTURA II,NE,033002-7,10.764,9.842,9.875,10.102,10.921,10.988,11.402,11.279,11.296,20.62,6141,56701
EOL AVENTURA III,NE,033026-4,10.764,9.842,9.875,10.102,10.921,10.988,11.402,11.279,11.296,24.87,6141,56702
EOL AVENTURA IV,NE,037949-2,10.764,9.842,9.875,10.102,10.921,10.988,11.402,11.279,11.296,29.02,6141,56677
EOL AVENTURA V,NE,037950-6,10.764,9.842,9.875,10.102,10.921,10.988,11.402,11.279,11.296,28.83,6141,56722
EOL AW SANTA REGIA,NE,032194-0,10.64,9.792,9.851,10.079,10.828,10.892,11.302,11.179,11.195,37.5,6140,523
EOL AW SAO JOAO,NE,032080-3,10.64,9.792,9.851,10.079,10.828,10.892,11.302,11.179,11.195,24.88,6140,523
EOL B.VENTOS(VENTOS),NE,028887-0,10.135,9.313,9.541,9.766,10.723,10.767,11.141,11.009,11.025,48.0,5431,56066
EOL BAIXA DO FEIJAO I,NE,030932-0,10.64,9.792,9.851,10.079,10.828,10.892,11.302,11.179,11.195,29.7,6140,56551
EOL BAIXA DO FEIJAO II,NE,030933-8,10.64,9.792,9.851,10.079,10.828,10.892,11.302,11.179,11.195,29.6,6140,56552
EOL BAIXA DO FEIJAO III,NE,030934-6,10.64,9.792,9.851,10.079,10.828,10.892,11.302,11.179,11.195,29.76,6140,56553
EOL BAIXA DO FEIJAO IV,NE,030931-1,10.64,9.792,9.851,10.079,10.828,10.892,11.302,11.179,11.195,29.7,6140,56554
EOL BAIXA DO SITIO,NE,033964-4,10.986,10.064,10.232,10.463,11.02,11.057,11.486,11.351,11.367,44.81,5071,58616
EOL BANDA DE COURO,NE,031607-5,11.056,10.352,10.204,10.434,10.984,10.999,11.398,11.233,11.25,30.0,6301,58613
EOL BARAUNAS I,NE,031335-1,11.056,10.352,10.204,10.434,10.984,10.999,11.398,11.233,11.25,30.0,6301,58610
EOL BARAUNAS II,NE,031667-9,11.056,10.352,10.204,10.434,10.984,10.999,11.398,11.233,11.25,25.59,6301,58614
EOL BARAUNAS IV,NE,038032-6,10.86,10.119,10.019,10.245,11.02,11.057,11.486,11.351,11.367,40.92,6300,58664
EOL BARAUNAS XV,NE,038031-8,10.86,10.119,10.019,10.245,11.02,11.057,11.486,11.351,11.367,47.74,6300,58665
EOL BARAUNAS XX,NE,036993-4,10.86,10.119,10.019,10.245,11.02,11.057,11.486,11.351,11.367,30.69,6300,58667
EOL BARBATIMAO,NE,032093-5,10.165,10.561,10.326,10.674,11.391,11.45,11.87,11.654,11.671,15.8,6220,59462
EOL BARRA DOS COQUEIROS,,030296-1,-,-,-,-,-,-,-,-,-,34.5,-,58150
EOL BEBERIBE,,028174-3,-,-,-,-,-,-,-,-,-,25.2,-,56077
EOL BELA VISTA (AREIA BRANCA),NE,030340-2,10.794,9.892,10.078,10.306,10.956,11.012,11.385,11.258,11.274,27.27,5441,56255
EOL BOA ESPERANCA I,NE,033666-1,10.64,9.792,9.851,10.079,10.828,10.892,11.302,11.179,11.195,30.0,6140,56709
EOL BOA VISTA DA LAGOINHA,NE,032759-0,10.807,10.289,10.138,10.366,10.628,10.672,11.062,10.881,10.897,29.63,6291,59021
EOL BOM JARDIM,,029062-9,-,-,-,-,-,-,-,-,-,30.0,2700,50344
EOL BONS VENTOS CACIMBAS 2,NE,031644-0,9.491,8.489,8.809,9.085,10.15,10.147,10.495,10.389,10.404,22.91,6011,55213
EOL BONS VENTOS CACIMBAS 3,NE,031627-0,9.491,8.489,8.809,9.085,10.15,10.147,10.495,10.389,10.404,14.53,6011,55214
EOL BONS VENTOS CACIMBAS 4,NE,031621-0,9.491,8.489,8.809,9.085,10.15,10.147,10.495,10.389,10.404,10.5,6011,55215
EOL BONS VENTOS CACIMBAS 5,NE,031579-6,9.491,8.489,8.809,9.085,10.15,10.147,10.495,10.389,10.404,21.0,6011,55216
EOL BONS VENTOS CACIMBAS 7,NE,031611-3,9.491,8.489,8.809,9.085,10.15,10.147,10.495,10.389,10.404,16.8,6011,55217
EOL BOQUEIRAO I,NE,040816-6,10.651,9.817,9.887,10.115,11.269,11.332,11.756,11.634,11.652,41.12,8145,55402
EOL BOQUEIRAO II,NE,040818-2,10.651,9.817,9.887,10.115,11.269,11.332,11.756,11.634,11.652,36.56,8145,55404
EOL BORGO,NE,030837-4,10.528,10.847,10.616,10.966,11.467,11.528,11.95,11.737,11.754,20.16,6225,59367
EOL BREJINHOS A,NE,040777-1,10.456,10.787,10.559,10.907,11.406,11.465,11.885,11.671,11.688,37.04,6221,11394
EOL BREJINHOS B,NE,040778-0,10.456,10.787,10.559,10.907,11.406,11.465,11.885,11.671,11.688,41.16,6221,11394
EOL BURITI,NE,030279-1,9.957,9.017,9.282,9.503,10.24,10.247,10.602,10.495,10.51,29.52,5486,55406
EOL CABECO PRETO,,030333-0,-,-,-,-,-,-,-,-,-,19.8,-,57467
EOL CABECO PRETO III,NE,031015-8,10.64,9.792,9.851,10.079,10.828,10.892,11.302,11.179,11.195,25.0,6140,56619
EOL CABECO PRETO IV,NE,030501-4,-,-,-,-,10.241,10.293,10.669,10.539,10.554,19.8,-,56624
EOL CABECO PRETO V,NE,030876-5,10.64,9.792,9.851,10.079,10.828,10.892,11.302,11.179,11.195,25.7,6140,56620
EOL CABECO PRETO VI,NE,030900-1,10.64,9.792,9.851,10.079,10.828,10.892,11.302,11.179,11.195,17.75,6140,56621
EOL CABECO VERMELHO,NE,031651-2,10.64,9.792,9.851,10.079,10.828,10.892,11.302,11.179,11.195,27.95,6140,56664
EOL CABECO VERMELHO II,NE,031665-2,10.64,9.792,9.851,10.079,10.828,10.892,11.302,11.179,11.195,16.55,6140,56665
EOL CACIMBAS 1,NE,032011-0,10.282,9.402,9.698,9.924,10.541,10.564,10.939,10.83,10.846,18.33,5371,55799
EOL CAETITE,NE,030792-0,10.528,10.847,10.616,10.966,11.467,11.528,11.95,11.737,11.754,30.0,6225,59364
EOL CAETITE 1,NE,030976-1,10.554,10.856,10.635,10.984,11.481,11.541,11.963,11.752,11.769,29.42,6171,59500
EOL CAETITE 2,NE,030437-9,10.554,10.856,10.635,10.984,11.481,11.541,11.963,11.752,11.769,29.46,6171,59301
EOL CAETITE 3,NE,030448-4,10.554,10.856,10.635,10.984,11.481,11.541,11.963,11.752,11.769,29.13,6171,59302
EOL CAETITE A,NE,031344-0,10.554,10.856,10.635,10.984,11.481,11.541,11.963,11.752,11.769,23.5,6171,59305
EOL CAETITE B,NE,031342-4,10.554,10.856,10.635,10.984,11.481,11.541,11.963,11.752,11.769,21.8,6171,59306
EOL CAETITE C,NE,031523-0,10.554,10.856,10.635,10.984,11.481,11.541,11.963,11.752,11.769,8.4,6171,59307
EOL CAETITE D,NE,037004-5,10.456,10.787,10.559,10.907,11.455,11.515,11.937,11.724,11.741,49.39,6221,59523
EOL CAETITE E,NE,037005-3,10.456,10.787,10.559,10.907,11.481,11.541,11.963,11.752,11.769,37.04,6221,59305
EOL CAETITE F,NE,037006-1,10.456,10.787,10.559,10.907,11.481,11.541,11.963,11.752,11.769,24.7,6221,59306
EOL CAICARA I,NE,030895-1,10.794,9.892,10.078,10.306,10.956,11.012,11.385,11.258,11.274,26.61,5441,56277
EOL CAICARA II,NE,030915-0,10.794,9.892,10.078,10.306,10.956,11.012,11.385,11.258,11.274,17.75,5441,56278
EOL CAITITU,NE,030739-4,10.528,10.847,10.616,10.966,11.467,11.528,11.95,11.737,11.754,21.98,6225,59397
EOL CAITITU 2,NE,031432-3,10.528,10.847,10.616,10.966,11.467,11.528,11.95,11.737,11.754,9.76,6225,59376
EOL CAITITU 3,NE,031459-5,10.528,10.847,10.616,10.966,11.467,11.528,11.95,11.737,11.754,9.76,6225,59377
EOL CAJUCOCO,NE,030294-5,9.957,9.017,9.282,9.503,10.24,10.247,10.602,10.495,10.51,29.59,5486,55405
EOL CAJUINA A1,NE,047235-2,-,9.883,9.981,10.21,11.084,11.146,11.564,11.441,11.458,38.9,-,11565
EOL CAJUINA A2,NE,047236-0,-,9.883,9.981,10.21,11.084,11.146,11.564,11.441,11.458,38.9,-,11565
EOL CAJUINA A3,NE,047237-9,10.68,9.883,9.981,10.21,11.084,11.146,11.564,11.441,11.458,44.46,5350,11565
EOL CAJUINA A4,NE,047239-5,-,9.883,9.981,10.21,11.084,11.146,11.564,11.441,11.458,44.46,-,11565
EOL CAJUINA A5,NE,047244-1,10.68,9.883,9.981,10.21,11.084,11.146,11.564,11.441,11.458,50.02,5350,11565
EOL CAJUINA A6,NE,047247-6,-,9.883,9.981,10.21,11.084,11.146,11.564,11.441,11.458,44.46,-,11565
EOL CAJUINA A7,NE,047198-4,10.68,9.883,9.981,10.21,11.084,11.146,11.564,11.441,11.458,36.46,5350,11565
EOL CAJUINA B11,NE,047241-7,-,9.883,9.981,10.21,11.084,11.146,11.564,11.441,11.458,66.69,-,11565
EOL CAJUINA B12,NE,047238-7,10.68,9.883,9.981,10.21,11.084,11.146,11.564,11.441,11.458,38.9,5350,11565
EOL CAJUINA B16,NE,047242-5,-,9.883,9.981,10.21,11.084,11.146,11.564,11.441,11.458,16.67,-,11565
EOL CAJUINA B18,NE,047246-8,-,9.883,9.981,10.21,11.084,11.146,11.564,11.441,11.458,22.23,-,11565
EOL CAJUINA C15,NE,047245-0,-,9.883,9.981,10.21,9.031,9.043,9.346,9.312,9.325,48.26,-,40351
EOL CAJUINA C16,NE,047240-9,-,9.883,9.981,10.21,11.084,11.146,11.564,11.441,11.458,8.78,-,11565
EOL CAJUINA E6,NE,047243-3,-,9.883,9.981,10.21,11.084,11.146,11.564,11.441,11.458,61.42,-,11565
EOL CALANGO 1,NE,030511-1,10.986,10.064,10.232,10.463,10.917,10.981,11.361,11.238,11.254,29.47,5071,57701
EOL CALANGO 2,NE,030519-7,10.986,10.064,10.232,10.463,10.917,10.981,11.361,11.238,11.254,29.5,5071,57702
EOL CALANGO 3,NE,030545-6,10.986,10.064,10.232,10.463,10.917,10.981,11.361,11.238,11.254,29.56,5071,57703
EOL CALANGO 4,NE,030537-5,10.986,10.064,10.232,10.463,10.917,10.981,11.361,11.238,11.254,29.34,5071,57704
EOL CALANGO 5,NE,030552-9,10.986,10.064,10.232,10.463,10.917,10.981,11.361,11.238,11.254,29.29,5071,57705
EOL CALANGO 6,NE,031812-4,10.986,10.064,10.232,10.463,10.917,10.981,11.361,11.238,11.254,29.06,5071,57743
EOL CAMPO BELO,,029065-3,-,-,-,-,-,-,-,-,-,10.5,2732,50311
EOL CAMPO DOS VENTOS I,NE,031072-7,10.64,9.792,9.851,10.079,10.828,10.892,11.302,11.179,11.195,24.7,6140,56711
EOL CAMPO DOS VENTOS II,NE,030500-6,10.64,9.792,9.851,10.079,10.828,10.892,11.302,11.179,11.195,29.48,6140,56650
EOL CAMPO DOS VENTOS III,NE,031071-9,10.64,9.792,9.851,10.079,10.828,10.892,11.302,11.179,11.195,24.7,6140,56712
EOL CAMPO DOS VENTOS V,NE,031069-7,10.64,9.792,9.851,10.079,10.828,10.892,11.302,11.179,11.195,24.7,6140,56713
EOL CAMPO LARGO I,NE,034613-6,11.203,10.745,10.582,10.838,11.271,11.323,11.742,11.574,11.591,28.8,6071,58854
EOL CAMPO LARGO II,NE,034633-0,11.203,10.745,10.582,10.838,11.271,11.323,11.742,11.574,11.591,28.8,6071,58855
EOL CAMPO LARGO III,NE,033628-9,11.203,10.745,10.582,10.838,11.271,11.323,11.742,11.574,11.591,28.8,6071,58826
EOL CAMPO LARGO IV,NE,033629-7,11.203,10.745,10.582,10.838,11.271,11.323,11.742,11.574,11.591,28.8,6071,58827
EOL CAMPO LARGO IX,NE,034631-4,11.203,10.745,10.582,10.838,11.271,11.323,11.742,11.574,11.591,24.44,6071,58861
EOL CAMPO LARGO V,NE,033630-0,11.203,10.745,10.582,10.838,11.271,11.323,11.742,11.574,11.591,28.8,6071,58828
EOL CAMPO LARGO VI,NE,033631-9,11.203,10.745,10.582,10.838,11.271,11.323,11.742,11.574,11.591,28.8,6071,58829
EOL CAMPO LARGO VII,NE,033632-7,11.203,10.745,10.582,10.838,11.271,11.323,11.742,11.574,11.591,28.8,6071,58830
EOL CAMPO LARGO VIII,NE,034614-4,11.203,10.745,10.582,10.838,11.271,11.323,11.742,11.574,11.591,32.59,6071,58860
EOL CAMPO LARGO X,NE,034630-6,11.203,10.745,10.582,10.838,11.271,11.323,11.742,11.574,11.591,32.59,6071,58862
EOL CAMPO LARGO XI,NE,034625-0,11.203,10.745,10.582,10.838,11.271,11.323,11.742,11.574,11.591,16.3,6071,58863
EOL CAMPO LARGO XII,NE,034623-3,11.203,10.745,10.582,10.838,11.271,11.323,11.742,11.574,11.591,52.96,6071,58864
EOL CAMPO LARGO XIII,NE,034622-5,11.203,10.745,10.582,10.838,11.271,11.323,11.742,11.574,11.591,40.74,6071,58865
EOL CAMPO LARGO XIV,NE,034634-9,11.203,10.745,10.582,10.838,11.271,11.323,11.742,11.574,11.591,20.37,6071,58866
EOL CAMPO LARGO XIX,NE,034645-4,11.203,10.745,10.582,10.838,11.271,11.323,11.742,11.574,11.591,32.59,6071,58868
EOL CAMPO LARGO XV,NE,034636-5,11.203,10.745,10.582,10.838,11.271,11.323,11.742,11.574,11.591,28.8,6071,58856
