GENERATOR,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
EOL ANGICAL 2,0,10.528,10.863,10.503,10.816,11.085,11.08,11.457,11.163,11.179,11.159,11.139000000000001,11.119000000000002,11.099000000000002,11.079000000000002,11.059000000000003,11.039000000000003,11.019000000000004
EOL ANGICO,0,10.456,10.793,10.431,10.739,10.999,10.992,11.365,11.069,11.085,11.065000000000001,11.045000000000002,11.025000000000002,11.005000000000003,10.985000000000003,10.965000000000003,10.945000000000004,10.925000000000004
EOL ANGICOS I,0,10.878,11.646,12.723,13.797,15.97,16.087,16.533,16.386,16.41,16.39,16.37,16.35,16.330000000000002,16.310000000000002,16.290000000000003,16.270000000000003,16.250000000000004
EOL ANGICOS II,0,10.878,11.646,12.723,13.797,15.97,16.087,16.533,16.386,16.41,16.39,16.37,16.35,16.330000000000002,16.310000000000002,16.290000000000003,16.270000000000003,16.250000000000004
EOL APELIOTES(RIACHAO VI),0,10.042,10.812,11.742,12.84,14.476,14.565,15.065,14.9,14.922,14.902000000000001,14.882000000000001,14.862000000000002,14.842000000000002,14.822000000000003,14.802000000000003,14.782000000000004,14.762000000000004
EOL AQUIBATA,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ARAPAPA,0,10.528,10.863,10.503,10.816,11.085,11.08,11.457,11.163,11.179,11.159,11.139000000000001,11.119000000000002,11.099000000000002,11.079000000000002,11.059000000000003,11.039000000000003,11.019000000000004
EOL ARARINHA AZUL,0,10.528,10.863,10.503,10.816,11.085,11.08,11.457,11.163,11.179,11.159,11.139000000000001,11.119000000000002,11.099000000000002,11.079000000000002,11.059000000000003,11.039000000000003,11.019000000000004
EOL ARATUA 1,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ARENA (RIACHAO VII),0,10.042,10.812,11.742,12.84,14.476,14.565,15.065,14.9,14.922,14.902000000000001,14.882000000000001,14.862000000000002,14.842000000000002,14.822000000000003,14.802000000000003,14.782000000000004,14.762000000000004
EOL ARIZONA 1,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
