Número;Nome;T_C N-1;RB_Reg.;RB_Nac.;RB_Média;TB_>= Piso;LI_Env I;LS_Env S;T_C N
222; BANABUIU - 230;; 10,323; 19,518; 14,920; 14,671;;; 14,671;
3909; BANDEIRANTE GO - 345;; 10,086;  6,704;  8,395;  8,146;;;  8,146;
2934; BANDEIRANTE SP - 345;;  4,299;  0,000;  2,150;  5,359;;;  5,359;
1480; BARBACENA - 345;;  8,597;  5,649;  7,123;  6,874;;;  6,874;
11286; BARREIRAS II - 230;;  9,983; 12,011; 10,997; 10,748;;; 10,748;
286; BARREIRAS - 230;;  9,531; 11,765; 10,648; 10,399;;; 10,399;
1482; BARREIRO - 345;;  9,082;  6,380;  7,731;  7,482;;;  7,482;
846; BARREIRAS - 500;; 11,446; 12,732; 12,089; 11,840;;; 11,840;
6627; BATEIAS - 230;;  6,958;  0,121;  3,539;  5,359;;;  5,359;
3696; BATEIAS 3 - 500;;  7,472;  0,906;  4,189;  5,359;;;  5,359;
6628; BATEIAS - 525;;  7,580;  0,630;  4,105;  5,359;;;  5,359;
2628; BAURU SP - 440;;  7,893;  2,702;  5,297;  5,359;;;  5,359;
1612; BARAO DE COCAIS 3 - 230;;  8,399;  6,331;  7,365;  7,117;;;  7,117;
1485; B.DESPACHO - 500;; 10,225;  7,280;  8,753;  8,504;;;  8,504;
529; B.ESPERANCA - 500;; 10,973; 15,412; 13,192; 12,943;;; 12,943;
26454; BETIM 6 -345;;  9,327;  6,553;  7,940;  7,691;;;  7,691;
7740; BAIXO IGUACU SC - 230;;  6,191;  0,000;  3,095;  5,359;;;  5,359;
7741; BIGUACU--525;;  7,059;  0,000;  3,530;  5,359;;;  5,359;
2638; BOM JARDIM - 440;;  7,212;  2,842;  5,027;  5,359;;;  5,359;
385; B.J.LAPA II - 230;; 11,489; 11,586; 11,538; 11,289;;; 11,289;
585; BJLAPAII - 500;; 11,551; 11,257; 11,404; 11,155;;; 11,155;
285; B.J.LAPA - 230;; 11,489; 11,584; 11,536; 11,287;;; 11,287;
35351; BRASILIA LESTE - 500;; 10,672;  8,299;  9,486;  9,237;;;  9,237;
7734; BLUMENAU - 230;;  6,407;  0,000;  3,203;  5,359;;;  5,359;
7733; BLUMENAU - 525;;  7,046;  0,000;  3,523;  5,359;;;  5,359;
220; BOM NOME - 230;; 11,138; 19,434; 15,286; 15,037;;; 15,037;
243; BONGI - 230;;  7,851; 16,870; 12,360; 12,112;;; 12,112;
2777; BOTUCATU - 230;;  5,871;  0,830;  3,350;  5,359;;;  5,359;
3936; BRASILIA GERAL - 230;;  9,246;  6,812;  8,029;  7,780;;;  7,780;
3920; BRAS. SUL - 230;;  9,653;  7,108;  8,381;  8,132;;;  8,132;
3919; BRAS. SUL -345;; 10,179;  7,652;  8,916;  8,667;;;  8,667;
3300; BRASNORTE - 230;;  9,294;  2,826;  6,060;  5,811;;;  5,811;
1600; BRAUNA - 230;;  9,893;  7,614;  8,753;  8,504;;;  8,504;
205; BROT.MACAUBAS - 230;; 11,911; 13,432; 12,671; 12,422;;; 12,422;
376; BRUMADO II - 230;;  8,628;  9,972;  9,300;  9,051;;;  9,051;
12318; BURITIRAMA - 500;; 11,599; 14,405; 13,002; 12,753;;; 12,753;
38913; HELIO VALGAS MG - 345;; 11,871;  8,729; 10,300; 10,051;;; 10,051;
9266; CRUZ ALTA 2 - 230;;  7,474;  0,000;  3,737;  5,359;;;  5,359;
4481; CANA BRAVA - 230;; 12,210; 10,214; 11,212; 10,963;;; 10,963;
6615; C.COMPRIDO - 230;;  6,757;  0,000;  3,379;  5,359;;;  5,359;
270; CIC.DANTAS - 230;;  9,833; 17,846; 13,839; 13,590;;; 13,590;
11461; CAMPO FORMOSO - 230;; 11,354; 15,942; 13,648; 13,399;;; 13,399;
9020; C.INDUSTRIAL - 230;;  7,014;  0,000;  3,507;  5,359;;;  5,359;
236; COELHO NETO - 230;;  8,143; 14,218; 11,180; 10,931;;; 10,931;
11253; CURRAIS NOVOS II - 230;; 11,023; 20,686; 15,855; 15,606;;; 15,606;
3720; C. PAULISTA - 500;;  9,855;  5,879;  7,867;  7,618;;;  7,618;
38871; CACU - 230;; 12,305;  6,543;  9,424;  9,175;;;  9,175;
2649; CABREUVA - 230;;  5,585;  1,343;  3,464;  5,359;;;  5,359;
2647; CABREUVA - 440;;  6,657;  2,243;  4,450;  5,359;;;  5,359;
58008; CAETES II - 230;; 10,032; 18,186; 14,109; 13,861;;; 13,861;
51457; CAMAQUA 3 - 230;;  7,283;  0,000;  3,641;  5,359;;;  5,359;
574; CAMACARI - 500;;  9,140; 14,054; 11,597; 11,348;;; 11,348;
284; CAMACARI IV - 230;;  8,343; 13,601; 10,972; 10,723;;; 10,723;
584; CAMACARI IV - 500;;  9,105; 14,002; 11,553; 11,304;;; 11,304;
9030; CAMAQUA - 230;;  7,133;  0,000;  3,566;  5,359;;;  5,359;
3701; CAMPINAS - 345;;  6,863;  2,291;  4,577;  5,359;;;  5,359;
3700; CAMPINAS - 500;;  8,208;  3,308;  5,758;  5,509;;;  5,509;
38951; CAMPOS 2 - 500;;  9,833;  7,199;  8,516;  8,267;;;  8,267;
9015; CAMPO BOM - 230;;  6,277;  0,000;  3,138;  5,359;;;  5,359;
3785; CAMPOS - 345;; 10,035;  6,875;  8,455;  8,206;;;  8,206;
38873; CANARANA CMT - 230;;  6,623;  4,481;  5,552;  5,359;;;  5,359;
9283; CANDELARIA 2 - 230;;  7,914;  0,000;  3,957;  5,359;;;  5,359;
9040; CANDIOTA 2 - 230;;  7,815;  0,000;  3,907;  5,359;;;  5,359;
7753; CANDIOTA 2 - 525;;  7,782;  0,000;  3,891;  5,359;;;  5,359;
50209; CANDIOTA - 230;;  7,815;  0,000;  3,908;  5,359;;;  5,359;
9045; CANOA 1 - 230;;  6,791;  0,000;  3,395;  5,359;;;  5,359;
9050; CANOAS 2 - 230;;  7,610;  0,000;  3,805;  5,359;;;  5,359;
7778; CANOINHA - 230;;  5,528;  0,000;  2,764;  5,359;;;  5,359;
50215; CAPIVARI-230;;  7,284;  0,000;  3,642;  5,359;;;  5,359;
50212; CAPIVARI-525;;  7,419;  0,000;  3,710;  5,359;;;  5,359;
2622; CAPIVARA - 440;;  9,173;  3,073;  6,123;  5,874;;;  5,874;
1202; CARAJAS GO - 230;;  9,141;  4,918;  7,029;  6,781;;;  6,781;
916; CARAJAS PA - 230;; 10,098; 13,651; 11,875; 11,626;;; 11,626;
2966; CARBOCLORO - 230;;  4,804;  0,247;  2,526;  5,359;;;  5,359;
6624; CASCAVEL - 230;;  7,670;  0,656;  4,163;  5,359;;;  5,359;
44900; CASCAVEL NORT - 230;;  7,575;  0,588;  4,082;  5,359;;;  5,359;
6625; CASCAVEL OESTE - 230;;  7,904;  0,849;  4,377;  5,359;;;  5,359;
6626; CASCAVOE - 525;;  8,272;  1,322;  4,797;  5,359;;;  5,359;
6762; CAMPO ASSOBIO - 230;;  6,396;  0,000;  3,198;  5,359;;;  5,359;
235; CASTANHA - 230;;  8,218; 12,679; 10,449; 10,200;;; 10,200;
51704; CASTERTECH - 230;;  6,687;  0,000;  3,343;  5,359;;;  5,359;
7023; CASTRO NORTE - 230;;  6,395;  0,000;  3,198;  5,359;;;  5,359;
272; CATU - 230;;  7,779; 13,245; 10,512; 10,263;;; 10,263;
218; CAIUPE - 230;;  9,305; 18,085; 13,695; 13,446;;; 13,446;
9062; CAXIAS SUL 2 - 230;;  6,678;  0,000;  3,339;  5,359;;;  5,359;
9065; CAXIAS 5 -230;;  6,754;  0,000;  3,377;  5,359;;;  5,359;
9066; CAXIAS 6 - 230;;  6,706;  0,000;  3,353;  5,359;;;  5,359;
46948; CAXIAS - 230;;  7,060;  0,000;  3,530;  5,359;;;  5,359;
46947; CAXIAS NORTE - 525;;  7,454;  0,000;  3,727;  5,359;;;  5,359;
9060; CAXIAS NORTE - 230;;  6,862;  0,000;  3,431;  5,359;;;  5,359;
7751; CAXIAS RS - 525;;  7,350;  0,000;  3,675;  5,359;;;  5,359;
4532; CBA - 230;;  5,585;  1,343;  3,464;  5,359;;;  5,359;
2672; CBA TERM - 440;;  6,008;  1,494;  3,751;  5,359;;;  5,359;
7299; CBA LESTE - 230;;  7,034;  0,042;  3,538;  5,359;;;  5,359;
7300; CBA LESTE - 525;;  7,466;  0,460;  3,963;  5,359;;;  5,359;
44655; CURITIBA NORT - 230;;  6,603;  0,015;  3,309;  5,359;;;  5,359;
2802; CAPAO BONITO - 230;;  3,738;  0,000;  1,869;  5,359;;;  5,359;
1153; CACHOEIRA DOURADA - 230;; 11,486;  6,312;  8,899;  8,650;;;  8,650;
2941; TR.CENTRO 1 - 230;;  3,555;  0,000;  1,777;  5,359;;;  5,359;
2942; TR.CENTRO 2 - 230;;  3,555;  0,000;  1,777;  5,359;;;  5,359;
2943; CENTRO - 230;;  3,244;  0,000;  1,622;  5,359;;;  5,359;
44906; CERQUILHO 3 - 230;;  4,755;  0,042;  2,399;  5,359;;;  5,359;
39850; CAMPO GRANDE II - 230;;  8,809;  3,052;  5,930;  5,682;;;  5,682;
11244; CAMPINA GRANDE II - 230;; 10,049; 18,976; 14,513; 14,264;;; 14,264;
12244; CAMPINA GRANDE III - 230;; 10,242; 19,136; 14,689; 14,440;;; 14,440;
544; CAMPINA GRANDE III - 500;; 10,648; 19,088; 14,868; 14,619;;; 14,619;
58208; CHAPADA 1 PI - 230;; 11,530; 17,595; 14,563; 14,314;;; 14,314;
58217; CHAPADA 2 PI - 230;; 11,446; 17,917; 14,681; 14,433;;; 14,433;
58227; CHAPADA 3 PI - 230;; 11,592; 18,324; 14,958; 14,709;;; 14,709;
13020; CHAPADINHA II - 230;;  8,488; 14,438; 11,463; 11,214;;; 11,214;
38853; CHAPADAO - 230;; 10,058;  4,353;  7,205;  6,957;;;  6,957;
7882; CHARQUEADAS 3 - 230;;  7,196;  0,000;  3,598;  5,359;;;  5,359;
7780; CHARQUEADAS (SE) - 230;;  7,005;  0,000;  3,502;  5,359;;;  5,359;
2773; CHAVANTES - 230;;  6,952;  0,991;  3,972;  5,359;;;  5,359;
6617; C.IND. CURITIBA - 230;;  6,659;  0,000;  3,329;  5,359;;;  5,359;
4582; CLAUDIA - 500;; 12,032;  5,921;  8,976;  8,727;;;  8,727;
274; CAMACARI II - 230;;  8,367; 13,560; 10,963; 10,715;;; 10,715;
7776; C.MOURAO - 230;;  7,866;  0,350;  4,108;  5,359;;;  5,359;
11246; CEAMIRIM - 230;; 10,872; 19,983; 15,427; 15,178;;; 15,178;
11546; CEA.MIRIM II - 500;; 11,044; 19,733; 15,388; 15,139;;; 15,139;
12201; CURRAL NOVO PIAUI - 230;; 11,686; 17,346; 14,516; 14,267;;; 14,267;
12501; CURRAL NOVO PIAUI - 500;; 11,589; 16,929; 14,259; 14,010;;; 14,010;
7723; CAMPOS NOVOS - 230;;  8,577;  0,346;  4,461;  5,359;;;  5,359;
7736; CAMPOS NOVOS - 525;;  7,891;  0,220;  4,055;  5,359;;;  5,359;
40663; CODEMI GO- 230;; 12,041;  9,982; 11,011; 10,762;;; 10,762;
5201; C.PORTO VELHO - 500;; 19,683; 10,347; 15,015; 14,766;;; 14,766;
7850; CERRO CHATO - 230;;  7,697;  0,000;  3,849;  5,359;;;  5,359;
5199; C.PORTO VELHO - 230;;  3,669;  0,000;  1,835;  5,359;;;  5,359;
41172; COLIDER - 500;; 12,032;  5,921;  8,976;  8,727;;;  8,727;
591; COLINAS - 500;; 11,083; 13,987; 12,535; 12,286;;; 12,286;
4320; COMPERJ - 345;;  9,004;  5,897;  7,450;  7,202;;;  7,202;
7917; ENSEAD-SC2 - 30;;  5,899;  0,000;  2,950;  5,359;;;  5,359;
233; SE COREMAS II - 230;; 10,221; 18,987; 14,604; 14,355;;; 14,355;
3908; CORUMBA - 345;; 10,531;  7,010;  8,771;  8,522;;;  8,522;
38851; CORUMBA 2 - 30;;  7,892;  2,458;  5,175;  5,359;;;  5,359;
279; COTEGIPE - 230;;  8,065; 13,346; 10,706; 10,457;;; 10,457;
11033; COTEMINAS - 230;;  9,860; 18,765; 14,312; 14,064;;; 14,064;
3276; COXIPO - 230;;  7,851;  2,406;  5,129;  5,359;;;  5,359;
1616; CONSE. PENA - 230;; 10,081;  7,856;  8,969;  8,720;;;  8,720;
11217; CRATO 2 - 230;; 10,807; 18,113; 14,460; 14,211;;; 14,211;
10405; CRISTIANO ROCHA - 230;;  7,621; 12,313;  9,967;  9,718;;;  9,718;
4283; CUIABA - 230;;  8,041;  2,555;  5,298;  5,359;;;  5,359;
4284; CUIABA - 500;;  8,441;  2,975;  5,708;  5,459;;;  5,459;
7739; CURITIBA - 230;;  6,825;  0,000;  3,412;  5,359;;;  5,359;
7732; CURITIBA - 525;;  7,498;  0,502;  4,000;  5,359;;;  5,359;
219; DELM. GOUVEIA - 230;;  8,711; 17,354; 13,032; 12,783;;; 12,783;
281; D.PITUACU - 230;;  7,890; 13,247; 10,569; 10,320;;; 10,320;
4361; DARDANELOS - 230;; 10,369;  3,378;  6,874;  6,625;;;  6,625;
7745; DESTERRO - 230;;  5,083;  0,000;  2,542;  5,359;;;  5,359;
9090; DONA FRANCISCA - 230;;  8,692;  0,000;  4,346;  5,359;;;  5,359;
6761; D. INDUSTRIAL SJP - 230;;  6,539;  0,000;  3,269;  5,359;;;  5,359;
2664; JANDIRA - 440;;  5,997;  1,639;  3,818;  5,359;;;  5,359;
7771; DOURADOS 2 - 230;;  9,113;  2,869;  5,991;  5,742;;;  5,742;
7757; DOURADOS - 230;;  9,063;  2,788;  5,925;  5,677;;;  5,677;
51003; J. BOTANICO 2 - 230;;  6,194;  0,000;  3,097;  5,359;;;  5,359;
51002; J. BOTANICO 1 - 230;;  6,397;  0,000;  3,199;  5,359;;;  5,359;
2923; DOMENICO RANGONI - 345;;  5,298;  0,672;  2,985;  5,359;;;  5,359;
287; E. MARTIN - 230;; 10,693; 16,685; 13,689; 13,440;;; 13,440;
2939; EDGARD SOUZA - 230;;  4,751;  0,682;  2,716;  5,359;;;  5,359;
38862; EDEIA - 230;; 11,344;  5,912;  8,628;  8,379;;;  8,379;
9097; ELDORADO - 230;;  6,915;  0,000;  3,458;  5,359;;;  5,359;
214; EMBASA - 230;;  7,426; 12,016;  9,721;  9,472;;;  9,472;
1509; EMBORCACAO - 500;; 10,646;  6,920;  8,783;  8,535;;;  8,535;
2645; EMBU-GUACU - 345;;  5,143;  0,581;  2,862;  5,359;;;  5,359;
2643; EMBU-GUACU - 440;;  5,807;  1,383;  3,595;  5,359;;;  5,359;
13230; ENCRUZO - 230;;  8,087; 14,095; 11,091; 10,842;;; 10,842;
3946; ESTREITO - 345;;  9,865;  5,777;  7,821;  7,572;;;  7,572;
4302; ESTREITO - 500;;  9,756;  5,948;  7,852;  7,603;;;  7,603;
269; EUNAPOLI - 230;;  8,320;  8,804;  8,562;  8,313;;;  8,313;
12546; EXTREMOZ II - 230;; 10,515; 19,783; 15,149; 14,900;;; 14,900;
7306; FOZ DO CHAPECO - 230;;  9,008;  0,031;  4,519;  5,359;;;  5,359;
6653; FCHOPIM--230;;  9,383;  0,875;  5,129;  5,359;;;  5,359;
4321; F.DIAS - 440;;  7,794;  3,497;  5,646;  5,397;;;  5,397;
4322; F.DIAS - 500;;  8,717;  4,479;  6,598;  6,349;;;  6,349;
7782; FARROUPILHA - 230;;  6,767;  0,000;  3,384;  5,359;;;  5,359;
9541; FEIJO - 230;;  0,000;  0,000;  0,000;  5,359;;;  5,359;
9095; FIBR-F RS - 230;;  6,860;  0,000;  3,430;  5,359;;;  5,359;
6651; FIGUEIRA - 230;;  6,795;  0,242;  3,518;  5,359;;;  5,359;
1194; FIRMINOPOLIS - 230;; 11,409;  6,103;  8,756;  8,507;;;  8,507;
212; FLORESTA II - 230;; 11,248; 19,365; 15,307; 15,058;;; 15,058;
21049; FORD - 230;;  7,747; 13,369; 10,558; 10,309;;; 10,309;
7743; FORQUILINHA - 230;;  6,347;  0,000;  3,173;  5,359;;;  5,359;
325; FORTALEZA II - 230;;  9,485; 17,912; 13,698; 13,450;;; 13,450;
525; FORTALEZA II - 500;; 10,464; 18,309; 14,387; 14,138;;; 14,138;
225; FORTALEZA - 230;;  9,431; 17,990; 13,710; 13,462;;; 13,462;
3642; F.IGUACU - 765;;  8,037;  1,394;  4,716;  5,359;;;  5,359;
6652; F.IGUACUNORTE - 230;;  4,467;  0,000;  2,234;  5,359;;;  5,359;
276; FUNIL - 230;;  5,616; 11,807;  8,712;  8,463;;;  8,463;
3808; FURNAS - 345;;  9,564;  5,715;  7,639;  7,390;;;  7,390;
275; G. MANGABEIRA - 230;;  8,119; 12,517; 10,318; 10,069;;; 10,069;
58405; MLGICO CE - 230;; 10,712; 18,809; 14,760; 14,512;;; 14,512;
8720; GARABI 1 - 525;;  7,847;  0,000;  3,923;  5,359;;;  5,359;
8721; GARABI 2 - 525;;  7,847;  0,000;  3,923;  5,359;;;  5,359;
349; GARANHUNS II - 230;; 10,032; 18,186; 14,109; 13,861;;; 13,861;
549; GARANHUNS - 500;; 10,341; 18,239; 14,290; 14,041;;; 14,041;
9100; GARIBALDI - 230;;  6,391;  0,000;  3,195;  5,359;;;  5,359;
46942; GASPAR 2 -230;;  6,308;  0,000;  3,154;  5,359;;;  5,359;
7713; GASPAR 2 - 525;;  7,020;  0,000;  3,510;  5,359;;;  5,359;
4533; GERDAU SP - 440;;  6,348;  1,962;  4,155;  5,359;;;  5,359;
2675; GETULINA - 440;;  8,634;  3,142;  5,888;  5,639;;;  5,639;
11051; GILBUES - 230;; 11,291; 14,397; 12,844; 12,595;;; 12,595;
836; GILBUES II - 500;; 11,479; 14,574; 13,027; 12,778;;; 12,778;
23321; GOIANIA LESTE - 230;;  8,677;  4,863;  6,770;  6,521;;;  6,521;
247; GOIANINHA - 230;;  8,948; 18,020; 13,484; 13,235;;; 13,235;
11260; Gentio do Ouro II - 230;; 12,098; 14,382; 13,240; 12,991;;; 12,991;
11560; Gentio do Ouro II - 500;; 11,664; 13,695; 12,680; 12,431;;; 12,431;
6663; PARIGOT SOUZA - 230;;  8,277;  0,000;  4,138;  5,359;;;  5,359;
7021; GUARAPUAVA OESTE - 230;;  7,797;  0,294;  4,046;  5,359;;;  5,359;
3759; GRAJAU - 500;;  8,914;  5,656;  7,285;  7,036;;;  7,036;
6664; GRALHA AZUL - 230;;  7,297;  0,114;  3,706;  5,359;;;  5,359;
7750; GRAVATAI - 525;;  7,528;  0,000;  3,764;  5,359;;;  5,359;
9110; GRAVATA2 - 230;;  7,019;  0,000;  3,509;  5,359;;;  5,359;
7924; GRAVATAI3 - 230;;  6,900;  0,000;  3,450;  5,359;;;  5,359;
50214; GUAIBA3 - 230;;  7,305;  0,000;  3,652;  5,359;;;  5,359;
50213; GUAIBA3 - 525;;  7,761;  0,000;  3,880;  5,359;;;  5,359;
9120; GUAIBA - 230;;  7,285;  0,000;  3,642;  5,359;;;  5,359;
6665; GUAIRA F -230;;  8,048;  1,280;  4,664;  5,359;;;  5,359;
6630; GUAIRA F - 525;;  8,101;  1,337;  4,719;  5,359;;;  5,359;
390; GUAMA - 230;;  9,113; 13,321; 11,217; 10,968;;; 10,968;
9130; GUARITA - 230;;  8,066;  0,000;  4,033;  5,359;;;  5,359;
3831; GUARULHOS - 345;;  4,545;  0,269;  2,407;  5,359;;;  5,359;
1638; GUILMAN - 230;;  9,736;  7,542;  8,639;  8,390;;;  8,390;
39040; GURUPI - 230;; 10,841; 11,779; 11,310; 11,061;;; 11,061;
5002; GURUPI - 500;; 11,249; 11,792; 11,520; 11,271;;; 11,271;
2720; GV - 230;;  7,636;  3,565;  5,600;  5,359;;;  5,359;
1619; VALADARES - 230;;  9,827;  7,758;  8,793;  8,544;;;  8,544;
38921; VALADARES 6 - 500;; 10,189;  8,316;  9,253;  9,004;;;  9,004;
3384; HENRY BORDEN - 230;;  4,795;  0,231;  2,513;  5,359;;;  5,359;
44652; HUBNER - 230;;  6,342;  0,000;  3,171;  5,359;;;  5,359;
38856; ILHA SOLTEIRA 2 - 230;; 10,187;  4,444;  7,315;  7,066;;;  7,066;
38876; ILHA SOLTEIRA 2 - 440;; 10,156;  4,336;  7,246;  6,997;;;  6,997;
2611; ILHA SOLTEIRA - 440;; 10,156;  4,334;  7,245;  6,996;;;  6,996;
365; IBIAPINA II – 230;; 10,367; 17,078; 13,722; 13,473;;; 13,473;
288; IBICOARA - 230;;  9,748; 10,769; 10,259; 10,010;;; 10,010;
588; IBICOARA - 500;; 10,500; 11,274; 10,887; 10,638;;; 10,638;
6680; IBIPORA - 230;;  6,691;  0,448;  3,570;  5,359;;;  5,359;
3691; IBIUNA - 345;;  5,024;  0,679;  2,851;  5,359;;;  5,359;
3690; IBIUNA - 500;;  6,468;  1,598;  4,033;  5,359;;;  5,359;
217; ICO - 230;;  9,881; 18,799; 14,340; 14,091;;; 14,091;
394; IGAPORA II - 230;; 11,725; 11,220; 11,473; 11,224;;; 11,224;
11394; IGAPORA III - 230;; 11,644; 10,993; 11,318; 11,069;;; 11,069;
11594; IGAPORA III - 500;; 11,458; 10,560; 11,009; 10,760;;; 10,760;
7714; IGUATEMI 2 MS - 230;;  7,938;  1,406;  4,672;  5,359;;;  5,359;
9264; IJUI 2 - 230;;  7,314;  0,000;  3,657;  5,359;;;  5,359;
7918; CAIACA-SC - 230;;  5,458;  0,000;  2,729;  5,359;;;  5,359;
