Número;Nome;T_C N-1;RB_Reg.;RB_Nac.;RB_Média;TB_>= Piso;LI_Env I;LS_Env S;T_C N
222; BANABUIU - 230;;  8,287; 15,257; 11,772; 11,749;;; 11,749;
3909; BANDEIRANTE GO - 345;;  8,336;  6,453;  7,395;  7,371;;;  7,371;
2934; BANDEIRANTE SP - 345;;  3,272;  0,680;  1,976;  4,563;;;  4,563;
1480; BARBACENA - 345;;  6,644;  4,964;  5,804;  5,780;;;  5,780;
11286; BARREIRAS II - 230;;  9,153; 10,849; 10,001;  9,978;;;  9,978;
286; BARREIRAS - 230;;  9,017; 10,846;  9,932;  9,908;;;  9,908;
1482; BARREIRO - 345;;  7,042;  5,570;  6,306;  6,283;;;  6,283;
846; BARREIRAS - 500;;  9,611; 10,830; 10,221; 10,198;;; 10,198;
6627; BATEIAS - 230;;  7,595;  1,278;  4,437;  4,563;;;  4,563;
3696; BATEIAS 3 - 500;;  8,055;  2,041;  5,048;  5,024;;;  5,024;
6628; BATEIAS - 525;;  8,283;  1,885;  5,084;  5,061;;;  5,061;
2628; BAURU SP - 440;;  6,923;  3,169;  5,046;  5,023;;;  5,023;
1612; BARAO DE COCAIS 3 - 230;;  6,521;  5,665;  6,093;  6,070;;;  6,070;
1485; B.DESPACHO - 500;;  8,316;  6,703;  7,510;  7,487;;;  7,487;
529; B.ESPERANCA - 500;;  8,718; 11,980; 10,349; 10,326;;; 10,326;
26454; BETIM 6 -345;;  7,304;  5,753;  6,529;  6,506;;;  6,506;
7740; BAIXO IGUACU SC - 230;;  7,310;  0,449;  3,880;  4,563;;;  4,563;
7741; BIGUACU--525;;  8,057;  1,066;  4,561;  4,563;;;  4,563;
2638; BOM JARDIM - 440;;  6,187;  3,282;  4,734;  4,711;;;  4,711;
385; B.J.LAPA II - 230;;  9,830; 10,400; 10,115; 10,092;;; 10,092;
585; BJLAPAII - 500;;  9,780;  9,702;  9,741;  9,718;;;  9,718;
285; B.J.LAPA - 230;;  9,831; 10,398; 10,115; 10,091;;; 10,091;
35351; BRASILIA LESTE - 500;;  8,789;  7,662;  8,225;  8,202;;;  8,202;
7734; BLUMENAU - 230;;  7,488;  0,675;  4,082;  4,563;;;  4,563;
