Número;Nome;T_C N-1;RB_Reg.;RB_Nac.;RB_Média;TB_>= Piso;LI_Env I;LS_Env S;T_C N
846; BARREIRAS - 500;; 11,610;; 11,610; 11,580;;; 11,580;
6627; BATEIAS - 230;;  6,585;;  6,585;  6,555;;;  6,555;
3696; BATEIAS 3 - 500;;  7,030;;  7,030;  7,000;;;  7,000;
6628; BATEIAS - 525;;  7,210;;  7,210;  7,179;;;  7,179;
2628; BAURU SP - 440;;  7,376;;  7,376;  7,346;;;  7,346;
1612; BARAO DE COCAIS 3 - 230;;  8,356;;  8,356;  8,326;;;  8,326;
1485; B.DESPACHO - 500;; 10,094;; 10,094; 10,064;;; 10,064;
529; B.ESPERANCA - 500;; 11,076;; 11,076; 11,046;;; 11,046;
26454; BETIM 6 -345;;  9,274;;  9,274;  9,244;;;  9,244;
7740; BAIXO IGUACU SC - 230;;  5,908;;  5,908;  5,878;;;  5,878;
7741; BIGUACU--525;;  6,764;;  6,764;  6,734;;;  6,734;
2638; BOM JARDIM - 440;;  6,668;;  6,668;  6,638;;;  6,638;
385; B.J.LAPA II - 230;; 11,712;; 11,712; 11,682;;; 11,682;
585; BJLAPAII - 500;; 11,774;; 11,774; 11,744;;; 11,744;
285; B.J.LAPA - 230;; 11,712;; 11,712; 11,682;;; 11,682;
35351; BRASILIA LESTE - 500;; 10,716;; 10,716; 10,686;;; 10,686;
7734; BLUMENAU - 230;;  6,118;;  6,118;  6,088;;;  6,088;
7733; BLUMENAU - 525;;  6,744;;  6,744;  6,714;;;  6,714;
220; BOM NOME - 230;; 11,286;; 11,286; 11,256;;; 11,256;
243; BONGI - 230;;  8,029;;  8,029;  7,999;;;  7,999;
2777; BOTUCATU - 230;;  5,357;;  5,357;  5,335;;;  5,335;
3936; BRASILIA GERAL - 230;;  9,266;;  9,266;  9,236;;;  9,236;
3920; BRAS. SUL - 230;;  9,674;;  9,674;  9,644;;;  9,644;
3919; BRAS. SUL -345;; 10,205;; 10,205; 10,175;;; 10,175;
3300; BRASNORTE - 230;;  9,357;;  9,357;  9,327;;;  9,327;
1600; BRAUNA - 230;;  9,923;;  9,923;  9,893;;;  9,893;
205; BROT.MACAUBAS - 230;; 12,103;; 12,103; 12,073;;; 12,073;
376; BRUMADO II - 230;;  8,847;;  8,847;  8,817;;;  8,817;
38913; HELIO VALGAS MG - 345;; 11,959;; 11,959; 11,929;;; 11,929;
12318; BURITIRAMA - 500;; 11,755;; 11,755; 11,725;;; 11,725;
9266; CRUZ ALTA 2 - 230;;  7,269;;  7,269;  7,239;;;  7,239;
4481; CANA BRAVA - 230;; 12,242;; 12,242; 12,212;;; 12,212;
6615; C.COMPRIDO - 230;;  6,381;;  6,381;  6,351;;;  6,351;
270; CIC.DANTAS - 230;;  9,999;;  9,999;  9,969;;;  9,969;
11461; CAMPO FORMOSO - 230;; 11,546;; 11,546; 11,516;;; 11,516;
9020; C.INDUSTRIAL - 230;;  6,748;;  6,748;  6,718;;;  6,718;
236; COELHO NETO - 230;;  8,281;;  8,281;  8,251;;;  8,251;
11253; CURRAIS NOVOS II - 230;; 11,201;; 11,201; 11,171;;; 11,171;
3720; C. PAULISTA - 500;;  9,389;;  9,389;  9,359;;;  9,359;
38871; CACU - 230;; 12,037;; 12,037; 12,007;;; 12,007;
2649; CABREUVA - 230;;  5,063;;  5,063;  5,335;;;  5,335;
2647; CABREUVA - 440;;  6,125;;  6,125;  6,095;;;  6,095;
58008; CAETES II - 230;; 10,202;; 10,202; 10,172;;; 10,172;
51457; CAMAQUA 3 - 230;;  7,013;;  7,013;  6,982;;;  6,982;
574; CAMACARI - 500;;  9,318;;  9,318;  9,288;;;  9,288;
284; CAMACARI IV - 230;;  8,518;;  8,518;  8,488;;;  8,488;
584; CAMACARI IV - 500;;  9,283;;  9,283;  9,253;;;  9,253;
9030; CAMAQUA - 230;;  6,869;;  6,869;  6,839;;;  6,839;
3701; CAMPINAS - 345;;  6,213;;  6,213;  6,183;;;  6,183;
3700; CAMPINAS - 500;;  7,411;;  7,411;  7,381;;;  7,381;
38951; CAMPOS 2 - 500;;  9,682;;  9,682;  9,652;;;  9,652;
9015; CAMPO BOM - 230;;  6,008;;  6,008;  5,978;;;  5,978;
3785; CAMPOS - 345;;  9,850;;  9,850;  9,820;;;  9,820;
38873; CANARANA CMT - 230;;  6,727;;  6,727;  6,696;;;  6,696;
9283; CANDELARIA 2 - 230;;  7,698;;  7,698;  7,668;;;  7,668;
9040; CANDIOTA 2 - 230;;  7,561;;  7,561;  7,531;;;  7,531;
7753; CANDIOTA 2 - 525;;  7,516;;  7,516;  7,486;;;  7,486;
