GENERATOR,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
EOL ANGICOS I,0,10.878,11.646,12.723,13.828,15.991,16.108,16.554,16.408,16.431,16.411,16.391000000000002,16.371000000000002,16.351000000000003,16.331000000000003,16.311000000000003,16.291000000000004,16.271000000000004
EOL ANGICOS II,0,10.878,11.646,12.723,13.828,15.991,16.108,16.554,16.408,16.431,16.411,16.391000000000002,16.371000000000002,16.351000000000003,16.331000000000003,16.311000000000003,16.291000000000004,16.271000000000004
EOL APELIOTES(RIACHAO VI),0,10.042,10.812,11.742,12.873,14.498,14.586,15.087,14.922,14.944,14.924000000000001,14.904000000000002,14.884000000000002,14.864000000000003,14.844000000000003,14.824000000000003,14.804000000000004,14.784000000000004
EOL AQUIBATA,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ARAPAPA,0,10.528,10.863,10.503,10.875,11.123,11.117,11.496,11.201,11.217,11.197000000000001,11.177000000000001,11.157000000000002,11.137000000000002,11.117000000000003,11.097000000000003,11.077000000000004,11.057000000000004
EOL ARARINHA AZUL,0,10.528,10.863,10.503,10.875,11.123,11.117,11.496,11.201,11.217,11.197000000000001,11.177000000000001,11.157000000000002,11.137000000000002,11.117000000000003,11.097000000000003,11.077000000000004,11.057000000000004
EOL ARATUA 1,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ARENA (RIACHAO VII),0,10.042,10.812,11.742,12.873,14.498,14.586,15.087,14.922,14.944,14.924000000000001,14.904000000000002,14.884000000000002,14.864000000000003,14.844000000000003,14.824000000000003,14.804000000000004,14.784000000000004
EOL ARIZONA 1,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL AROEIRA,0,10.64,11.454,12.387,13.469,14.82,14.914,15.445,15.288,15.31,15.290000000000001,15.270000000000001,15.250000000000002,15.230000000000002,15.210000000000003,15.190000000000003,15.170000000000003,15.150000000000004
EOL AROEIRA 1,0,10.81,11.14,11.257,11.859,12.312,12.328,12.747,12.505,12.523,12.503,12.483,12.463000000000001,12.443000000000001,12.423000000000002,12.403000000000002,12.383000000000003,12.363000000000003
