Número;Nome;T_C N-1;RB_Reg.;RB_Nac.;RB_Média;TB_>= Piso;LI_Env I;LS_Env S;T_C N
846; BARREIRAS - 500;; 11,260;; 11,260; 11,236;;; 11,236;
6627; BATEIAS - 230;;  6,449;;  6,449;  6,425;;;  6,425;
3696; BATEIAS 3 - 500;;  6,983;;  6,983;  6,959;;;  6,959;
6628; BATEIAS - 525;;  7,170;;  7,170;  7,146;;;  7,146;
2628; BAURU SP - 440;;  7,222;;  7,222;  7,199;;;  7,199;
1612; BARAO DE COCAIS 3 - 230;;  8,114;;  8,114;  8,090;;;  8,090;
1485; B.DESPACHO - 500;;  9,807;;  9,807;  9,783;;;  9,783;
529; B.ESPERANCA - 500;; 10,699;; 10,699; 10,675;;; 10,675;
26454; BETIM 6 -345;;  9,035;;  9,035;  9,011;;;  9,011;
7740; BAIXO IGUACU SC - 230;;  6,012;;  6,012;  5,988;;;  5,988;
7741; BIGUACU--525;;  6,809;;  6,809;  6,785;;;  6,785;
2638; BOM JARDIM - 440;;  6,557;;  6,557;  6,533;;;  6,533;
385; B.J.LAPA II - 230;; 11,359;; 11,359; 11,335;;; 11,335;
585; BJLAPAII - 500;; 11,413;; 11,413; 11,389;;; 11,389;
285; B.J.LAPA - 230;; 11,359;; 11,359; 11,335;;; 11,335;
35351; BRASILIA LESTE - 500;; 10,377;; 10,377; 10,353;;; 10,353;
7734; BLUMENAU - 230;;  6,189;;  6,189;  6,165;;;  6,165;
7733; BLUMENAU - 525;;  6,780;;  6,780;  6,756;;;  6,756;
220; BOM NOME - 230;; 10,904;; 10,904; 10,880;;; 10,880;
243; BONGI - 230;;  7,739;;  7,739;  7,715;;;  7,715;
2777; BOTUCATU - 230;;  5,282;;  5,282;  5,258;;;  5,258;
3936; BRASILIA GERAL - 230;;  8,913;;  8,913;  8,889;;;  8,889;
3920; BRAS. SUL - 230;;  9,305;;  9,305;  9,281;;;  9,281;
3919; BRAS. SUL -345;;  9,884;;  9,884;  9,861;;;  9,861;
3300; BRASNORTE - 230;;  9,186;;  9,186;  9,162;;;  9,162;
1600; BRAUNA - 230;;  9,617;;  9,617;  9,593;;;  9,593;
205; BROT.MACAUBAS - 230;; 11,726;; 11,726; 11,702;;; 11,702;
376; BRUMADO II - 230;;  8,596;;  8,596;  8,572;;;  8,572;
38913; HELIO VALGAS MG - 345;; 11,567;; 11,567; 11,544;;; 11,544;
12318; BURITIRAMA - 500;; 11,395;; 11,395; 11,371;;; 11,371;
9266; CRUZ ALTA 2 - 230;;  7,372;;  7,372;  7,348;;;  7,348;
4481; CANA BRAVA - 230;; 11,618;; 11,618; 11,594;;; 11,594;
6615; C.COMPRIDO - 230;;  6,123;;  6,123;  6,099;;;  6,099;
270; CIC.DANTAS - 230;;  9,676;;  9,676;  9,652;;;  9,652;
11461; CAMPO FORMOSO - 230;; 11,212;; 11,212; 11,188;;; 11,188;
9020; C.INDUSTRIAL - 230;;  6,798;;  6,798;  6,774;;;  6,774;
236; COELHO NETO - 230;;  8,076;;  8,076;  8,052;;;  8,052;
11253; CURRAIS NOVOS II - 230;; 10,816;; 10,816; 10,792;;; 10,792;
3720; C. PAULISTA - 500;;  9,178;;  9,178;  9,154;;;  9,154;
38871; CACU - 230;; 11,652;; 11,652; 11,628;;; 11,628;
2649; CABREUVA - 230;;  5,018;;  5,018;  5,178;;;  5,178;
2647; CABREUVA - 440;;  6,033;;  6,033;  6,009;;;  6,009;
58008; CAETES II - 230;;  9,838;;  9,838;  9,814;;;  9,814;
51457; CAMAQUA 3 - 230;;  7,056;;  7,056;  7,032;;;  7,032;
574; CAMACARI - 500;;  9,017;;  9,017;  8,993;;;  8,993;
284; CAMACARI IV - 230;;  8,304;;  8,304;  8,280;;;  8,280;
584; CAMACARI IV - 500;;  8,995;;  8,995;  8,971;;;  8,971;
9030; CAMAQUA - 230;;  6,921;;  6,921;  6,897;;;  6,897;
3701; CAMPINAS - 345;;  6,135;;  6,135;  6,111;;;  6,111;
3700; CAMPINAS - 500;;  7,286;;  7,286;  7,262;;;  7,262;
38951; CAMPOS 2 - 500;;  9,418;;  9,418;  9,395;;;  9,395;
9015; CAMPO BOM - 230;;  6,240;;  6,240;  6,216;;;  6,216;
3785; CAMPOS - 345;;  9,558;;  9,558;  9,534;;;  9,534;
