GENERATOR,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
EOL ANGICO,0,10.456,10.787,10.559,10.941,11.426,11.486,11.907,11.689,11.706,11.686,11.666,11.646,11.626000000000001,11.606000000000002,11.586000000000002,11.566000000000003,11.546000000000003
EOL ANGICOS I,0,10.878,9.942,10.1,10.327,11.534,11.61,12.001,11.879,11.897,11.877,11.857000000000001,11.837000000000002,11.817000000000002,11.797000000000002,11.777000000000003,11.757000000000003,11.737000000000004
EOL ANGICOS II,0,10.878,9.942,10.1,10.327,11.534,11.61,12.001,11.879,11.897,11.877,11.857000000000001,11.837000000000002,11.817000000000002,11.797000000000002,11.777000000000003,11.757000000000003,11.737000000000004
EOL APELIOTES(RIACHAO VI),0,10.042,9.038,9.035,9.255,10.234,10.287,10.664,10.529,10.545,10.525,10.505,10.485000000000001,10.465000000000002,10.445000000000002,10.425000000000002,10.405000000000003,10.385000000000003
EOL AQUIBATA,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ARAPAPA,0,10.528,10.847,10.616,10.999,11.487,11.548,11.973,11.755,11.772,11.752,11.732000000000001,11.712000000000002,11.692000000000002,11.672000000000002,11.652000000000003,11.632000000000003,11.612000000000004
EOL ARARINHA AZUL,0,10.528,10.847,10.616,10.999,11.487,11.548,11.973,11.755,11.772,11.752,11.732000000000001,11.712000000000002,11.692000000000002,11.672000000000002,11.652000000000003,11.632000000000003,11.612000000000004
EOL ARATUA 1,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ARENA (RIACHAO VII),0,10.042,9.038,9.035,9.255,10.234,10.287,10.664,10.529,10.545,10.525,10.505,10.485000000000001,10.465000000000002,10.445000000000002,10.425000000000002,10.405000000000003,10.385000000000003
EOL ARIZONA 1,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL AROEIRA,0,10.64,9.792,9.851,10.082,10.821,10.885,11.296,11.169,11.185,11.165000000000001,11.145000000000001,11.125000000000002,11.105000000000002,11.085000000000003,11.065000000000003,11.045000000000003,11.025000000000004
EOL AROEIRA 1,0,10.81,10.428,10.283,10.552,10.995,11.042,11.449,11.274,11.291,11.271,11.251000000000001,11.231000000000002,11.211000000000002,11.191000000000003,11.171000000000003,11.151000000000003,11.131000000000004
EOL AROEIRA 2,0,10.81,10.428,10.283,10.552,10.995,11.042,11.449,11.274,11.291,11.271,11.251000000000001,11.231000000000002,11.211000000000002,11.191000000000003,11.171000000000003,11.151000000000003,11.131000000000004
EOL AROEIRA 3,0,10.81,10.428,10.283,10.552,10.995,11.042,11.449,11.274,11.291,11.271,11.251000000000001,11.231000000000002,11.211000000000002,11.191000000000003,11.171000000000003,11.151000000000003,11.131000000000004
EOL AROEIRA 4,0,10.81,10.428,10.283,10.552,10.995,11.042,11.449,11.274,11.291,11.271,11.251000000000001,11.231000000000002,11.211000000000002,11.191000000000003,11.171000000000003,11.151000000000003,11.131000000000004
EOL AROEIRA 5,0,10.81,10.428,10.283,10.552,10.995,11.042,11.449,11.274,11.291,11.271,11.251000000000001,11.231000000000002,11.211000000000002,11.191000000000003,11.171000000000003,11.151000000000003,11.131000000000004
EOL AROEIRA 6,0,10.81,10.428,10.283,10.552,10.995,11.042,11.449,11.274,11.291,11.271,11.251000000000001,11.231000000000002,11.211000000000002,11.191000000000003,11.171000000000003,11.151000000000003,11.131000000000004
EOL AROEIRA 7,0,10.81,10.428,10.283,10.552,10.995,11.042,11.449,11.274,11.291,11.271,11.251000000000001,11.231000000000002,11.211000000000002,11.191000000000003,11.171000000000003,11.151000000000003,11.131000000000004
EOL AROEIRA 8,0,10.81,10.428,10.283,10.552,10.995,11.042,11.449,11.274,11.291,11.271,11.251000000000001,11.231000000000002,11.211000000000002,11.191000000000003,11.171000000000003,11.151000000000003,11.131000000000004
EOL ASA BRANCA I,0,10.64,9.792,9.851,10.082,10.821,10.885,11.296,11.169,11.185,11.165000000000001,11.145000000000001,11.125000000000002,11.105000000000002,11.085000000000003,11.065000000000003,11.045000000000003,11.025000000000004
EOL ASA BRANCA II,0,10.64,9.792,9.851,10.082,10.821,10.885,11.296,11.169,11.185,11.165000000000001,11.145000000000001,11.125000000000002,11.105000000000002,11.085000000000003,11.065000000000003,11.045000000000003,11.025000000000004
EOL ASA BRANCA III,0,10.64,9.792,9.851,10.082,10.821,10.885,11.296,11.169,11.185,11.165000000000001,11.145000000000001,11.125000000000002,11.105000000000002,11.085000000000003,11.065000000000003,11.045000000000003,11.025000000000004
EOL ASA BRANCA IV,0,10.64,9.792,9.851,10.082,10.821,10.885,11.296,11.169,11.185,11.165000000000001,11.145000000000001,11.125000000000002,11.105000000000002,11.085000000000003,11.065000000000003,11.045000000000003,11.025000000000004
EOL ASA BRANCA V,0,10.64,9.792,9.851,10.082,10.821,10.885,11.296,11.169,11.185,11.165000000000001,11.145000000000001,11.125000000000002,11.105000000000002,11.085000000000003,11.065000000000003,11.045000000000003,11.025000000000004
EOL ASA BRANCA VI,0,10.64,9.792,9.851,10.082,10.821,10.885,11.296,11.169,11.185,11.165000000000001,11.145000000000001,11.125000000000002,11.105000000000002,11.085000000000003,11.065000000000003,11.045000000000003,11.025000000000004
EOL ASA BRANCA VII,0,10.64,9.792,9.851,10.082,10.821,10.885,11.296,11.169,11.185,11.165000000000001,11.145000000000001,11.125000000000002,11.105000000000002,11.085000000000003,11.065000000000003,11.045000000000003,11.025000000000004
EOL ASA BRANCA VIII,0,10.64,9.792,9.851,10.082,10.821,10.885,11.296,11.169,11.185,11.165000000000001,11.145000000000001,11.125000000000002,11.105000000000002,11.085000000000003,11.065000000000003,11.045000000000003,11.025000000000004
EOL ASSURUA 4 I,0,11.069,11.194,11.032,11.355,11.8,11.859,12.291,12.123,12.14,12.120000000000001,12.100000000000001,12.080000000000002,12.060000000000002,12.040000000000003,12.020000000000003,12.000000000000004,11.980000000000004
EOL ASSURUA 4 II,0,11.069,11.194,11.032,11.355,11.8,11.859,12.291,12.123,12.14,12.120000000000001,12.100000000000001,12.080000000000002,12.060000000000002,12.040000000000003,12.020000000000003,12.000000000000004,11.980000000000004
EOL ASSURUA 4 III,0,11.069,11.194,11.032,11.355,11.8,11.859,12.291,12.123,12.14,12.120000000000001,12.100000000000001,12.080000000000002,12.060000000000002,12.040000000000003,12.020000000000003,12.000000000000004,11.980000000000004
EOL ASSURUA 4 IV,0,11.069,11.194,11.032,11.355,11.8,11.859,12.291,12.123,12.14,12.120000000000001,12.100000000000001,12.080000000000002,12.060000000000002,12.040000000000003,12.020000000000003,12.000000000000004,11.980000000000004
EOL ASSURUA 4 V,0,11.069,11.194,11.032,11.355,11.8,11.859,12.291,12.123,12.14,12.120000000000001,12.100000000000001,12.080000000000002,12.060000000000002,12.040000000000003,12.020000000000003,12.000000000000004,11.980000000000004
EOL ASSURUA 4 VI,0,11.069,11.194,11.032,11.355,11.8,11.859,12.291,12.123,12.14,12.120000000000001,12.100000000000001,12.080000000000002,12.060000000000002,12.040000000000003,12.020000000000003,12.000000000000004,11.980000000000004
EOL ASSURUA 5 I,0,11.069,11.194,11.032,11.355,11.8,11.859,12.291,12.123,12.14,12.120000000000001,12.100000000000001,12.080000000000002,12.060000000000002,12.040000000000003,12.020000000000003,12.000000000000004,11.980000000000004
EOL ASSURUA 5 II,0,11.069,11.194,11.032,11.355,11.8,11.859,12.291,12.123,12.14,12.120000000000001,12.100000000000001,12.080000000000002,12.060000000000002,12.040000000000003,12.020000000000003,12.000000000000004,11.980000000000004
EOL ASSURUA 5 III,0,11.069,11.194,11.032,11.355,11.8,11.859,12.291,12.123,12.14,12.120000000000001,12.100000000000001,12.080000000000002,12.060000000000002,12.040000000000003,12.020000000000003,12.000000000000004,11.980000000000004
EOL ASSURUA 5 IV,0,11.069,11.194,11.032,11.355,11.8,11.859,12.291,12.123,12.14,12.120000000000001,12.100000000000001,12.080000000000002,12.060000000000002,12.040000000000003,12.020000000000003,12.000000000000004,11.980000000000004
EOL ASSURUA 5 V,0,11.069,11.194,11.032,11.355,11.8,11.859,12.291,12.123,12.14,12.120000000000001,12.100000000000001,12.080000000000002,12.060000000000002,12.040000000000003,12.020000000000003,12.000000000000004,11.980000000000004
EOL ASSURUA 5 VI,0,11.069,11.194,11.032,11.355,11.8,11.859,12.291,12.123,12.14,12.120000000000001,12.100000000000001,12.080000000000002,12.060000000000002,12.040000000000003,12.020000000000003,12.000000000000004,11.980000000000004
EOL ASSURUA II,0,10.918,10.295,10.099,10.37,10.583,10.626,11.014,10.827,10.843,10.823,10.803,10.783000000000001,10.763000000000002,10.743000000000002,10.723000000000003,10.703000000000003,10.683000000000003
EOL ASSURUA III,0,10.918,10.295,10.099,10.37,10.583,10.626,11.014,10.827,10.843,10.823,10.803,10.783000000000001,10.763000000000002,10.743000000000002,10.723000000000003,10.703000000000003,10.683000000000003
EOL ASSURUA IV,0,10.918,10.295,10.099,10.37,10.583,10.626,11.014,10.827,10.843,10.823,10.803,10.783000000000001,10.763000000000002,10.743000000000002,10.723000000000003,10.703000000000003,10.683000000000003
EOL ASSURUA V,0,10.918,10.295,10.099,10.37,10.583,10.626,11.014,10.827,10.843,10.823,10.803,10.783000000000001,10.763000000000002,10.743000000000002,10.723000000000003,10.703000000000003,10.683000000000003
EOL ASSURUA VII,0,10.918,10.295,10.099,10.37,10.583,10.626,11.014,10.827,10.843,10.823,10.803,10.783000000000001,10.763000000000002,10.743000000000002,10.723000000000003,10.703000000000003,10.683000000000003
EOL ATLANTICA I,0,5.5,8.011,8.083,7.849,7.086,6.756,6.684,6.902,6.912,6.892,6.872000000000001,6.852000000000001,6.832000000000002,6.812000000000002,6.7920000000000025,6.772000000000003,6.752000000000003
EOL ATLANTICA II,0,5.5,8.011,8.083,7.849,7.086,6.756,6.684,6.902,6.912,6.892,6.872000000000001,6.852000000000001,6.832000000000002,6.812000000000002,6.7920000000000025,6.772000000000003,6.752000000000003
EOL ATLANTICA IV,0,5.5,8.011,8.083,7.849,7.086,6.756,6.684,6.902,6.912,6.892,6.872000000000001,6.852000000000001,6.832000000000002,6.812000000000002,6.7920000000000025,6.772000000000003,6.752000000000003
EOL ATLANTICA V,0,5.5,8.011,8.083,7.849,7.086,6.756,6.684,6.902,6.912,6.892,6.872000000000001,6.852000000000001,6.832000000000002,6.812000000000002,6.7920000000000025,6.772000000000003,6.752000000000003
EOL AURA CAETITE 01,0,10.456,10.787,10.559,10.941,11.496,11.558,11.983,11.766,11.783,11.763,11.743,11.723,11.703000000000001,11.683000000000002,11.663000000000002,11.643000000000002,11.623000000000003
EOL AURA CAETITE 02,0,10.456,10.787,10.559,10.941,11.496,11.558,11.983,11.766,11.783,11.763,11.743,11.723,11.703000000000001,11.683000000000002,11.663000000000002,11.643000000000002,11.623000000000003
EOL AURA CAETITE 03,0,10.456,10.787,10.559,10.941,11.496,11.558,11.983,11.766,11.783,11.763,11.743,11.723,11.703000000000001,11.683000000000002,11.663000000000002,11.643000000000002,11.623000000000003
EOL AURA CAETITE 04,0,10.456,10.787,10.559,10.941,11.496,11.558,11.983,11.766,11.783,11.763,11.743,11.723,11.703000000000001,11.683000000000002,11.663000000000002,11.643000000000002,11.623000000000003
EOL AURA LAGOA DO BARRO 01,0,10.859,10.181,10.115,10.347,11.318,11.325,11.78,11.651,11.668,11.648,11.628,11.608,11.588000000000001,11.568000000000001,11.548000000000002,11.528000000000002,11.508000000000003
EOL AURA LAGOA DO BARRO 02,0,10.859,10.181,10.115,10.347,11.318,11.325,11.78,11.651,11.668,11.648,11.628,11.608,11.588000000000001,11.568000000000001,11.548000000000002,11.528000000000002,11.508000000000003
EOL AURA LAGOA DO BARRO 03,0,10.859,10.181,10.115,10.347,11.318,11.325,11.78,11.651,11.668,11.648,11.628,11.608,11.588000000000001,11.568000000000001,11.548000000000002,11.528000000000002,11.508000000000003
EOL AURA LAGOA DO BARRO 04,0,10.859,10.181,10.115,10.347,11.318,11.325,11.78,11.651,11.668,11.648,11.628,11.608,11.588000000000001,11.568000000000001,11.548000000000002,11.528000000000002,11.508000000000003
EOL AURA LAGOA DO BARRO 05,0,10.859,10.181,10.115,10.347,11.318,11.325,11.78,11.651,11.668,11.648,11.628,11.608,11.588000000000001,11.568000000000001,11.548000000000002,11.528000000000002,11.508000000000003
EOL AURA LAGOA DO BARRO 06,0,10.859,10.181,10.115,10.347,11.318,11.325,11.78,11.651,11.668,11.648,11.628,11.608,11.588000000000001,11.568000000000001,11.548000000000002,11.528000000000002,11.508000000000003
EOL AURA LAGOA DO BARRO 07,0,10.859,10.181,10.115,10.347,11.318,11.325,11.78,11.651,11.668,11.648,11.628,11.608,11.588000000000001,11.568000000000001,11.548000000000002,11.528000000000002,11.508000000000003
EOL AURA MANGUEIRA IV,0,6.613,9.096,9.201,8.979,8.468,8.153,8.146,8.362,8.374,8.354000000000001,8.334000000000001,8.314000000000002,8.294000000000002,8.274000000000003,8.254000000000003,8.234000000000004,8.214000000000004
EOL AURA MANGUEIRA VI,0,6.613,9.096,9.201,8.979,8.468,8.153,8.146,8.362,8.374,8.354000000000001,8.334000000000001,8.314000000000002,8.294000000000002,8.274000000000003,8.254000000000003,8.234000000000004,8.214000000000004
EOL AURA MANGUEIRA VII,0,6.613,9.096,9.201,8.979,8.468,8.153,8.146,8.362,8.374,8.354000000000001,8.334000000000001,8.314000000000002,8.294000000000002,8.274000000000003,8.254000000000003,8.234000000000004,8.214000000000004
EOL AURA MANGUEIRA XI,0,6.613,9.096,9.201,8.979,8.468,8.153,8.146,8.362,8.374,8.354000000000001,8.334000000000001,8.314000000000002,8.294000000000002,8.274000000000003,8.254000000000003,8.234000000000004,8.214000000000004
EOL AURA MANGUEIRA XII,0,6.613,9.096,9.201,8.979,8.468,8.153,8.146,8.362,8.374,8.354000000000001,8.334000000000001,8.314000000000002,8.294000000000002,8.274000000000003,8.254000000000003,8.234000000000004,8.214000000000004
EOL AURA MANGUEIRA XIII,0,6.613,9.096,9.201,8.979,8.468,8.153,8.146,8.362,8.374,8.354000000000001,8.334000000000001,8.314000000000002,8.294000000000002,8.274000000000003,8.254000000000003,8.234000000000004,8.214000000000004
EOL AURA MANGUEIRA XV,0,6.613,9.096,9.201,8.979,8.468,8.153,8.146,8.362,8.374,8.354000000000001,8.334000000000001,8.314000000000002,8.294000000000002,8.274000000000003,8.254000000000003,8.234000000000004,8.214000000000004
EOL AURA MANGUEIRA XVII,0,6.613,9.096,9.201,8.979,8.468,8.153,8.146,8.362,8.374,8.354000000000001,8.334000000000001,8.314000000000002,8.294000000000002,8.274000000000003,8.254000000000003,8.234000000000004,8.214000000000004
EOL AURA MIRIM II,0,6.613,9.096,9.201,8.979,8.468,8.153,8.146,8.362,8.374,8.354000000000001,8.334000000000001,8.314000000000002,8.294000000000002,8.274000000000003,8.254000000000003,8.234000000000004,8.214000000000004
EOL AURA MIRIM IV,0,6.613,9.096,9.201,8.979,8.468,8.153,8.146,8.362,8.374,8.354000000000001,8.334000000000001,8.314000000000002,8.294000000000002,8.274000000000003,8.254000000000003,8.234000000000004,8.214000000000004
