Número;Nome;T_C N-1;RB_Reg.;RB_Nac.;RB_Média;TB_>= Piso;LI_Env I;LS_Env S;T_C N
846; BARREIRAS - 500;; 11,215;; 11,215; 11,197;;; 11,197;
6627; BATEIAS - 230;;  6,689;;  6,689;  6,671;;;  6,671;
3696; BATEIAS 3 - 500;;  7,178;;  7,178;  7,160;;;  7,160;
6628; BATEIAS - 525;;  7,390;;  7,390;  7,371;;;  7,371;
2628; BAURU SP - 440;;  7,295;;  7,295;  7,276;;;  7,276;
1612; BARAO DE COCAIS 3 - 230;;  8,100;;  8,100;  8,082;;;  8,082;
1485; B.DESPACHO - 500;;  9,796;;  9,796;  9,778;;;  9,778;
529; B.ESPERANCA - 500;; 10,677;; 10,677; 10,659;;; 10,659;
26454; BETIM 6 -345;;  9,045;;  9,045;  9,027;;;  9,027;
7740; BAIXO IGUACU SC - 230;;  6,335;;  6,335;  6,316;;;  6,316;
7741; BIGUACU--525;;  7,088;;  7,088;  7,070;;;  7,070;
2638; BOM JARDIM - 440;;  6,639;;  6,639;  6,621;;;  6,621;
385; B.J.LAPA II - 230;; 11,310;; 11,310; 11,292;;; 11,292;
585; BJLAPAII - 500;; 11,361;; 11,361; 11,343;;; 11,343;
285; B.J.LAPA - 230;; 11,310;; 11,310; 11,292;;; 11,292;
35351; BRASILIA LESTE - 500;; 10,354;; 10,354; 10,336;;; 10,336;
7734; BLUMENAU - 230;;  6,488;;  6,488;  6,470;;;  6,470;
7733; BLUMENAU - 525;;  7,057;;  7,057;  7,039;;;  7,039;
220; BOM NOME - 230;; 10,769;; 10,769; 10,750;;; 10,750;
243; BONGI - 230;;  7,709;;  7,709;  7,690;;;  7,690;
2777; BOTUCATU - 230;;  5,393;;  5,393;  5,374;;;  5,374;
3936; BRASILIA GERAL - 230;;  8,923;;  8,923;  8,904;;;  8,904;
3920; BRAS. SUL - 230;;  9,309;;  9,309;  9,291;;;  9,291;
3919; BRAS. SUL -345;;  9,875;;  9,875;  9,857;;;  9,857;
3300; BRASNORTE - 230;;  9,282;;  9,282;  9,264;;;  9,264;
1600; BRAUNA - 230;;  9,577;;  9,577;  9,559;;;  9,559;
205; BROT.MACAUBAS - 230;; 11,666;; 11,666; 11,648;;; 11,648;
376; BRUMADO II - 230;;  8,584;;  8,584;  8,566;;;  8,566;
38913; HELIO VALGAS MG - 345;; 11,494;; 11,494; 11,476;;; 11,476;
12318; BURITIRAMA - 500;; 11,351;; 11,351; 11,333;;; 11,333;
9266; CRUZ ALTA 2 - 230;;  7,722;;  7,722;  7,704;;;  7,704;
4481; CANA BRAVA - 230;; 11,547;; 11,547; 11,529;;; 11,529;
6615; C.COMPRIDO - 230;;  6,381;;  6,381;  6,362;;;  6,362;
270; CIC.DANTAS - 230;;  9,621;;  9,621;  9,602;;;  9,602;
11461; CAMPO FORMOSO - 230;; 11,179;; 11,179; 11,160;;; 11,160;
9020; C.INDUSTRIAL - 230;;  7,098;;  7,098;  7,080;;;  7,080;
236; COELHO NETO - 230;;  8,138;;  8,138;  8,120;;;  8,120;
11253; CURRAIS NOVOS II - 230;; 10,747;; 10,747; 10,729;;; 10,729;
3720; C. PAULISTA - 500;;  9,229;;  9,229;  9,210;;;  9,210;
38871; CACU - 230;; 11,592;; 11,592; 11,574;;; 11,574;
2649; CABREUVA - 230;;  5,136;;  5,136;  5,180;;;  5,180;
2647; CABREUVA - 440;;  6,124;;  6,124;  6,106;;;  6,106;
58008; CAETES II - 230;;  9,777;;  9,777;  9,759;;;  9,759;
51457; CAMAQUA 3 - 230;;  7,355;;  7,355;  7,336;;;  7,336;
574; CAMACARI - 500;;  8,975;;  8,975;  8,957;;;  8,957;
284; CAMACARI IV - 230;;  8,269;;  8,269;  8,251;;;  8,251;
584; CAMACARI IV - 500;;  8,953;;  8,953;  8,935;;;  8,935;
9030; CAMAQUA - 230;;  7,223;;  7,223;  7,205;;;  7,205;
3701; CAMPINAS - 345;;  6,252;;  6,252;  6,234;;;  6,234;
3700; CAMPINAS - 500;;  7,385;;  7,385;  7,367;;;  7,367;
38951; CAMPOS 2 - 500;;  9,419;;  9,419;  9,401;;;  9,401;
9015; CAMPO BOM - 230;;  6,547;;  6,547;  6,528;;;  6,528;
3785; CAMPOS - 345;;  9,532;;  9,532;  9,514;;;  9,514;
38873; CANARANA CMT - 230;;  6,832;;  6,832;  6,814;;;  6,814;
9283; CANDELARIA 2 - 230;;  8,101;;  8,101;  8,083;;;  8,083;
9040; CANDIOTA 2 - 230;;  7,896;;  7,896;  7,877;;;  7,877;
7753; CANDIOTA 2 - 525;;  7,834;;  7,834;  7,816;;;  7,816;
50209; CANDIOTA - 230;;  7,896;;  7,896;  7,878;;;  7,878;
9045; CANOA 1 - 230;;  6,874;;  6,874;  6,856;;;  6,856;
9050; CANOAS 2 - 230;;  7,695;;  7,695;  7,677;;;  7,677;
7778; CANOINHA - 230;;  5,623;;  5,623;  5,605;;;  5,605;
50215; CAPIVARI-230;;  7,342;;  7,342;  7,324;;;  7,324;
50212; CAPIVARI-525;;  7,470;;  7,470;  7,451;;;  7,451;
2622; CAPIVARA - 440;;  8,582;;  8,582;  8,564;;;  8,564;
1202; CARAJAS GO - 230;;  8,938;;  8,938;  8,920;;;  8,920;
916; CARAJAS PA - 230;;  9,788;;  9,788;  9,770;;;  9,770;
2966; CARBOCLORO - 230;;  4,454;;  4,454;  5,180;;;  5,180;
6624; CASCAVEL - 230;;  7,377;;  7,377;  7,358;;;  7,358;
44900; CASCAVEL NORT - 230;;  7,192;;  7,192;  7,174;;;  7,174;
6625; CASCAVEL OESTE - 230;;  7,592;;  7,592;  7,573;;;  7,573;
6626; CASCAVOE - 525;;  7,928;;  7,928;  7,910;;;  7,910;
6762; CAMPO ASSOBIO - 230;;  6,130;;  6,130;  6,112;;;  6,112;
235; CASTANHA - 230;;  8,076;;  8,076;  8,058;;;  8,058;
51704; CASTERTECH - 230;;  6,787;;  6,787;  6,768;;;  6,768;
7023; CASTRO NORTE - 230;;  6,227;;  6,227;  6,208;;;  6,208;
272; CATU - 230;;  7,710;;  7,710;  7,692;;;  7,692;
218; CAIUPE - 230;;  9,223;;  9,223;  9,205;;;  9,205;
9062; CAXIAS SUL 2 - 230;;  6,779;;  6,779;  6,761;;;  6,761;
9065; CAXIAS 5 -230;;  6,829;;  6,829;  6,811;;;  6,811;
9066; CAXIAS 6 - 230;;  6,804;;  6,804;  6,786;;;  6,786;
46948; CAXIAS - 230;;  7,140;;  7,140;  7,122;;;  7,122;
46947; CAXIAS NORTE - 525;;  7,495;;  7,495;  7,477;;;  7,477;
9060; CAXIAS NORTE - 230;;  6,939;;  6,939;  6,920;;;  6,920;
7751; CAXIAS RS - 525;;  7,399;;  7,399;  7,381;;;  7,381;
4532; CBA - 230;;  5,136;;  5,136;  5,180;;;  5,180;
2672; CBA TERM - 440;;  5,530;;  5,530;  5,511;;;  5,511;
7299; CBA LESTE - 230;;  6,843;;  6,843;  6,825;;;  6,825;
7300; CBA LESTE - 525;;  7,294;;  7,294;  7,276;;;  7,276;
44655; CURITIBA NORT - 230;;  6,376;;  6,376;  6,358;;;  6,358;
2802; CAPAO BONITO - 230;;  3,514;;  3,514;  5,180;;;  5,180;
1153; CACHOEIRA DOURADA - 230;; 11,089;; 11,089; 11,071;;; 11,071;
2941; TR.CENTRO 1 - 230;;  3,287;;  3,287;  5,180;;;  5,180;
2942; TR.CENTRO 2 - 230;;  3,287;;  3,287;  5,180;;;  5,180;
2943; CENTRO - 230;;  2,998;;  2,998;  5,180;;;  5,180;
44906; CERQUILHO 3 - 230;;  4,381;;  4,381;  5,180;;;  5,180;
39850; CAMPO GRANDE II - 230;;  8,376;;  8,376;  8,357;;;  8,357;
11244; CAMPINA GRANDE II - 230;;  9,799;;  9,799;  9,781;;;  9,781;
12244; CAMPINA GRANDE III - 230;;  9,980;;  9,980;  9,962;;;  9,962;
544; CAMPINA GRANDE III - 500;; 10,359;; 10,359; 10,341;;; 10,341;
58208; CHAPADA 1 PI - 230;; 11,379;; 11,379; 11,360;;; 11,360;
58217; CHAPADA 2 PI - 230;; 11,436;; 11,436; 11,417;;; 11,417;
58227; CHAPADA 3 PI - 230;; 11,821;; 11,821; 11,803;;; 11,803;
13020; CHAPADINHA II - 230;;  8,446;;  8,446;  8,428;;;  8,428;
38853; CHAPADAO - 230;;  9,514;;  9,514;  9,496;;;  9,496;
7882; CHARQUEADAS 3 - 230;;  7,264;;  7,264;  7,246;;;  7,246;
7780; CHARQUEADAS (SE) - 230;;  7,074;;  7,074;  7,056;;;  7,056;
2773; CHAVANTES - 230;;  6,470;;  6,470;  6,451;;;  6,451;
6617; C.IND. CURITIBA - 230;;  6,199;;  6,199;  6,181;;;  6,181;
4582; CLAUDIA - 500;; 11,591;; 11,591; 11,573;;; 11,573;
274; CAMACARI II - 230;;  8,153;;  8,153;  8,135;;;  8,135;
7776; C.MOURAO - 230;;  7,734;;  7,734;  7,716;;;  7,716;
11246; CEAMIRIM - 230;; 10,578;; 10,578; 10,560;;; 10,560;
11546; CEA.MIRIM II - 500;; 10,732;; 10,732; 10,714;;; 10,714;
12201; CURRAL NOVO PIAUI - 230;; 11,475;; 11,475; 11,457;;; 11,457;
12501; CURRAL NOVO PIAUI - 500;; 11,329;; 11,329; 11,311;;; 11,311;
