GENERATOR,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
EOL ANGICO,0,10.456,10.787,10.559,10.956,11.436,11.498,11.92,11.7,11.717,11.697000000000001,11.677000000000001,11.657000000000002,11.637000000000002,11.617000000000003,11.597000000000003,11.577000000000004,11.557000000000004
EOL ANGICOS I,0,10.878,9.942,10.1,10.329,11.533,11.609,12.0,11.877,11.894,11.874,11.854000000000001,11.834000000000001,11.814000000000002,11.794000000000002,11.774000000000003,11.754000000000003,11.734000000000004
EOL ANGICOS II,0,10.878,9.942,10.1,10.329,11.533,11.609,12.0,11.877,11.894,11.874,11.854000000000001,11.834000000000001,11.814000000000002,11.794000000000002,11.774000000000003,11.754000000000003,11.734000000000004
EOL APELIOTES(RIACHAO VI),0,10.042,9.038,9.035,9.258,10.233,10.286,10.663,10.527,10.542,10.522,10.502,10.482000000000001,10.462000000000002,10.442000000000002,10.422000000000002,10.402000000000003,10.382000000000003
EOL AQUIBATA,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ARAPAPA,0,10.528,10.847,10.616,11.015,11.497,11.56,11.985,11.766,11.783,11.763,11.743,11.723,11.703000000000001,11.683000000000002,11.663000000000002,11.643000000000002,11.623000000000003
EOL ARARINHA AZUL,0,10.528,10.847,10.616,11.015,11.497,11.56,11.985,11.766,11.783,11.763,11.743,11.723,11.703000000000001,11.683000000000002,11.663000000000002,11.643000000000002,11.623000000000003
EOL ARATUA 1,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ARENA (RIACHAO VII),0,10.042,9.038,9.035,9.258,10.233,10.286,10.663,10.527,10.542,10.522,10.502,10.482000000000001,10.462000000000002,10.442000000000002,10.422000000000002,10.402000000000003,10.382000000000003
EOL ARIZONA 1,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL AROEIRA,0,10.64,9.792,9.851,10.084,10.819,10.884,11.295,11.166,11.183,11.163,11.143,11.123000000000001,11.103000000000002,11.083000000000002,11.063000000000002,11.043000000000003,11.023000000000003
EOL AROEIRA 1,0,10.81,10.428,10.283,10.559,10.997,11.045,11.452,11.276,11.292,11.272,11.252,11.232000000000001,11.212000000000002,11.192000000000002,11.172000000000002,11.152000000000003,11.132000000000003
EOL AROEIRA 2,0,10.81,10.428,10.283,10.559,10.997,11.045,11.452,11.276,11.292,11.272,11.252,11.232000000000001,11.212000000000002,11.192000000000002,11.172000000000002,11.152000000000003,11.132000000000003
EOL AROEIRA 3,0,10.81,10.428,10.283,10.559,10.997,11.045,11.452,11.276,11.292,11.272,11.252,11.232000000000001,11.212000000000002,11.192000000000002,11.172000000000002,11.152000000000003,11.132000000000003
EOL AROEIRA 4,0,10.81,10.428,10.283,10.559,10.997,11.045,11.452,11.276,11.292,11.272,11.252,11.232000000000001,11.212000000000002,11.192000000000002,11.172000000000002,11.152000000000003,11.132000000000003
EOL AROEIRA 5,0,10.81,10.428,10.283,10.559,10.997,11.045,11.452,11.276,11.292,11.272,11.252,11.232000000000001,11.212000000000002,11.192000000000002,11.172000000000002,11.152000000000003,11.132000000000003
EOL AROEIRA 6,0,10.81,10.428,10.283,10.559,10.997,11.045,11.452,11.276,11.292,11.272,11.252,11.232000000000001,11.212000000000002,11.192000000000002,11.172000000000002,11.152000000000003,11.132000000000003
EOL AROEIRA 7,0,10.81,10.428,10.283,10.559,10.997,11.045,11.452,11.276,11.292,11.272,11.252,11.232000000000001,11.212000000000002,11.192000000000002,11.172000000000002,11.152000000000003,11.132000000000003
EOL AROEIRA 8,0,10.81,10.428,10.283,10.559,10.997,11.045,11.452,11.276,11.292,11.272,11.252,11.232000000000001,11.212000000000002,11.192000000000002,11.172000000000002,11.152000000000003,11.132000000000003
EOL ASA BRANCA I,0,10.64,9.792,9.851,10.084,10.819,10.884,11.295,11.166,11.183,11.163,11.143,11.123000000000001,11.103000000000002,11.083000000000002,11.063000000000002,11.043000000000003,11.023000000000003
