BARRA;NOME;TUST-RB P;TUST-RB FP;TUST-FR P;TUST-FR FP  
5511; B.ESPERANCA - 230;    7,424;    7,091;;
5510; B.ESPERANCA - 500;    6,882;    6,474;;
5678; UB.ESPERANCA - 69;    7,424;    7,091;;
221; BRAS. GERAL - 34,5;    7,716;    7,475;;
227; BRASILIA GERAL - 230;    7,716;    7,475;;
576; BOM JARDIM - 88;    8,475;    8,494;;
575; BOM JARDIM - 138;    8,519;    8,537;;
574; BOM JARDIM - 440;    8,475;    8,494;;
7183; BOM JESUS II - 69;    7,164;    6,819;;
7181; B.JESUS II - 230;    7,164;    6,819;;
3698; BRAS. LESTE - 138;    6,979;    6,607;;
3699; BRASILIA LESTE - 500;    6,924;    6,540;;
5403; BOM NOME - 69;    7,266;    6,992;;
5402; BOM NOME - 138;    7,266;    6,992;;
5401; BOM NOME - 230;    7,266;    6,992;;
4503; BARRA PEIXE - 138;    6,784;    6,495;;
4502; BARRA PEIXE - 230;    6,725;    6,429;;
236; BRAS. SUL - 138;    7,157;    6,818;;
228; BRAS. SUL - 230;    7,475;    7,183;;
219; BRAS. SUL -345;    7,213;    6,885;;
5684; BACAB - MA - 500;    7,127;    6,736;;
1189; BAGE2 - 69;    7,476;    8,218;;
1188; BAGE 2 - 230;    7,476;    8,218;;
479; BAGUACU - 138;    7,549;    7,443;;
478; BAGUACU - 440;    7,566;    7,461;;
1495; BAGUARI - 230;    7,809;    7,501;;
9354; BAIXO IGUACU PR - 230;    7,917;    8,288;;
473; B. SANTISTA - 88;    8,862;    8,936;;
472; B. SANTISTA - 230;    9,085;    9,163;;
471; B. SANTISTA - 345;    8,821;    8,894;;
8501; BALBINA - 230;    7,929;    7,690;;
5393; BALSAS - 69;    6,856;    6,496;;
5391; BALSAS - 230;    6,856;    6,496;;
5423; BANABUIU - 69;    7,071;    6,689;;
5421; BANABUIU - 230;    7,071;    6,689;;
3494; BANDEIRANTES - 34,5;    8,891;    8,966;;
226; BANDEIRANTE GO - 230;    7,516;    7,306;;
218; BANDEIRANTE GO - 345;    7,259;    6,974;;
493; ECH BANDEIRAN - 88;    8,891;    8,966;;
492; BANDEIRANTE SP - 345;    8,891;    8,966;;
309; BARBACENA 2 - 138;    8,379;    8,232;;
308; BARBACENA - 345;    8,408;    8,272;;
633; BARIRI - 138;    8,139;    8,135;;
3056; BARRA DO UNA - 138;    8,710;    8,751;;
6315; BARREIRAS II - 230;    6,528;    6,434;;
6363; BARREIRAS - 69;    6,696;    6,833;;
6365; BARREIRAS - 138;    6,711;    6,883;;
6361; BARREIRAS - 230;    6,696;    6,833;;
6360; BARREIRAS - 500;    6,316;    5,851;;
314; BARREIRO 1 - 138;    8,048;    7,788;;
313; BARREIRO - 345;    8,048;    7,788;;
3190; BASTOS - 138;    7,415;    7,311;;
112; BATEIAS - 500;    7,864;    8,261;;
113; BATEIAS 2 - 500;    7,864;    8,261;;
2359; BATEIAS - 138;    8,347;    8,929;;
814; BATEIAS - 230;    8,256;    8,810;;
895; BATEIAS - 525;    7,845;    8,273;;
114; BATEIAS 3 - 500;    7,849;    8,255;;
562; BAURU - 138;    8,024;    8,000;;
561; BAURU SP - 440;    7,999;    7,970;;
3427; BADY BASSITT - 138;    7,587;    7,478;;
635; BARRA BONITA - 138;    8,458;    8,512;;
9004; BARAO DE COCAIS 3 - 230;    8,551;    8,335;;
4050; B.DESPACHO - 500;    7,530;    7,246;;
709; BERTIOGA II - 138;    8,756;    8,805;;
3844; BERTIOGA 1 - 138;    8,783;    8,838;;
3846; BERTIOGA 3 - 138;    8,725;    8,769;;
4170; BERTIOGA 4 - 138;    8,747;    8,795;;
5513; B. ESPERANCA - 69;    7,424;    7,091;;
4339; BETIM 6 - 138;    7,876;    7,602;;
4337; BETIM 6 -345;    7,850;    7,571;;
9626; B. FLUMINENSE - 500;    8,137;    8,013;;
5158; BONGI - 13,8;    8,526;    8,432;;
936; BARRA GRANDE - 230;    7,048;    7,629;;
7628; COL BOA HORA - 138;    7,193;    7,017;;
948; BIGUACU - 138;    8,198;    8,919;;
947; BAIXO IGUACU SC - 230;    8,127;    8,833;;
946; BIGUACU--525;    7,853;    8,464;;
6584; BIRIGUI 3 - 138;    7,452;    7,337;;
3051; BIRITIBA - 138;    8,660;    8,691;;
6358; B.J.LAPA II - 230;    6,347;    5,863;;
6349; BJLAPAII - 500;    6,315;    5,803;;
6353; B.J.LAPA II - 69;    6,349;    5,867;;
6351; B.J.LAPA - 230;    6,349;    5,867;;
940; BLUMENAU - 138;    8,272;    8,968;;
939; BLUMENAU - 230;    8,229;    8,916;;
938; BLUMENAU - 525;    7,904;    8,477;;
5406; BOM NOME - 13,8;    7,266;    6,992;;
2113; BROTAS - 138;    8,458;    8,512;;
3423; BOITUVA 2 - 138;    9,370;    9,613;;
3054; BOISSUCANGA - 138;    8,683;    8,719;;
5156; BONGI - 69;    8,526;    8,432;;
5152; BONGI - 230;    8,526;    8,432;;
3155; BORBOREMA - 138;    7,886;    7,834;;
626; BOTUCATU - 138;    8,875;    9,013;;
625; BOTUCATU - 230;    8,960;    9,113;;
4506; BARRA PEIXE - 13,8;    6,790;    6,501;;
7770; BRANCO PERES - 138;    7,318;    7,201;;
7734; BRACEL - 440;    8,172;    8,167;;
3158; BRA. PAULISTA - 138;    8,547;    8,564;;
4868; BRASNORTE - 230;    6,148;    5,818;;
4871; BRASNORTE - 138;    6,186;    5,860;;
9064; BRAUNAS - 138;    8,163;    7,870;;
9063; BRAUNAS - 161;    8,171;    7,871;;
9051; BRAUNA - 230;    8,171;    7,871;;
276; BRISAMAR - 138;    8,236;    8,106;;
6334; BROT.MACAUBAS - 230;    6,195;    5,645;;
5944; BRUMADO II - 69;    8,878;    8,620;;
5947; BRUMADO II - 138;    8,878;    8,620;;
5941; BRUMADO II - 230;    8,878;    8,620;;
3917; BURI - 138;    9,532;    9,863;;
6075; BURITIRAMA - 500;    6,356;    5,870;;
5703; CIC. DANTAS - 69;    8,133;    8,066;;
5701; CIC.DANTAS - 230;    8,133;    8,066;;
756; CACHOEIRA DOURADA - 230;    6,229;    5,824;;
755; C. DOURADA - 138;    6,433;    6,055;;
4513; C. MAGALHAES - 138;    6,713;    6,412;;
4512; C. MAGALHAES - 230;    6,591;    6,281;;
3197; CANDIDO MOTA - 88;    8,136;    8,249;;
5526; COELHO NETO - 69;    8,419;    8,162;;
5525; COELHO NETO - 230;    8,436;    8,181;;
5263; CUR.NOVOS II - 69;    6,560;    6,085;;
5262; CURRAIS NOVOS II - 230;    6,560;    6,085;;
183; C. PAULISTA - 138;    8,066;    7,965;;
104; C. PAULISTA - 500;    8,044;    7,947;;
9014; CONSE. PENA - 69;    7,921;    7,647;;
7054; C.PORTO VELHO - 230;    5,972;    4,942;;
7055; C.PORTO VELHO - 500;    4,009;    4,009;;
7049; C. PORTO VELHO - 138;    6,017;    4,996;;
8551; CRISTIANO ROCHA - 230;    8,080;    7,858;;
591; CABREUVA - 138;    8,606;    8,635;;
590; CABREUVA - 230;    8,972;    9,063;;
584; CABREUVA - 440;    8,593;    8,625;;
9305; CACHOEIRINHA 3 - 138;    8,045;    8,834;;
683; CACONDE - 138;    8,159;    8,115;;
9458; CACU - 230;    6,172;    5,774;;
5098; CAETES II - 230;    7,591;    7,251;;
41414; CAIACA-SC - 230;    8,555;    9,351;;
3862; MELHORAMENTOS - 138;    8,621;    8,648;;
9675; CRUZ ALTA 1 – 23;    7,237;    8,055;;
10219; CRUZ ALTA 2 - 69;    7,423;    8,250;;
10218; CRUZ ALTA 2 - 230;    7,478;    8,307;;
5750; CAMACARI - 500;    7,942;    7,759;;
5756; CAMACARI IV - 230;    8,389;    8,334;;
5752; CAMACARI IV - 500;    7,980;    7,810;;
5757; CAMACARI II - 69;    8,369;    8,269;;
9570; CAMAQUA 3 - 69;    7,767;    8,517;;
