Número;Nome;T_C N-1;RB_Reg.;RB_Nac.;RB_Média;TB_>= Piso;LI_Env I;LS_Env S;T_C N
222; BANABUIU - 230;; 10,519; 19,878; 15,198; 14,865;;; 14,865;
3909; BANDEIRANTE GO - 345;; 10,110;  6,712;  8,411;  8,078;;;  8,078;
2934; BANDEIRANTE SP - 345;;  3,856;  0,000;  1,928;  5,354;;;  5,354;
1480; BARBACENA - 345;;  8,384;  5,218;  6,801;  6,469;;;  6,469;
11286; BARREIRAS II - 230;; 10,203; 12,331; 11,267; 10,934;;; 10,934;
286; BARREIRAS - 230;;  9,757; 12,088; 10,922; 10,590;;; 10,590;
1482; BARREIRO - 345;;  8,998;  6,182;  7,590;  7,257;;;  7,257;
846; BARREIRAS - 500;; 11,655; 13,050; 12,352; 12,020;;; 12,020;
6627; BATEIAS - 230;;  6,634;  0,000;  3,317;  5,354;;;  5,354;
3696; BATEIAS 3 - 500;;  7,079;  0,012;  3,545;  5,354;;;  5,354;
6628; BATEIAS - 525;;  7,259;  0,000;  3,629;  5,354;;;  5,354;
2628; BAURU SP - 440;;  7,426;  1,820;  4,623;  5,354;;;  5,354;
1612; BARAO DE COCAIS 3 - 230;;  8,370;  6,304;  7,337;  7,005;;;  7,005;
1485; B.DESPACHO - 500;; 10,124;  7,102;  8,613;  8,280;;;  8,280;
529; B.ESPERANCA - 500;; 11,116; 15,683; 13,399; 13,067;;; 13,067;
26454; BETIM 6 -345;;  9,253;  6,368;  7,810;  7,478;;;  7,478;
7740; BAIXO IGUACU SC - 230;;  5,957;  0,000;  2,978;  5,354;;;  5,354;
7741; BIGUACU--525;;  6,813;  0,000;  3,407;  5,354;;;  5,354;
2638; BOM JARDIM - 440;;  6,715;  1,920;  4,317;  5,354;;;  5,354;
385; B.J.LAPA II - 230;; 11,769; 12,081; 11,925; 11,592;;; 11,592;
585; BJLAPAII - 500;; 11,827; 11,743; 11,785; 11,453;;; 11,453;
285; B.J.LAPA - 230;; 11,769; 12,079; 11,924; 11,591;;; 11,591;
35351; BRASILIA LESTE - 500;; 10,757;  8,494;  9,626;  9,293;;;  9,293;
7734; BLUMENAU - 230;;  6,167;  0,000;  3,083;  5,354;;;  5,354;
