GENERATOR,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
EOL ALVORADA,0,0,0,10.161,9.456,9.915,9.862,10.268,10.284,10.321,10.301,10.281,10.261000000000001,10.241000000000001,10.221000000000002,10.201000000000002,10.181000000000003,10.161000000000003
EOL AMESCLA,0,0,0,10.026,9.282,9.743,9.72,10.099,10.113,10.143,10.123000000000001,10.103000000000002,10.083000000000002,10.063000000000002,10.043000000000003,10.023000000000003,10.003000000000004,9.983000000000004
EOL AMETISTA,0,0,0,10.161,9.456,9.915,9.862,10.268,10.284,10.321,10.301,10.281,10.261000000000001,10.241000000000001,10.221000000000002,10.201000000000002,10.181000000000003,10.161000000000003
EOL AMPARO,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ANEMOI (RIACHAO IV),0,0,0,10.46,10.959,11.309,11.413,11.575,11.658,11.676,11.656,11.636000000000001,11.616000000000001,11.596000000000002,11.576000000000002,11.556000000000003,11.536000000000003,11.516000000000004
EOL ANEMUS WIND 1,0,0,0,11.237,11.742,12.106,12.229,12.407,12.506,12.55,12.530000000000001,12.510000000000002,12.490000000000002,12.470000000000002,12.450000000000003,12.430000000000003,12.410000000000004,12.390000000000004
EOL ANEMUS WIND 2,0,0,0,11.237,11.742,12.106,12.229,12.407,12.506,12.55,12.530000000000001,12.510000000000002,12.490000000000002,12.470000000000002,12.450000000000003,12.430000000000003,12.410000000000004,12.390000000000004
EOL ANEMUS WIND 3,0,0,0,11.237,11.742,12.106,12.229,12.407,12.506,12.55,12.530000000000001,12.510000000000002,12.490000000000002,12.470000000000002,12.450000000000003,12.430000000000003,12.410000000000004,12.390000000000004
EOL ANGELIM,0,0,0,9.994,9.249,9.709,9.684,10.062,10.075,10.104,10.084,10.064,10.044,10.024000000000001,10.004000000000001,9.984000000000002,9.964000000000002,9.944000000000003
EOL ANGICAL,0,0,0,10.134,9.412,9.877,0.0,10.235,10.251,10.286,10.266,10.246,10.226,10.206000000000001,10.186000000000002,10.166000000000002,10.146000000000003,10.126000000000003
EOL ANGICAL 2,0,0,0,10.275,9.57,10.045,0.0,10.416,10.436,10.476,10.456000000000001,10.436000000000002,10.416000000000002,10.396000000000003,10.376000000000003,10.356000000000003,10.336000000000004,10.316000000000004
EOL ANGICO,0,0,0,10.181,9.457,9.925,9.869,10.287,10.304,10.34,10.32,10.3,10.280000000000001,10.260000000000002,10.240000000000002,10.220000000000002,10.200000000000003,10.180000000000003
EOL ANGICOS I,0,0,0,11.647,12.13,12.451,12.58,12.763,12.872,12.929,12.909,12.889000000000001,12.869000000000002,12.849000000000002,12.829000000000002,12.809000000000003,12.789000000000003,12.769000000000004
EOL ANGICOS II,0,0,0,11.647,12.13,12.451,12.58,12.763,12.872,12.929,12.909,12.889000000000001,12.869000000000002,12.849000000000002,12.829000000000002,12.809000000000003,12.789000000000003,12.769000000000004
EOL APELIOTES(RIACHAO VI),0,0,0,10.46,10.959,11.309,11.413,11.575,11.658,11.676,11.656,11.636000000000001,11.616000000000001,11.596000000000002,11.576000000000002,11.556000000000003,11.536000000000003,11.516000000000004
EOL AQUIBATA,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ARAPAPA,0,0,0,10.275,9.57,10.045,0.0,10.416,10.436,10.476,10.456000000000001,10.436000000000002,10.416000000000002,10.396000000000003,10.376000000000003,10.356000000000003,10.336000000000004,10.316000000000004
EOL ARARINHA AZUL,0,0,0,10.275,9.57,10.045,0.0,10.416,10.436,10.476,10.456000000000001,10.436000000000002,10.416000000000002,10.396000000000003,10.376000000000003,10.356000000000003,10.336000000000004,10.316000000000004
EOL ARATUA 1,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ARENA (RIACHAO VII),0,0,0,10.46,10.959,11.309,11.413,11.575,11.658,11.676,11.656,11.636000000000001,11.616000000000001,11.596000000000002,11.576000000000002,11.556000000000003,11.536000000000003,11.516000000000004
EOL ARIZONA 1,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL AROEIRA,0,0,0,11.072,11.51,11.702,11.802,12.001,12.087,12.123,12.103,12.083,12.063,12.043000000000001,12.023000000000001,12.003000000000002,11.983000000000002,11.963000000000003
EOL AROEIRA 1,0,0,0,9.84,9.909,10.061,10.076,9.993,10.021,10.039,10.019,9.999,9.979000000000001,9.959000000000001,9.939000000000002,9.919000000000002,9.899000000000003,9.879000000000003
EOL AROEIRA 2,0,0,0,9.84,9.909,10.061,10.076,9.993,10.021,10.039,10.019,9.999,9.979000000000001,9.959000000000001,9.939000000000002,9.919000000000002,9.899000000000003,9.879000000000003
EOL AROEIRA 3,0,0,0,9.84,9.909,10.061,10.076,9.993,10.021,10.039,10.019,9.999,9.979000000000001,9.959000000000001,9.939000000000002,9.919000000000002,9.899000000000003,9.879000000000003
EOL AROEIRA 4,0,0,0,9.84,9.909,10.061,10.076,9.993,10.021,10.039,10.019,9.999,9.979000000000001,9.959000000000001,9.939000000000002,9.919000000000002,9.899000000000003,9.879000000000003
EOL AROEIRA 5,0,0,0,9.84,9.909,10.061,10.076,9.993,10.021,10.039,10.019,9.999,9.979000000000001,9.959000000000001,9.939000000000002,9.919000000000002,9.899000000000003,9.879000000000003
EOL AROEIRA 6,0,0,0,9.84,9.909,10.061,10.076,9.993,10.021,10.039,10.019,9.999,9.979000000000001,9.959000000000001,9.939000000000002,9.919000000000002,9.899000000000003,9.879000000000003
EOL AROEIRA 7,0,0,0,9.84,9.909,10.061,10.076,9.993,10.021,10.039,10.019,9.999,9.979000000000001,9.959000000000001,9.939000000000002,9.919000000000002,9.899000000000003,9.879000000000003
EOL AROEIRA 8,0,0,0,9.84,9.909,10.061,10.076,9.993,10.021,10.039,10.019,9.999,9.979000000000001,9.959000000000001,9.939000000000002,9.919000000000002,9.899000000000003,9.879000000000003
EOL ASA BRANCA I,0,0,0,11.072,11.51,11.702,11.802,12.001,12.087,12.123,12.103,12.083,12.063,12.043000000000001,12.023000000000001,12.003000000000002,11.983000000000002,11.963000000000003
EOL ASA BRANCA II,0,0,0,11.072,11.51,11.702,11.802,12.001,12.087,12.123,12.103,12.083,12.063,12.043000000000001,12.023000000000001,12.003000000000002,11.983000000000002,11.963000000000003
