DE,NOME_DE,PARA,NOME_PARA,CIRC,EST
   73,IT-TP1CAP765,   76,TPRETO-SP765, 1, 
   76,TPRETO-SP765,   73,IT-TP1CAP765, 1, 
   74,IT-TP2CAP765,   76,TPRETO-SP765, 1, 
   76,TPRETO-SP765,   74,IT-TP2CAP765, 1, 
   75,IT-TP3CAP765,   76,TPRETO-SP765, 1, 
   76,TPRETO-SP765,   75,IT-TP3CAP765, 1, 
   76,TPRETO-SP765,   80,TPRAT3-SP000, 3, 
   80,TPRAT3-SP000,   76,TPRETO-SP765, 3, 
   76,TPRETO-SP765,   81,TPRAT4-SP000, 4, 
   81,TPRAT4-SP000,   76,TPRETO-SP765, 4, 
   77,TPRETO-SP500,   76,TPRETO-SP765, 1, 
   76,TPRETO-SP765,   77,TPRETO-SP500, 1, 
   77,TPRETO-SP500,   76,TPRETO-SP765, 2, 
   76,TPRETO-SP765,   77,TPRETO-SP500, 2, 
   77,TPRETO-SP500,   80,TPRAT3-SP000, 3, 
   80,TPRAT3-SP000,   77,TPRETO-SP500, 3, 
   77,TPRETO-SP500,  598,TAUBAT-SP500, 1, 
  598,TAUBAT-SP500,   77,TPRETO-SP500, 1, 
   77,TPRETO-SP500, 3383,LORENA-SP500, 2, 
 3383,LORENA-SP500,   77,TPRETO-SP500, 2, 
   78,TPRETO-SP345,   76,TPRETO-SP765, 5, 
   76,TPRETO-SP765,   78,TPRETO-SP345, 5, 
   78,TPRETO-SP345,   81,TPRAT4-SP000, 4, 
   81,TPRAT4-SP000,   78,TPRETO-SP345, 4, 
   78,TPRETO-SP345,   82,TPRET2-SP345, 1, 
   82,TPRET2-SP345,   78,TPRETO-SP345, 1, 
   78,TPRETO-SP345,  449,ITAPET-SP345, 1, 
  449,ITAPET-SP345,   78,TPRETO-SP345, 1, 
   78,TPRETO-SP345,  449,ITAPET-SP345, 2, 
  449,ITAPET-SP345,   78,TPRETO-SP345, 2, 
   78,TPRETO-SP345,  464,LESTE--SP345, 3, 
  464,LESTE--SP345,   78,TPRETO-SP345, 3, 
   78,TPRETO-SP345,  471,BAIXAD-SP345, 1, 
  471,BAIXAD-SP345,   78,TPRETO-SP345, 1, 
   78,TPRETO-SP345,  471,BAIXAD-SP345, 2, 
  471,BAIXAD-SP345,   78,TPRETO-SP345, 2, 
   79,TPRETO-SP069,   80,TPRAT3-SP000, 3, 
   80,TPRAT3-SP000,   79,TPRETO-SP069, 3, 
   82,TPRET2-SP345,   76,TPRETO-SP765, 6, 
   76,TPRETO-SP765,   82,TPRET2-SP345, 6, 
   82,TPRET2-SP345,   76,TPRETO-SP765, 7, 
   76,TPRETO-SP765,   82,TPRET2-SP345, 7, 
   82,TPRET2-SP345,  420,D.RANG-SP345, 1, 
  420,D.RANG-SP345,   82,TPRET2-SP345, 1, 
   82,TPRET2-SP345,  449,ITAPET-SP345, 3, 
  449,ITAPET-SP345,   82,TPRET2-SP345, 3, 
   82,TPRET2-SP345,  449,ITAPET-SP345, 4, 
  449,ITAPET-SP345,   82,TPRET2-SP345, 4, 
   82,TPRET2-SP345,  464,LESTE--SP345, 1, 
  464,LESTE--SP345,   82,TPRET2-SP345, 1, 
   82,TPRET2-SP345,  464,LESTE--SP345, 2, 
  464,LESTE--SP345,   82,TPRET2-SP345, 2, 
   82,TPRET2-SP345,  471,BAIXAD-SP345, 3, 
  471,BAIXAD-SP345,   82,TPRET2-SP345, 3, 
   84,RESEN2-RJ138, 1780,RESEND-RJ138, 1, 
 1780,RESEND-RJ138,   84,RESEN2-RJ138, 1, 
   84,RESEN2-RJ138, 1780,RESEND-RJ138, 2, 
 1780,RESEND-RJ138,   84,RESEN2-RJ138, 2, 
   84,RESEN2-RJ138,11797,NUC-1Y-RJ138, 1, 
11797,NUC-1Y-RJ138,   84,RESEN2-RJ138, 1, 
   84,RESEN2-RJ138,21797,NUC-2Y-RJ138, 1, 
21797,NUC-2Y-RJ138,   84,RESEN2-RJ138, 1, 
   84,RESEN2-RJ138,42417,RESEND-RJ000, 1, 
42417,RESEND-RJ000,   84,RESEN2-RJ138, 1, 
   85,FOZ500-PR500, 1103,MARGEM-PR500, 3, 
 1103,MARGEM-PR500,   85,FOZ500-PR500, 3, 
   85,FOZ500-PR500, 1103,MARGEM-PR500, 4, 
 1103,MARGEM-PR500,   85,FOZ500-PR500, 4, 
   86,IBIUNA-SP345,   48,IBIUNASIN004, 1, 
   48,IBIUNASIN004,   86,IBIUNA-SP345, 1, 
   86,IBIUNA-SP345,   78,TPRETO-SP345, 2, 
   78,TPRETO-SP345,   86,IBIUNA-SP345, 2, 
   86,IBIUNA-SP345,   82,TPRET2-SP345, 1, 
   82,TPRET2-SP345,   86,IBIUNA-SP345, 1, 
   86,IBIUNA-SP345,  122,IBIUNA-SP500, 1, 
  122,IBIUNA-SP500,   86,IBIUNA-SP345, 1, 
   86,IBIUNA-SP345,  122,IBIUNA-SP500, 2, 
  122,IBIUNA-SP500,   86,IBIUNA-SP345, 2, 
   86,IBIUNA-SP345,  122,IBIUNA-SP500, 3, 
  122,IBIUNA-SP500,   86,IBIUNA-SP345, 3, 
   86,IBIUNA-SP345,  488,INTERL-SP345, 1, 
  488,INTERL-SP345,   86,IBIUNA-SP345, 1, 
   86,IBIUNA-SP345,  488,INTERL-SP345, 2, 
  488,INTERL-SP345,   86,IBIUNA-SP345, 2, 
   87,RESEND-RJ500, 9605,T.RIO--RJ500, 1, 
 9605,T.RIO--RJ500,   87,RESEND-RJ500, 1, 
   87,RESEND-RJ500,42417,RESEND-RJ000, 1, 
42417,RESEND-RJ000,   87,RESEND-RJ500, 1, 
   87,RESEND-RJ500,42426,ARCEL2-RJ000, 1, 
42426,ARCEL2-RJ000,   87,RESEND-RJ500, 1, 
   87,RESEND-RJ500,42428,ARCEL1-RJ000, 1, 
42428,ARCEL1-RJ000,   87,RESEND-RJ500, 1, 
   90,VIANA--ES345, 2590,VIAN-T-ES345, 1, 
 2590,VIAN-T-ES345,   90,VIANA--ES345, 1, 
   90,VIANA--ES345, 2608,VIANA1-ES000, 1, 
 2608,VIANA1-ES000,   90,VIANA--ES345, 1, 
   90,VIANA--ES345, 2618,VIANA2-ES000, 2, 
 2618,VIANA2-ES000,   90,VIANA--ES345, 2, 
   90,VIANA--ES345, 2628,VIANA3-ES000, 3, 
 2628,VIANA3-ES000,   90,VIANA--ES345, 3, 
   90,VIANA--ES345, 3032,R.N.SUL--345, 1, 
 3032,R.N.SUL--345,   90,VIANA--ES345, 1, 
   91,VI1TAP-ES013, 2608,VIANA1-ES000, 1, 
 2608,VIANA1-ES000,   91,VI1TAP-ES013, 1, 
   95,VI2TAP-ES013, 2618,VIANA2-ES000, 1, 
 2618,VIANA2-ES000,   95,VI2TAP-ES013, 1, 
   96,VI3TAP-ES013, 2628,VIANA3-ES000, 1, 
 2628,VIANA3-ES000,   96,VI3TAP-ES013, 1, 
   99,ARARAQ-SP525,  101,ARARAQ-SP500, 1, 
  101,ARARAQ-SP500,   99,ARARAQ-SP525, 1, 
   99,ARARAQ-SP525,  556,ASSIS--SP525, 1, 
  556,ASSIS--SP525,   99,ARARAQ-SP525, 1, 
  100,MARIMB-MG500,   20,MARIMBUHE007, 1, 
   20,MARIMBUHE007,  100,MARIMB-MG500, 1, 
  100,MARIMB-MG500,  214,MARIMB-MG000, 1, 
  214,MARIMB-MG000,  100,MARIMB-MG500, 1, 
  100,MARIMB-MG500,  535,AVERME-SP500, 1, 
  535,AVERME-SP500,  100,MARIMB-MG500, 1, 
  100,MARIMB-MG500, 3110,MAGUDO---500, 1, 
 3110,MAGUDO---500,  100,MARIMB-MG500, 1, 
  100,MARIMB-MG500, 4598,MARIM2-SP500, 1, 
 4598,MARIM2-SP500,  100,MARIMB-MG500, 1, 
  100,MARIMB-MG500, 4598,MARIM2-SP500, 2, 
 4598,MARIM2-SP500,  100,MARIMB-MG500, 2, 
  100,MARIMB-MG500, 4598,MARIM2-SP500, 3, 
 4598,MARIM2-SP500,  100,MARIMB-MG500, 3, 
  101,ARARAQ-SP500,  102,P.CALD-MG500, 1, 
  102,P.CALD-MG500,  101,ARARAQ-SP500, 1, 
  101,ARARAQ-SP500,  103,CAMPIN-SP500, 1, 
  103,CAMPIN-SP500,  101,ARARAQ-SP500, 1, 
  101,ARARAQ-SP500, 4598,MARIM2-SP500, 1, 
 4598,MARIM2-SP500,  101,ARARAQ-SP500, 1, 
  101,ARARAQ-SP500, 4598,MARIM2-SP500, 2, 
 4598,MARIM2-SP500,  101,ARARAQ-SP500, 2, 
  102,P.CALD-MG500,  121,PCAT51-MG000,51, 
  121,PCAT51-MG000,  102,P.CALD-MG500,51, 
  102,P.CALD-MG500, 1503,ITAJU3-MG500, 1, 
 1503,ITAJU3-MG500,  102,P.CALD-MG500, 1, 
  103,CAMPIN-SP500,  124,CAMPI1-SP000,51, 
  124,CAMPI1-SP000,  103,CAMPIN-SP500,51, 
  103,CAMPIN-SP500,  176,CAMPI2-SP000,54, 
  176,CAMPI2-SP000,  103,CAMPIN-SP500,54, 
  103,CAMPIN-SP500,  609,F.DIAS---500, 1, 
  609,F.DIAS---500,  103,CAMPIN-SP500, 1, 
  103,CAMPIN-SP500, 6609,ITATIB-SP500, 1, 
 6609,ITATIB-SP500,  103,CAMPIN-SP500, 1, 
  103,CAMPIN-SP500, 6609,ITATIB-SP500, 2, 
 6609,ITATIB-SP500,  103,CAMPIN-SP500, 2, 
  105,ANGRA--RJ500,   10,ANGRA1UNE000, 1, 
   10,ANGRA1UNE000,  105,ANGRA--RJ500, 1, 
  105,ANGRA--RJ500,   11,ANGRA2UNE000, 1, 
   11,ANGRA2UNE000,  105,ANGRA--RJ500, 1, 
  105,ANGRA--RJ500, 9601,Z.OEST-RJ500, 1, 
 9601,Z.OEST-RJ500,  105,ANGRA--RJ500, 1, 
  105,ANGRA--RJ500, 9608,N.IGUA-RJ500, 1, 
 9608,N.IGUA-RJ500,  105,ANGRA--RJ500, 1, 
  106,ADRIAN-RJ500,  108,S.JOSE-RJ500, 1, 
  108,S.JOSE-RJ500,  106,ADRIAN-RJ500, 1, 
  106,ADRIAN-RJ500,  109,BYPSAD-RJ500, 1, 
  109,BYPSAD-RJ500,  106,ADRIAN-RJ500, 1, 
  106,ADRIAN-RJ500,  139,ADRT51-RJ000, 1, 
  139,ADRT51-RJ000,  106,ADRIAN-RJ500, 1, 
  106,ADRIAN-RJ500,  141,ADRT53-RJ000, 1, 
  141,ADRT53-RJ000,  106,ADRIAN-RJ500, 1, 
  106,ADRIAN-RJ500,  142,ADRT55-RJ000, 1, 
  142,ADRT55-RJ000,  106,ADRIAN-RJ500, 1, 
  107,GRAJAU-RJ500,  109,BYPSAD-RJ500, 1, 
  109,BYPSAD-RJ500,  107,GRAJAU-RJ500, 1, 
  107,GRAJAU-RJ500,  110,GR1T52-RJ000,52, 
  110,GR1T52-RJ000,  107,GRAJAU-RJ500,52, 
  107,GRAJAU-RJ500,  179,GR2T54-RJ000,54, 
  179,GR2T54-RJ000,  107,GRAJAU-RJ500,54, 
  109,BYPSAD-RJ500, 9626,BF-----RJ500, 3, 
 9626,BF-----RJ500,  109,BYPSAD-RJ500, 3, 
  112,BATEI1-PR500,  895,BATEIA-PR525, 1, 
  895,BATEIA-PR525,  112,BATEI1-PR500, 1, 
  113,BATEI2-PR500,  895,BATEIA-PR525, 1, 
  895,BATEIA-PR525,  113,BATEI2-PR500, 1, 
  114,BATEIAS3-500,  115,BATE-BCS-000, 1, 
  115,BATE-BCS-000,  114,BATEIAS3-500, 1, 
  114,BATEIAS3-500,  895,BATEIA-PR525, 1, 
  895,BATEIA-PR525,  114,BATEIAS3-500, 1, 
  115,BATE-BCS-000, 6609,ITATIB-SP500, 1, 
 6609,ITATIB-SP500,  115,BATE-BCS-000, 1, 
  116,IMBTAP-RJ138,  173,ADRIAN-RJ138, 1, 
  173,ADRIAN-RJ138,  116,IMBTAP-RJ138, 1, 
  117,CAMPO2-RJ500, 4353,MUTUM--MG500, 1, 
 4353,MUTUM--MG500,  117,CAMPO2-RJ500, 1, 
  117,CAMPO2-RJ500, 4353,MUTUM--MG500, 2, 
 4353,MUTUM--MG500,  117,CAMPO2-RJ500, 2, 
  119,BANDTE-GO013,  118,BAN-T4-GO000, 4, 
  118,BAN-T4-GO000,  119,BANDTE-GO013, 4, 
  120,P.CALD-MG345,  121,PCAT51-MG000,51, 
  121,PCAT51-MG000,  120,P.CALD-MG345,51, 
  120,P.CALD-MG345,  126,GUARUL-SP345, 1, 
  126,GUARUL-SP345,  120,P.CALD-MG345, 1, 
  120,P.CALD-MG345,  126,GUARUL-SP345, 2, 
  126,GUARUL-SP345,  120,P.CALD-MG345, 2, 
  120,P.CALD-MG345,  164,PCAT02-MG000, 2, 
  164,PCAT02-MG000,  120,P.CALD-MG345, 2, 
  120,P.CALD-MG345,  697,ATIBA2-SP345, 1, 
  697,ATIBA2-SP345,  120,P.CALD-MG345, 1, 
  122,IBIUNA-SP500,  125,IBBAT1-PR500, 1, 
  125,IBBAT1-PR500,  122,IBIUNA-SP500, 1, 
  122,IBIUNA-SP500,  130,IBBAT2-PR500, 1, 
  130,IBBAT2-PR500,  122,IBIUNA-SP500, 1, 
  122,IBIUNA-SP500, 6609,ITATIB-SP500, 1, 
 6609,ITATIB-SP500,  122,IBIUNA-SP500, 1, 
  123,CAMPIN-SP345,  120,P.CALD-MG345, 1, 
  120,P.CALD-MG345,  123,CAMPIN-SP345, 1, 
  123,CAMPIN-SP345,  124,CAMPI1-SP000,51, 
  124,CAMPI1-SP000,  123,CAMPIN-SP345,51, 
  123,CAMPIN-SP345,  162,CAMAT1-SP000, 1, 
  162,CAMAT1-SP000,  123,CAMPIN-SP345, 1, 
  123,CAMPIN-SP345,  176,CAMPI2-SP000,54, 
  176,CAMPI2-SP000,  123,CAMPIN-SP345,54, 
  125,IBBAT1-PR500,  112,BATEI1-PR500, 1, 
  112,BATEI1-PR500,  125,IBBAT1-PR500, 1, 
  126,GUARUL-SP345,   86,IBIUNA-SP345, 1, 
   86,IBIUNA-SP345,  126,GUARUL-SP345, 1, 
  126,GUARUL-SP345,   86,IBIUNA-SP345, 2, 
   86,IBIUNA-SP345,  126,GUARUL-SP345, 2, 
  126,GUARUL-SP345,  123,CAMPIN-SP345, 1, 
  123,CAMPIN-SP345,  126,GUARUL-SP345, 1, 
  126,GUARUL-SP345,  442,NORDES-SP345, 1, 
  442,NORDES-SP345,  126,GUARUL-SP345, 1, 
  127,MO-RL1-SP345,  129,MOGI---SP345, 1, 
  129,MOGI---SP345,  127,MO-RL1-SP345, 1, 
  128,MO-RL2-SP345,  129,MOGI---SP345, 1, 
  129,MOGI---SP345,  128,MO-RL2-SP345, 1, 
  129,MOGI---SP345,  697,ATIBA2-SP345, 1, 
  697,ATIBA2-SP345,  129,MOGI---SP345, 1, 
  130,IBBAT2-PR500,  113,BATEI2-PR500, 1, 
  113,BATEI2-PR500,  130,IBBAT2-PR500, 1, 
  131,M.MORA-MG345,   22,M.MORAUHE006, 1, 
   22,M.MORAUHE006,  131,M.MORA-MG345, 1, 
  131,M.MORA-MG345,  187,M.MORA-MG138, 1, 
  187,M.MORA-MG138,  131,M.MORA-MG345, 1, 
  131,M.MORA-MG345,  187,M.MORA-MG138, 2, 
  187,M.MORA-MG138,  131,M.MORA-MG345, 2, 
  131,M.MORA-MG345, 3012,ESTREI-MG345, 1, 
 3012,ESTREI-MG345,  131,M.MORA-MG345, 1, 
  134,LCBARR-SP345,   12,LCBARRUHE006, 1, 
   12,LCBARRUHE006,  134,LCBARR-SP345, 1, 
  134,LCBARR-SP345,   13,LCBARRSIN000, 1, 
   13,LCBARRSIN000,  134,LCBARR-SP345, 1, 
  134,LCBARR-SP345,  120,P.CALD-MG345, 1, 
  120,P.CALD-MG345,  134,LCBARR-SP345, 1, 
  134,LCBARR-SP345,  120,P.CALD-MG345, 2, 
  120,P.CALD-MG345,  134,LCBARR-SP345, 2, 
  134,LCBARR-SP345, 3012,ESTREI-MG345, 1, 
 3012,ESTREI-MG345,  134,LCBARR-SP345, 1, 
  134,LCBARR-SP345, 3012,ESTREI-MG345, 2, 
 3012,ESTREI-MG345,  134,LCBARR-SP345, 2, 
  136,FURNAS-MG345,   16,FURNASUHE008, 1, 
   16,FURNASUHE008,  136,FURNAS-MG345, 1, 
  136,FURNAS-MG345,   17,FURNASSIN000, 1, 
   17,FURNASSIN000,  136,FURNAS-MG345, 1, 
  136,FURNAS-MG345,  120,P.CALD-MG345, 1, 
  120,P.CALD-MG345,  136,FURNAS-MG345, 1, 
  136,FURNAS-MG345,  120,P.CALD-MG345, 2, 
  120,P.CALD-MG345,  136,FURNAS-MG345, 2, 
  136,FURNAS-MG345,  131,M.MORA-MG345, 1, 
  131,M.MORA-MG345,  136,FURNAS-MG345, 1, 
  136,FURNAS-MG345,  138,ITUTIN-MG345, 1, 
  138,ITUTIN-MG345,  136,FURNAS-MG345, 1, 
  136,FURNAS-MG345,  367,PIMENT-MG345, 1, 
  367,PIMENT-MG345,  136,FURNAS-MG345, 1, 
  136,FURNAS-MG345,  367,PIMENT-MG345, 2, 
  367,PIMENT-MG345,  136,FURNAS-MG345, 2, 
  136,FURNAS-MG345, 4360,VARGI4-MG345, 1, 
 4360,VARGI4-MG345,  136,FURNAS-MG345, 1, 
  138,ITUTIN-MG345,  331,J.FORA-MG345, 1, 
  331,J.FORA-MG345,  138,ITUTIN-MG345, 1, 
  138,ITUTIN-MG345, 9013,JECEAB-MG345, 1, 
 9013,JECEAB-MG345,  138,ITUTIN-MG345, 1, 
  140,ADRIAN-RJ345,  133,ADRT1A-RJ000,11, 
  133,ADRT1A-RJ000,  140,ADRIAN-RJ345,11, 
  140,ADRIAN-RJ345,  138,ITUTIN-MG345, 1, 
  138,ITUTIN-MG345,  140,ADRIAN-RJ345, 1, 
  140,ADRIAN-RJ345,  138,ITUTIN-MG345, 2, 
  138,ITUTIN-MG345,  140,ADRIAN-RJ345, 2, 
  140,ADRIAN-RJ345,  139,ADRT51-RJ000, 1, 
  139,ADRT51-RJ000,  140,ADRIAN-RJ345, 1, 
  140,ADRIAN-RJ345,  141,ADRT53-RJ000, 1, 
  141,ADRT53-RJ000,  140,ADRIAN-RJ345, 1, 
  140,ADRIAN-RJ345,  142,ADRT55-RJ000, 1, 
  142,ADRT55-RJ000,  140,ADRIAN-RJ345, 1, 
  140,ADRIAN-RJ345,  143,ADRT2B-RJ000,22, 
  143,ADRT2B-RJ000,  140,ADRIAN-RJ345,22, 
  140,ADRIAN-RJ345,  144,JACARE-RJ345, 1, 
  144,JACARE-RJ345,  140,ADRIAN-RJ345, 1, 
  140,ADRIAN-RJ345,  145,ADRT1B-RJ000,12, 
  145,ADRT1B-RJ000,  140,ADRIAN-RJ345,12, 
  140,ADRIAN-RJ345,  146,ADRT2A-RJ000,21, 
  146,ADRT2A-RJ000,  140,ADRIAN-RJ345,21, 
  140,ADRIAN-RJ345, 1781,V.PEDR-RJ345, 1, 
 1781,V.PEDR-RJ345,  140,ADRIAN-RJ345, 1, 
  140,ADRIAN-RJ345, 9607,COMPER-RJ345, 1, 
 9607,COMPER-RJ345,  140,ADRIAN-RJ345, 1, 
  140,ADRIAN-RJ345, 9609,N.IGUA-RJ345, 2, 
 9609,N.IGUA-RJ345,  140,ADRIAN-RJ345, 2, 
  144,JACARE-RJ345,  135,JACT1A-RJ000,11, 
  135,JACT1A-RJ000,  144,JACARE-RJ345,11, 
  144,JACARE-RJ345,  137,JACT2A-RJ000,21, 
  137,JACT2A-RJ000,  144,JACARE-RJ345,21, 
  144,JACARE-RJ345,  166,JACT1B-RJ000,12, 
  166,JACT1B-RJ000,  144,JACARE-RJ345,12, 
  147,CAMPOS-RJ345,   46,CAMPOSCER013, 1, 
   46,CAMPOSCER013,  147,CAMPOS-RJ345, 1, 
  147,CAMPOS-RJ345,  148,CAMPO1-RJ000, 1, 
  148,CAMPO1-RJ000,  147,CAMPOS-RJ345, 1, 
  147,CAMPOS-RJ345,  211,CAMPO2-RJ000, 2, 
  211,CAMPO2-RJ000,  147,CAMPOS-RJ345, 2, 
  147,CAMPOS-RJ345, 3032,R.N.SUL--345, 1, 
 3032,R.N.SUL--345,  147,CAMPOS-RJ345, 1, 
  147,CAMPOS-RJ345, 3032,R.N.SUL--345, 2, 
 3032,R.N.SUL--345,  147,CAMPOS-RJ345, 2, 
  149,VITORI-ES345,   41,VITOR2SIN001, 1, 
   41,VITOR2SIN001,  149,VITORI-ES345, 1, 
  149,VITORI-ES345,   47,VITOR1SIN001, 1, 
   47,VITOR1SIN001,  149,VITORI-ES345, 1, 
  149,VITORI-ES345,   90,VIANA--ES345, 1, 
   90,VIANA--ES345,  149,VITORI-ES345, 1, 
  149,VITORI-ES345,  150,VITAT1-ES000, 1, 
  150,VITAT1-ES000,  149,VITORI-ES345, 1, 
  149,VITORI-ES345,  152,VITAT2-ES000, 2, 
  152,VITAT2-ES000,  149,VITORI-ES345, 2, 
  149,VITORI-ES345,  153,VITAT3-ES000, 3, 
  153,VITAT3-ES000,  149,VITORI-ES345, 3, 
  149,VITORI-ES345,  158,VITAT4-ES000, 4, 
  158,VITAT4-ES000,  149,VITORI-ES345, 4, 
  154,VITAT2-ES013,  152,VITAT2-ES000, 1, 
  152,VITAT2-ES000,  154,VITAT2-ES013, 1, 
  155,VITAT3-ES013,  153,VITAT3-ES000, 1, 
  153,VITAT3-ES000,  155,VITAT3-ES013, 1, 
