CONCESSIONÁRIA;Cód. ANEEL;Cód. ONS;BARRA;NOME;PONTO DE CONEXÃO;TUST RB Ponta;TUST RB Fora Ponta;TUST FR Ponta;TUST FR Fora Ponta;MUST RB Ponta;MUST RB Fora Ponta
AMAZONAS ENERGIA;7019;60;8512;J.TEIX-AM138; JORG.TEIXEIRA - 138;  6,888;  6,692;       ;       ;376,5;398,5
AMAZONAS ENERGIA;7019;60;8751;LECHUG-AM138; LECHUGA - 138;  6,784;  6,577;       ;       ;152,5;167,0
AMAZONAS ENERGIA;7019;60;8523;MANAU2-AM069; MANAUS - 69;  7,044;  6,885;       ;       ;348,5;378,5
AMAZONAS ENERGIA;7019;60;8532;MAUA 3-AM138; MAUA III - 138;  6,926;  6,732;       ;       ;464,0;483,5
AMAZONAS ENERGIA;7019;60;8544;P.FIGU-AM013; PR.FIGUEIREDO - 13,8;  6,615;  6,387;       ;       ;13,70;14,40
AMAZONAS ENERGIA;7019;60;8332;PARINTIN-138; PARINTINS - 138;  6,138;  6,138;       ;       ;32,50;31,20
AMAZONAS ENERGIA;7019;60;8451;SILVES-AM138; SILVES - 138;  6,138;  6,138;       ;       ;44,35;41,10
CEA;31;61;8271;LARANJ-AP069; LARANJAL - 69;  6,138;  6,138;       ;       ; 2,21; 2,22
CEA;31;61;8281;MACAP1-AP069; MACAPA - 69;  6,138;  6,138;       ;       ;257,6;263,3
CEEE-D;5707;23;1331;ATLAN2-RS069; ATLANTIDA 2 - 69;  9,690; 10,039;       ;       ;90,00;90,00
CEEE-D;5707;23;1189;BAGE2--RS069; BAGE2 - 69;  9,065;  9,328;       ;       ;65,00;70,00
CEEE-D;5707;23;9570;CAMAQ3-RS069; CAMAQUA 3 - 69;  9,280;  9,564;       ;       ;19,50;21,50
CEEE-D;5707;23;1195;CAMAQU-RS069; CAMAQUA - 69;  9,287;  9,572;       ;       ;70,00;78,00
CEEE-D;5707;23;1038;CAPIVA-RS138; CAPIVARI SUL - 138;  9,490;  9,808;       ;       ; 6,88;21,75
CEEE-D;5707;23;1203;CHARQU-RS069; CHARQUEADAS - 69;  9,425;  9,715;       ;       ;23,10;23,10
CEEE-D;5707;23;9241;ELDORA-RS023; ELDORADO SUL - 23;  9,481;  9,800;       ;       ;23,00;25,00
CEEE-D;5707;23;1209;GRAVA2-RS069; GRAVATAI2 - 69;  9,504;  9,834;       ;       ;96,04;105,0
CEEE-D;5707;23;1197;GUAIB2-RS069; GUAIBA 2 - 69;  9,302;  9,582;       ;       ;50,00;50,00
CEEE-D;5707;23;1232;OSORI2-RS069; OSORIO 2 - 69;  9,394;  9,682;       ;       ;87,50;87,50
CEEE-D;5707;23;9247;PAL12--RS069; JARDIM BOTANICO - 69;  9,882; 10,281;       ;       ;61,50;61,50
CEEE-D;5707;23;9246;PAL13A-RS013; PORTOALEGRE13 - 13,8;  9,988; 10,368;       ;       ;60,00;60,00
CEEE-D;5707;23;9245;PALE10-RS013; PORTOALEGRE10 - 13,8;  9,946; 10,358;       ;       ;37,00;37,00
CEEE-D;5707;23;9234;PALE1A-RS069; PORTO ALEGRE 1 - 69;  9,726; 10,102;       ;       ;56,65;63,70
CEEE-D;5707;23;9243;PALE4A-RS013; PORTOALEGRE 4 - 13,8;  9,840; 10,237;       ;       ;93,00;110,0
CEEE-D;5707;23;9244;PALEG6-RS013; PORTOALEGRE6 - 13,8;  9,811; 10,183;       ;       ;35,00;35,00
CEEE-D;5707;23;1352;PALEG9-RS013; PORTO ALEGRE9 - 13,8;  9,599;  9,951;       ;       ;25,00;30,00
CEEE-D;5707;23;1269;PALG10-RS069; PORTOALEGRE10 - 69;  9,892; 10,291;       ;       ;60,00;65,00
CEEE-D;5707;23;1262;PALGR6-RS069; PORTOALEGRE6 - 69;  9,865; 10,256;       ;       ;67,50;72,50
CEEE-D;5707;23;1271;PALGR8-RS069; PORTO ALEGRE8 - 69;  9,676; 10,042;       ;       ;60,00;60,00
CEEE-D;5707;23;1266;PALGR9-RS069; PORTO ALEGRE9 - 69;  9,659; 10,023;       ;       ; 9,55;10,06
CEEE-D;5707;23;1240;PELOT3-RS138; PELOTAS3 - 138;  9,176;  9,439;       ;       ;130,0;140,0
CEEE-D;5707;23;1238;PMEDIC-RS138; P.MEDICI - 138;  8,873;  9,081;       ;       ;30,00;40,00
CEEE-D;5707;23;1245;QUINTA-RS069; QUINTA - 69;  9,100;  9,347;       ;       ;82,50;85,00
CEEE-D;5707;23;1247;QUINTA-RS138; QUINTA - 138;  9,115;  9,366;       ;       ;34,50;38,00
CEEE-D;5707;23;9303;RESTIN-RS069; RESTINGA - 69; 10,025; 10,401;       ;       ;90,00;90,00
CEEE-D;5707;23;9559;SJERUT-RS069; N.S. JERONIMO - 69;  9,424;  9,714;       ;       ; 6,00; 6,00
CEEE-D;5707;23;9823;SVPAL2-RS138; S V PALMAR 2 - 138;  8,804;  9,015;       ;       ;15,00;40,00
CEEE-D;5707;23;9694;TORRE2-RS069; TORRES 2- 69;  9,668; 10,036;       ;       ;23,50;25,85
CEEE-D;5707;23;9264;VIAMA3-RS069; VIAMAO 3 - 69;  9,716; 10,063;       ;       ;95,00;95,00
CELESC-DIS;5697;25;948;BIGUAC-SC138; BIGUACU - 138;  9,378;  9,706;       ;       ;425,0;487,0
CELESC-DIS;5697;25;940;BLUMEN-SC138; BLUMENAU - 138;  9,326;  9,661;       ;       ;309,0;381,0
CELESC-DIS;5697;25;2725;CANOIN-SC138; CANOINHAS ESU - 138;  9,672; 10,038;       ;       ;250,0;280,0
CELESC-DIS;5697;25;958;CNOVOE-SC138; C.NOVOS - 138;  8,723;  8,901;       ;       ;268,0;290,0
CELESC-DIS;5697;25;2706;DESTER-SC138; DESTERRO - 138;  9,719; 10,109;       ;       ;123,0;140,0
CELESC-DIS;5697;25;2749;FORQUI-SC069; FORQUILHINHA - 69;  9,496;  9,857;       ;       ;55,00;71,00
CELESC-DIS;5697;25;9534;GASPA2-SC138; GASPAR-2-138;  9,647; 10,080;       ;       ;301,0;379,0
CELESC-DIS;5697;25;2780;INDAIA-SC138; INDAIAL - 138;  9,618; 10,043;       ;       ;147,0;190,0
CELESC-DIS;5697;25;10071;ITAJA2-SC138; ITAJAI 2 - 138;  9,353;  9,686;       ;       ;195,0;230,0
CELESC-DIS;5697;25;2775;ITAJFZ-SC138; ITAJAI - 138;  9,357;  9,689;       ;       ;375,0;321,0
CELESC-DIS;5697;25;2783;JARAGU-SC138; JARAGUA DO SUL - 138;  9,403;  9,757;       ;       ;133,0;179,0
CELESC-DIS;5697;25;1008;JLAC-A-SC069; U.JLACERDA-A - 69;  9,168;  9,448;       ;       ;102,0;108,0
CELESC-DIS;5697;25;1007;JLAC-A-SC138; U.JLACERDA-A - 138;  9,187;  9,471;       ;       ;113,0;114,0
CELESC-DIS;5697;25;2724;JOINOR-SC138; JOINV.NORTE - 138;  9,593;  9,994;       ;       ;319,0;394,0
CELESC-DIS;5697;25;1017;JOINVI-SC069; JOINVILLE - 69;  9,595;  9,995;       ;       ;81,00;104,0
CELESC-DIS;5697;25;1016;JOINVI-SC138; JOINVILLE - 138;  9,570;  9,963;       ;       ;337,0;394,0
CELESC-DIS;5697;25;10057;JOISUL-SC138; JOINVILLE SUL - 138;  9,341;  9,679;       ;       ;178,0;211,0
CELESC-DIS;5697;25;2805;LAGES--SC138; LAGES - 138;  9,130;  9,413;       ;       ;198,0;223,0
CELESC-DIS;5697;25;1035;PALH-E-SC138; PALHOCA ESU - 138;  9,543;  9,902;       ;       ;336,0;369,0
CELESC-DIS;5697;25;9841;PINHA2-SC138; PINHALZINHO 2 - 138;  8,800;  8,983;       ;       ;252,0;284,0
CELESC-DIS;5697;25;2847;RIOSUL-SC138; RIO DO SUL - 138;  9,564;  9,973;       ;       ;191,0;246,0
CELESC-DIS;5697;25;9993;Ratones--138; RATONES - 138;  9,578;  9,940;       ;       ;205,0;215,0
CELESC-DIS;5697;25;2857;SIDERO-SC069; SIDEROPOL.ESU - 69;  9,302;  9,625;       ;       ;17,26;21,32
CELESC-DIS;5697;25;1065;TUBARAOS--69; TUBARAO SUL - 69;  9,258;  9,567;       ;       ;50,00;58,00
CELESC-DIS;5697;25;1064;TUBARAOS-138; TUBARAO SUL – 138;  9,300;  9,616;       ;       ;88,00;107,0
CELESC-DIS;5697;25;2891;VIDEI2-SC138; VIDEIRA - 138;  9,004;  9,223;       ;       ;245,0;263,0
CELESC-DIS;5697;25;2896;XANXER-SC138; XANXERE ESU - 138;  8,758;  8,926;       ;       ;400,0;445,0
CEMIG-D;4950;2;4081;ARACUA-MG138; ARACUAI 2 - 138;  6,138;  6,138;       ;       ;239,0;239,0
CEMIG-D;4950;2;7411;ARAXA3-MG138; ARAXA 3 - 138;  6,687;  6,492;       ;       ;147,0;162,0
CEMIG-D;4950;2;309;BARBA-PCH138; BARBACENA 2 - 138;  7,780;  7,716;       ;       ;209,0;266,0
CEMIG-D;4950;2;314;BARREI-MG138; BARREIRO 1 - 138;  7,442;  7,291;       ;       ;690,0;690,0
CEMIG-D;4950;2;4339;BETIM6---138; BETIM 6 - 138;  7,285;  7,122;       ;       ;347,0;363,0
CEMIG-D;4950;2;9064;BRAUNA-MG138; BRAUNAS - 138;  7,389;  7,208;       ;       ;137,0;137,0
CEMIG-D;4950;2;9063;BRAUNA-MG161; BRAUNAS - 161;  7,394;  7,210;       ;       ;26,00;26,00
CEMIG-D;4950;2;9014;C.PENA-MG069; CONSE. PENA - 69;  7,131;  6,946;       ;       ;30,00;29,00
CEMIG-D;4950;2;9009;CPENA--MG013; CONSE. PENA - 13,8;  7,131;  6,946;       ;       ;30,00;29,00
CEMIG-D;4950;2;321;EMBORC-MG138; EMBORCACAO - 138;  6,546;  6,328;       ;       ;128,2;133,5
CEMIG-D;4950;2;9007;GVA-T9-MG013; G.VALADARES 2 - 13,8;  7,138;  6,950;       ;       ;66,00;65,00
CEMIG-D;4950;2;1532;IPATD-PCH161; IPATINGA 1 - 161;  7,451;  7,285;       ;       ;160,5;160,5
CEMIG-D;4950;2;9011;IPATI1-MG013; IPATINGA 1 - 13,8;  7,462;  7,297;       ;       ;44,00;44,00
CEMIG-D;4950;2;1535;IPATIN-MG138; IPATINGA 1 - 138;  7,457;  7,292;       ;       ;210,0;210,0
CEMIG-D;4950;2;1537;ITABI2-MG069; ITABIRA 2 - 69;  7,511;  7,357;       ;       ;58,50;58,50
CEMIG-D;4950;2;9020;ITABI2PCH013; ITABIRA 2 - 13,8;  7,351;  7,176;       ;       ;32,00;32,00
CEMIG-D;4950;2;1504;ITAJU3PCH138; ITAJUBA 3 - 138;  7,669;  7,592;       ;       ;340,0;340,0
CEMIG-D;4950;2;323;ITUTIN-MG138; ITUTINGA-SE - 138;  7,716;  7,628;       ;       ;270,0;270,0
