GENERATOR,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
EOL ANGICOS I,0,10.878,9.942,10.1,10.325,11.536,11.612,12.003,11.883,11.9,11.88,11.860000000000001,11.840000000000002,11.820000000000002,11.800000000000002,11.780000000000003,11.760000000000003,11.740000000000004
EOL ANGICOS II,0,10.878,9.942,10.1,10.325,11.536,11.612,12.003,11.883,11.9,11.88,11.860000000000001,11.840000000000002,11.820000000000002,11.800000000000002,11.780000000000003,11.760000000000003,11.740000000000004
EOL APELIOTES(RIACHAO VI),0,10.042,9.038,9.035,9.252,10.236,10.288,10.664,10.532,10.547,10.527000000000001,10.507000000000001,10.487000000000002,10.467000000000002,10.447000000000003,10.427000000000003,10.407000000000004,10.387000000000004
EOL AQUIBATA,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ARAPAPA,0,10.528,10.847,10.616,10.978,11.472,11.533,11.956,11.741,11.758,11.738,11.718,11.698,11.678,11.658000000000001,11.638000000000002,11.618000000000002,11.598000000000003
EOL ARARINHA AZUL,0,10.528,10.847,10.616,10.978,11.472,11.533,11.956,11.741,11.758,11.738,11.718,11.698,11.678,11.658000000000001,11.638000000000002,11.618000000000002,11.598000000000003
EOL ARATUA 1,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ARENA (RIACHAO VII),0,10.042,9.038,9.035,9.252,10.236,10.288,10.664,10.532,10.547,10.527000000000001,10.507000000000001,10.487000000000002,10.467000000000002,10.447000000000003,10.427000000000003,10.407000000000004,10.387000000000004
EOL ARIZONA 1,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL AROEIRA,0,10.64,9.792,9.851,10.079,10.822,10.887,11.297,11.171,11.188,11.168000000000001,11.148000000000001,11.128000000000002,11.108000000000002,11.088000000000003,11.068000000000003,11.048000000000004,11.028000000000004
EOL AROEIRA 1,0,10.81,10.428,10.283,10.543,10.991,11.038,11.445,11.273,11.289,11.269,11.249,11.229000000000001,11.209000000000001,11.189000000000002,11.169000000000002,11.149000000000003,11.129000000000003
EOL AROEIRA 2,0,10.81,10.428,10.283,10.543,10.991,11.038,11.445,11.273,11.289,11.269,11.249,11.229000000000001,11.209000000000001,11.189000000000002,11.169000000000002,11.149000000000003,11.129000000000003
EOL AROEIRA 3,0,10.81,10.428,10.283,10.543,10.991,11.038,11.445,11.273,11.289,11.269,11.249,11.229000000000001,11.209000000000001,11.189000000000002,11.169000000000002,11.149000000000003,11.129000000000003
EOL AROEIRA 4,0,10.81,10.428,10.283,10.543,10.991,11.038,11.445,11.273,11.289,11.269,11.249,11.229000000000001,11.209000000000001,11.189000000000002,11.169000000000002,11.149000000000003,11.129000000000003
EOL AROEIRA 5,0,10.81,10.428,10.283,10.543,10.991,11.038,11.445,11.273,11.289,11.269,11.249,11.229000000000001,11.209000000000001,11.189000000000002,11.169000000000002,11.149000000000003,11.129000000000003
EOL AROEIRA 6,0,10.81,10.428,10.283,10.543,10.991,11.038,11.445,11.273,11.289,11.269,11.249,11.229000000000001,11.209000000000001,11.189000000000002,11.169000000000002,11.149000000000003,11.129000000000003
EOL AROEIRA 7,0,10.81,10.428,10.283,10.543,10.991,11.038,11.445,11.273,11.289,11.269,11.249,11.229000000000001,11.209000000000001,11.189000000000002,11.169000000000002,11.149000000000003,11.129000000000003
