Número;Nome;T_C N-1;RB_Reg.;RB_Nac.;RB_Média;TB_>= Piso;LI_Env I;LS_Env S;T_C N
846; BARREIRAS - 500;; 11,652;; 11,652; 11,622;;; 11,622;
6627; BATEIAS - 230;;  6,627;;  6,627;  6,597;;;  6,597;
3696; BATEIAS 3 - 500;;  7,072;;  7,072;  7,043;;;  7,043;
6628; BATEIAS - 525;;  7,251;;  7,251;  7,222;;;  7,222;
2628; BAURU SP - 440;;  7,418;;  7,418;  7,389;;;  7,389;
1612; BARAO DE COCAIS 3 - 230;;  8,399;;  8,399;  8,369;;;  8,369;
1485; B.DESPACHO - 500;; 10,136;; 10,136; 10,107;;; 10,107;
529; B.ESPERANCA - 500;; 11,112;; 11,112; 11,083;;; 11,083;
26454; BETIM 6 -345;;  9,316;;  9,316;  9,287;;;  9,287;
7740; BAIXO IGUACU SC - 230;;  5,949;;  5,949;  5,920;;;  5,920;
7741; BIGUACU--525;;  6,806;;  6,806;  6,776;;;  6,776;
2638; BOM JARDIM - 440;;  6,709;;  6,709;  6,680;;;  6,680;
385; B.J.LAPA II - 230;; 11,759;; 11,759; 11,730;;; 11,730;
585; BJLAPAII - 500;; 11,818;; 11,818; 11,789;;; 11,789;
285; B.J.LAPA - 230;; 11,759;; 11,759; 11,730;;; 11,730;
35351; BRASILIA LESTE - 500;; 10,757;; 10,757; 10,727;;; 10,727;
7734; BLUMENAU - 230;;  6,159;;  6,159;  6,130;;;  6,130;
7733; BLUMENAU - 525;;  6,785;;  6,785;  6,756;;;  6,756;
220; BOM NOME - 230;; 11,320;; 11,320; 11,290;;; 11,290;
243; BONGI - 230;;  8,032;;  8,032;  8,003;;;  8,003;
2777; BOTUCATU - 230;;  5,398;;  5,398;  5,369;;;  5,369;
3936; BRASILIA GERAL - 230;;  9,307;;  9,307;  9,278;;;  9,278;
3920; BRAS. SUL - 230;;  9,715;;  9,715;  9,685;;;  9,685;
3919; BRAS. SUL -345;; 10,246;; 10,246; 10,217;;; 10,217;
3300; BRASNORTE - 230;;  9,398;;  9,398;  9,369;;;  9,369;
1600; BRAUNA - 230;;  9,965;;  9,965;  9,936;;;  9,936;
205; BROT.MACAUBAS - 230;; 12,152;; 12,152; 12,122;;; 12,122;
376; BRUMADO II - 230;;  8,892;;  8,892;  8,863;;;  8,863;
38913; HELIO VALGAS MG - 345;; 12,001;; 12,001; 11,972;;; 11,972;
12318; BURITIRAMA - 500;; 11,795;; 11,795; 11,766;;; 11,766;
9266; CRUZ ALTA 2 - 230;;  7,310;;  7,310;  7,281;;;  7,281;
4481; CANA BRAVA - 230;; 12,283;; 12,283; 12,254;;; 12,254;
6615; C.COMPRIDO - 230;;  6,423;;  6,423;  6,393;;;  6,393;
270; CIC.DANTAS - 230;; 10,032;; 10,032; 10,003;;; 10,003;
11461; CAMPO FORMOSO - 230;; 11,605;; 11,605; 11,576;;; 11,576;
