BARRA;NOME;TUST-RB P;TUST-RB FP;TUST-FR P;TUST-FR FP  
5511; B.ESPERANCA - 230;    5,684;    5,308;;
5510; B.ESPERANCA - 500;    5,289;    4,858;;
5678; UB.ESPERANCA - 69;    5,685;    5,309;;
221; BRAS. GERAL - 34,5;    7,372;    7,264;;
227; BRASILIA GERAL - 230;    7,372;    7,264;;
576; BOM JARDIM - 88;    8,820;    8,893;;
575; BOM JARDIM - 138;    8,873;    8,946;;
574; BOM JARDIM - 440;    8,820;    8,893;;
7183; BOM JESUS II - 69;    5,533;    5,170;;
7181; B.JESUS II - 230;    5,533;    5,170;;
3698; BRAS. LESTE - 138;    6,560;    6,302;;
3699; BRASILIA LESTE - 500;    6,492;    6,222;;
5403; BOM NOME - 69;    5,279;    4,944;;
5402; BOM NOME - 138;    5,279;    4,943;;
5401; BOM NOME - 230;    5,279;    4,944;;
4503; BARRA PEIXE - 138;    7,100;    7,043;;
4502; BARRA PEIXE - 230;    7,066;    7,006;;
236; BRAS. SUL - 138;    6,772;    6,552;;
228; BRAS. SUL - 230;    7,154;    6,999;;
219; BRAS. SUL -345;    6,839;    6,629;;
5684; BACAB - MA - 500;    5,345;    4,903;;
1189; BAGE2 - 69;    9,951;   10,327;;
1188; BAGE 2 - 230;    9,951;   10,327;;
479; BAGUACU - 138;    7,987;    7,941;;
478; BAGUACU - 440;    7,995;    7,949;;
1495; BAGUARI - 230;    7,265;    7,056;;
9354; BAIXO IGUACU PR - 230;    9,398;    9,636;;
473; B. SANTISTA - 88;    9,402;    9,516;;
472; B. SANTISTA - 230;    9,583;    9,712;;
471; B. SANTISTA - 345;    9,368;    9,479;;
8501; BALBINA - 230;    6,383;    6,090;;
5393; BALSAS - 69;    5,332;    4,959;;
5391; BALSAS - 230;    5,332;    4,959;;
5423; BANABUIU - 69;    4,785;    4,423;;
5421; BANABUIU - 230;    4,785;    4,423;;
3494; BANDEIRANTES - 34,5;    9,405;    9,535;;
226; BANDEIRANTE GO - 230;    7,476;    7,398;;
218; BANDEIRANTE GO - 345;    7,012;    6,834;;
493; ECH BANDEIRAN - 88;    9,405;    9,535;;
492; BANDEIRANTE SP - 345;    9,405;    9,535;;
309; BARBACENA 2 - 138;    8,083;    8,032;;
308; BARBACENA - 345;    8,128;    8,088;;
633; BARIRI - 138;    8,614;    8,664;;
3056; BARRA DO UNA - 138;    9,148;    9,238;;
6315; BARREIRAS II - 230;    5,375;    5,295;;
6363; BARREIRAS - 69;    5,524;    5,653;;
6365; BARREIRAS - 138;    5,537;    5,697;;
6361; BARREIRAS - 230;    5,524;    5,653;;
6360; BARREIRAS - 500;    5,258;    4,854;;
314; BARREIRO 1 - 138;    7,511;    7,342;;
313; BARREIRO - 345;    7,511;    7,342;;
3190; BASTOS - 138;    7,964;    7,920;;
112; BATEIAS - 500;    9,387;    9,629;;
113; BATEIAS 2 - 500;    9,387;    9,629;;
2359; BATEIAS - 138;    9,979;   10,361;;
814; BATEIAS - 230;    9,887;   10,245;;
895; BATEIAS - 525;    9,439;    9,696;;
114; BATEIAS 3 - 500;    9,389;    9,635;;
562; BAURU - 138;    8,488;    8,517;;
561; BAURU SP - 440;    8,459;    8,483;;
3427; BADY BASSITT - 138;    7,981;    7,936;;
635; BARRA BONITA - 138;    8,970;    9,076;;
9004; BARAO DE COCAIS 3 - 230;    7,896;    7,765;;
4050; B.DESPACHO - 500;    6,807;    6,574;;
709; BERTIOGA II - 138;    9,214;    9,311;;
3844; BERTIOGA 1 - 138;    9,255;    9,355;;
3846; BERTIOGA 3 - 138;    9,171;    9,263;;
4170; BERTIOGA 4 - 138;    9,201;    9,297;;
5513; B. ESPERANCA - 69;    5,685;    5,309;;
4339; BETIM 6 - 138;    7,319;    7,134;;
4337; BETIM 6 -345;    7,344;    7,161;;
9626; B. FLUMINENSE - 500;    8,237;    8,196;;
5158; BONGI - 13,8;    6,432;    6,255;;
936; BARRA GRANDE - 230;    9,462;    9,714;;
7628; COL BOA HORA - 138;    7,576;    7,471;;
948; BIGUACU - 138;   10,229;   10,662;;
947; BAIXO IGUACU SC - 230;   10,164;   10,583;;
946; BIGUACU--525;    9,833;   10,182;;
6584; BIRIGUI 3 - 138;    7,921;    7,867;;
3051; BIRITIBA - 138;    9,051;    9,135;;
6358; B.J.LAPA II - 230;    5,113;    4,674;;
6349; BJLAPAII - 500;    5,239;    4,800;;
6353; B.J.LAPA II - 69;    5,105;    4,665;;
6351; B.J.LAPA - 230;    5,105;    4,665;;
940; BLUMENAU - 138;   10,163;   10,600;;
939; BLUMENAU - 230;   10,124;   10,552;;
938; BLUMENAU - 525;    9,776;   10,111;;
5406; BOM NOME - 13,8;    5,279;    4,944;;
2113; BROTAS - 138;    8,971;    9,076;;
3423; BOITUVA 2 - 138;    9,997;   10,262;;
3054; BOISSUCANGA - 138;    9,110;    9,195;;
5156; BONGI - 69;    6,432;    6,255;;
5152; BONGI - 230;    6,432;    6,255;;
3155; BORBOREMA - 138;    8,329;    8,336;;
626; BOTUCATU - 138;    9,479;    9,662;;
625; BOTUCATU - 230;    9,593;    9,793;;
4506; BARRA PEIXE - 13,8;    7,103;    7,046;;
7770; BRANCO PERES - 138;    7,873;    7,816;;
7734; BRACEL - 440;    8,618;    8,668;;
3158; BRA. PAULISTA - 138;    8,907;    8,980;;
4868; BRASNORTE - 230;    6,671;    6,639;;
4871; BRASNORTE - 138;    6,701;    6,670;;
9064; BRAUNAS - 138;    7,547;    7,355;;
9063; BRAUNAS - 161;    7,548;    7,352;;
9051; BRAUNA - 230;    7,548;    7,352;;
276; BRISAMAR - 138;    8,305;    8,267;;
6334; BROT.MACAUBAS - 230;    4,470;    3,958;;
5944; BRUMADO II - 69;    7,817;    7,601;;
5947; BRUMADO II - 138;    7,817;    7,601;;
5941; BRUMADO II - 230;    7,817;    7,601;;
3917; BURI - 138;   10,279;   10,603;;
6075; BURITIRAMA - 500;    5,027;    4,579;;
5703; CIC. DANTAS - 69;    6,135;    5,929;;
5701; CIC.DANTAS - 230;    6,135;    5,929;;
756; CACHOEIRA DOURADA - 230;    6,500;    6,337;;
755; C. DOURADA - 138;    6,621;    6,463;;
4513; C. MAGALHAES - 138;    7,018;    6,970;;
4512; C. MAGALHAES - 230;    6,966;    6,922;;
3197; CANDIDO MOTA - 88;    8,987;    9,120;;
5526; COELHO NETO - 69;    6,507;    6,185;;
5525; COELHO NETO - 230;    6,522;    6,201;;
5263; CUR.NOVOS II - 69;    4,444;    4,140;;
5262; CURRAIS NOVOS II - 230;    4,444;    4,140;;
183; C. PAULISTA - 138;    8,257;    8,229;;
104; C. PAULISTA - 500;    8,254;    8,227;;
9014; CONSE. PENA - 69;    7,384;    7,196;;
7054; C.PORTO VELHO - 230;    6,845;    6,437;;
7055; C.PORTO VELHO - 500;    4,213;    3,958;;
7049; C. PORTO VELHO - 138;    6,883;    6,481;;
8551; CRISTIANO ROCHA - 230;    6,534;    6,260;;
591; CABREUVA - 138;    8,963;    9,047;;
590; CABREUVA - 230;    9,339;    9,479;;
584; CABREUVA - 440;    8,948;    9,034;;
9305; CACHOEIRINHA 3 - 138;   10,355;   10,797;;
683; CACONDE - 138;    8,461;    8,484;;
9458; CACU - 230;    6,415;    6,160;;
5098; CAETES II - 230;    5,586;    5,189;;
41414; CAIACA-SC - 230;   10,573;   11,069;;
3862; MELHORAMENTOS - 138;    8,980;    9,062;;
9675; CRUZ ALTA 1 – 23;   10,042;   10,428;;
10219; CRUZ ALTA 2 - 69;   10,123;   10,533;;
10218; CRUZ ALTA 2 - 230;   10,146;   10,564;;
5750; CAMACARI - 500;    6,365;    6,153;;
5756; CAMACARI IV - 230;    6,766;    6,663;;
5752; CAMACARI IV - 500;    6,381;    6,177;;
5757; CAMACARI II - 69;    6,777;    6,643;;
9570; CAMAQUA 3 - 69;   10,164;   10,561;;
9569; CAMAQUA 3 - 230;   10,142;   10,535;;
1195; CAMAQUA - 69;   10,172;   10,569;;
1194; CAMAQUA - 230;   10,195;   10,595;;
171; CAMPINAS - 138;    8,866;    8,953;;
123; CAMPINAS - 345;    8,948;    9,043;;
