Número;Nome;T_C N-1;RB_Reg.;RB_Nac.;RB_Média;TB_>= Piso;LI_Env I;LS_Env S;T_C N
846; BARREIRAS - 500;; 11,484;; 11,484; 11,470;;; 11,470;
6627; BATEIAS - 230;;  6,970;;  6,970;  6,956;;;  6,956;
3696; BATEIAS 3 - 500;;  7,483;;  7,483;  7,469;;;  7,469;
6628; BATEIAS - 525;;  7,592;;  7,592;  7,578;;;  7,578;
2628; BAURU SP - 440;;  7,888;;  7,888;  7,874;;;  7,874;
1612; BARAO DE COCAIS 3 - 230;;  8,435;;  8,435;  8,421;;;  8,421;
1485; B.DESPACHO - 500;; 10,251;; 10,251; 10,237;;; 10,237;
529; B.ESPERANCA - 500;; 11,009;; 11,009; 10,995;;; 10,995;
26454; BETIM 6 -345;;  9,359;;  9,359;  9,345;;;  9,345;
7740; BAIXO IGUACU SC - 230;;  6,204;;  6,204;  6,190;;;  6,190;
7741; BIGUACU--525;;  7,072;;  7,072;  7,058;;;  7,058;
2638; BOM JARDIM - 440;;  7,211;;  7,211;  7,197;;;  7,197;
385; B.J.LAPA II - 230;; 11,530;; 11,530; 11,516;;; 11,516;
585; BJLAPAII - 500;; 11,592;; 11,592; 11,578;;; 11,578;
285; B.J.LAPA - 230;; 11,530;; 11,530; 11,516;;; 11,516;
35351; BRASILIA LESTE - 500;; 10,703;; 10,703; 10,689;;; 10,689;
7734; BLUMENAU - 230;;  6,420;;  6,420;  6,406;;;  6,406;
7733; BLUMENAU - 525;;  7,059;;  7,059;  7,045;;;  7,045;
220; BOM NOME - 230;; 11,176;; 11,176; 11,162;;; 11,162;
243; BONGI - 230;;  7,889;;  7,889;  7,875;;;  7,875;
2777; BOTUCATU - 230;;  5,877;;  5,877;  5,863;;;  5,863;
3936; BRASILIA GERAL - 230;;  9,280;;  9,280;  9,266;;;  9,266;
3920; BRAS. SUL - 230;;  9,688;;  9,688;  9,674;;;  9,674;
3919; BRAS. SUL -345;; 10,211;; 10,211; 10,197;;; 10,197;
3300; BRASNORTE - 230;;  9,389;;  9,389;  9,374;;;  9,374;
1600; BRAUNA - 230;;  9,935;;  9,935;  9,921;;;  9,921;
205; BROT.MACAUBAS - 230;; 11,951;; 11,951; 11,937;;; 11,937;
376; BRUMADO II - 230;;  8,668;;  8,668;  8,654;;;  8,654;
12318; BURITIRAMA - 500;; 11,637;; 11,637; 11,623;;; 11,623;
38913; HELIO VALGAS MG - 345;; 11,914;; 11,914; 11,900;;; 11,900;
9266; CRUZ ALTA 2 - 230;;  7,488;;  7,488;  7,474;;;  7,474;
4481; CANA BRAVA - 230;; 12,262;; 12,262; 12,248;;; 12,248;
6615; C.COMPRIDO - 230;;  6,769;;  6,769;  6,755;;;  6,755;
270; CIC.DANTAS - 230;;  9,871;;  9,871;  9,857;;;  9,857;
11461; CAMPO FORMOSO - 230;; 11,393;; 11,393; 11,379;;; 11,379;
9020; C.INDUSTRIAL - 230;;  7,027;;  7,027;  7,013;;;  7,013;
236; COELHO NETO - 230;;  8,179;;  8,179;  8,165;;;  8,165;
11253; CURRAIS NOVOS II - 230;; 11,060;; 11,060; 11,046;;; 11,046;
3720; C. PAULISTA - 500;;  9,874;;  9,874;  9,860;;;  9,860;
38871; CACU - 230;; 12,301;; 12,301; 12,287;;; 12,287;
2649; CABREUVA - 230;;  5,587;;  5,587;  5,573;;;  5,573;
2647; CABREUVA - 440;;  6,657;;  6,657;  6,643;;;  6,643;
58008; CAETES II - 230;; 10,070;; 10,070; 10,056;;; 10,056;
51457; CAMAQUA 3 - 230;;  7,296;;  7,296;  7,282;;;  7,282;
574; CAMACARI - 500;;  9,179;;  9,179;  9,165;;;  9,165;
284; CAMACARI IV - 230;;  8,382;;  8,382;  8,368;;;  8,368;
584; CAMACARI IV - 500;;  9,143;;  9,143;  9,129;;;  9,129;
9030; CAMAQUA - 230;;  7,146;;  7,146;  7,132;;;  7,132;
3701; CAMPINAS - 345;;  6,870;;  6,870;  6,856;;;  6,856;
3700; CAMPINAS - 500;;  8,214;;  8,214;  8,200;;;  8,200;
38951; CAMPOS 2 - 500;;  9,868;;  9,868;  9,854;;;  9,854;
9015; CAMPO BOM - 230;;  6,290;;  6,290;  6,276;;;  6,276;
3785; CAMPOS - 345;; 10,083;; 10,083; 10,069;;; 10,069;
38873; CANARANA CMT - 230;;  6,671;;  6,671;  6,657;;;  6,657;
9283; CANDELARIA 2 - 230;;  7,928;;  7,928;  7,914;;;  7,914;
9040; CANDIOTA 2 - 230;;  7,828;;  7,828;  7,814;;;  7,814;
7753; CANDIOTA 2 - 525;;  7,796;;  7,796;  7,782;;;  7,782;
50209; CANDIOTA - 230;;  7,829;;  7,829;  7,815;;;  7,815;
9045; CANOA 1 - 230;;  6,804;;  6,804;  6,790;;;  6,790;
9050; CANOAS 2 - 230;;  7,624;;  7,624;  7,610;;;  7,610;
7778; CANOINHA - 230;;  5,541;;  5,541;  5,527;;;  5,527;
50215; CAPIVARI-230;;  7,297;;  7,297;  7,283;;;  7,283;
50212; CAPIVARI-525;;  7,433;;  7,433;  7,419;;;  7,419;
2622; CAPIVARA - 440;;  9,179;;  9,179;  9,165;;;  9,165;
1202; CARAJAS GO - 230;;  9,176;;  9,176;  9,161;;;  9,161;
916; CARAJAS PA - 230;; 10,134;; 10,134; 10,120;;; 10,120;
2966; CARBOCLORO - 230;;  4,823;;  4,823;  5,376;;;  5,376;
6624; CASCAVEL - 230;;  7,687;;  7,687;  7,673;;;  7,673;
44900; CASCAVEL NORT - 230;;  7,592;;  7,592;  7,578;;;  7,578;
6625; CASCAVEL OESTE - 230;;  7,921;;  7,921;  7,907;;;  7,907;
6626; CASCAVOE - 525;;  8,290;;  8,290;  8,275;;;  8,275;
6762; CAMPO ASSOBIO - 230;;  6,408;;  6,408;  6,394;;;  6,394;
235; CASTANHA - 230;;  8,253;;  8,253;  8,239;;;  8,239;
51704; CASTERTECH - 230;;  6,700;;  6,700;  6,686;;;  6,686;
7023; CASTRO NORTE - 230;;  6,408;;  6,408;  6,394;;;  6,394;
272; CATU - 230;;  7,818;;  7,818;  7,804;;;  7,804;
218; CAIUPE - 230;;  9,342;;  9,342;  9,328;;;  9,328;
9062; CAXIAS SUL 2 - 230;;  6,692;;  6,692;  6,678;;;  6,678;
9065; CAXIAS 5 -230;;  6,768;;  6,768;  6,754;;;  6,754;
9066; CAXIAS 6 - 230;;  6,720;;  6,720;  6,706;;;  6,706;
46948; CAXIAS - 230;;  7,073;;  7,073;  7,059;;;  7,059;
46947; CAXIAS NORTE - 525;;  7,468;;  7,468;  7,454;;;  7,454;
9060; CAXIAS NORTE - 230;;  6,876;;  6,876;  6,861;;;  6,861;
7751; CAXIAS RS - 525;;  7,364;;  7,364;  7,350;;;  7,350;
4532; CBA - 230;;  5,587;;  5,587;  5,573;;;  5,573;
2672; CBA TERM - 440;;  6,010;;  6,010;  5,996;;;  5,996;
7299; CBA LESTE - 230;;  7,046;;  7,046;  7,032;;;  7,032;
7300; CBA LESTE - 525;;  7,479;;  7,479;  7,464;;;  7,464;
44655; CURITIBA NORT - 230;;  6,616;;  6,616;  6,602;;;  6,602;
2802; CAPAO BONITO - 230;;  3,748;;  3,748;  5,376;;;  5,376;
1153; CACHOEIRA DOURADA - 230;; 11,542;; 11,542; 11,528;;; 11,528;
2941; TR.CENTRO 1 - 230;;  3,565;;  3,565;  5,376;;;  5,376;
2942; TR.CENTRO 2 - 230;;  3,565;;  3,565;  5,376;;;  5,376;
2943; CENTRO - 230;;  3,253;;  3,253;  5,376;;;  5,376;
44906; CERQUILHO 3 - 230;;  4,761;;  4,761;  5,376;;;  5,376;
39850; CAMPO GRANDE II - 230;;  8,823;;  8,823;  8,809;;;  8,809;
11244; CAMPINA GRANDE II - 230;; 10,087;; 10,087; 10,073;;; 10,073;
12244; CAMPINA GRANDE III - 230;; 10,280;; 10,280; 10,266;;; 10,266;
544; CAMPINA GRANDE III - 500;; 10,686;; 10,686; 10,672;;; 10,672;
58208; CHAPADA 1 PI - 230;; 11,568;; 11,568; 11,554;;; 11,554;
58217; CHAPADA 2 PI - 230;; 11,484;; 11,484; 11,470;;; 11,470;
58227; CHAPADA 3 PI - 230;; 11,630;; 11,630; 11,616;;; 11,616;
13020; CHAPADINHA II - 230;;  8,524;;  8,524;  8,510;;;  8,510;
38853; CHAPADAO - 230;; 10,066;; 10,066; 10,052;;; 10,052;
7882; CHARQUEADAS 3 - 230;;  7,210;;  7,210;  7,196;;;  7,196;
7780; CHARQUEADAS (SE) - 230;;  7,018;;  7,018;  7,004;;;  7,004;
2773; CHAVANTES - 230;;  6,970;;  6,970;  6,956;;;  6,956;
6617; C.IND. CURITIBA - 230;;  6,671;;  6,671;  6,657;;;  6,657;
4582; CLAUDIA - 500;; 12,080;; 12,080; 12,066;;; 12,066;
274; CAMACARI II - 230;;  8,406;;  8,406;  8,392;;;  8,392;
7776; C.MOURAO - 230;;  7,881;;  7,881;  7,867;;;  7,867;
11246; CEAMIRIM - 230;; 10,910;; 10,910; 10,896;;; 10,896;
11546; CEA.MIRIM II - 500;; 11,081;; 11,081; 11,067;;; 11,067;
12201; CURRAL NOVO PIAUI - 230;; 11,724;; 11,724; 11,710;;; 11,710;
12501; CURRAL NOVO PIAUI - 500;; 11,627;; 11,627; 11,613;;; 11,613;
7723; CAMPOS NOVOS - 230;;  8,590;;  8,590;  8,576;;;  8,576;
7736; CAMPOS NOVOS - 525;;  7,904;;  7,904;  7,890;;;  7,890;
40663; CODEMI GO- 230;; 12,100;; 12,100; 12,086;;; 12,086;
5201; C.PORTO VELHO - 500;; 19,750;; 19,750; 19,736;;; 19,736;
7850; CERRO CHATO - 230;;  7,711;;  7,711;  7,697;;;  7,697;
5199; C.PORTO VELHO - 230;;  3,828;;  3,828;  5,376;;;  5,376;
41172; COLIDER - 500;; 12,080;; 12,080; 12,066;;; 12,066;
591; COLINAS - 500;; 11,120;; 11,120; 11,106;;; 11,106;
4320; COMPERJ - 345;;  9,043;;  9,043;  9,029;;;  9,029;
7917; ENSEAD-SC2 - 30;;  5,912;;  5,912;  5,898;;;  5,898;
233; SE COREMAS II - 230;; 10,259;; 10,259; 10,245;;; 10,245;
3908; CORUMBA - 345;; 10,562;; 10,562; 10,548;;; 10,548;
38851; CORUMBA 2 - 30;;  7,906;;  7,906;  7,892;;;  7,892;
279; COTEGIPE - 230;;  8,104;;  8,104;  8,090;;;  8,090;
11033; COTEMINAS - 230;;  9,898;;  9,898;  9,884;;;  9,884;
3276; COXIPO - 230;;  7,923;;  7,923;  7,908;;;  7,908;
1616; CONSE. PENA - 230;; 10,127;; 10,127; 10,113;;; 10,113;
11217; CRATO 2 - 230;; 10,845;; 10,845; 10,831;;; 10,831;
10405; CRISTIANO ROCHA - 230;;  7,656;;  7,656;  7,642;;;  7,642;
4283; CUIABA - 230;;  8,113;;  8,113;  8,098;;;  8,098;
4284; CUIABA - 500;;  8,506;;  8,506;  8,492;;;  8,492;
7739; CURITIBA - 230;;  6,837;;  6,837;  6,823;;;  6,823;
7732; CURITIBA - 525;;  7,510;;  7,510;  7,496;;;  7,496;
219; DELM. GOUVEIA - 230;;  8,748;;  8,748;  8,734;;;  8,734;
281; D.PITUACU - 230;;  7,928;;  7,928;  7,914;;;  7,914;
4361; DARDANELOS - 230;; 10,472;; 10,472; 10,458;;; 10,458;
7745; DESTERRO - 230;;  5,097;;  5,097;  5,376;;;  5,376;
9090; DONA FRANCISCA - 230;;  8,706;;  8,706;  8,692;;;  8,692;
6761; D. INDUSTRIAL SJP - 230;;  6,551;;  6,551;  6,537;;;  6,537;
2664; JANDIRA - 440;;  5,999;;  5,999;  5,985;;;  5,985;
7771; DOURADOS 2 - 230;;  9,130;;  9,130;  9,116;;;  9,116;
7757; DOURADOS - 230;;  9,080;;  9,080;  9,066;;;  9,066;
51003; J. BOTANICO 2 - 230;;  6,208;;  6,208;  6,194;;;  6,194;
51002; J. BOTANICO 1 - 230;;  6,411;;  6,411;  6,397;;;  6,397;
2923; DOMENICO RANGONI - 345;;  5,315;;  5,315;  5,376;;;  5,376;
287; E. MARTIN - 230;; 10,731;; 10,731; 10,717;;; 10,717;
2939; EDGARD SOUZA - 230;;  4,755;;  4,755;  5,376;;;  5,376;
38862; EDEIA - 230;; 11,396;; 11,396; 11,382;;; 11,382;
9097; ELDORADO - 230;;  6,929;;  6,929;  6,915;;;  6,915;
214; EMBASA - 230;;  7,465;;  7,465;  7,451;;;  7,451;
1509; EMBORCACAO - 500;; 10,666;; 10,666; 10,652;;; 10,652;
2645; EMBU-GUACU - 345;;  5,159;;  5,159;  5,376;;;  5,376;
2643; EMBU-GUACU - 440;;  5,812;;  5,812;  5,798;;;  5,798;
13230; ENCRUZO - 230;;  8,123;;  8,123;  8,109;;;  8,109;
3946; ESTREITO - 345;;  9,878;;  9,878;  9,864;;;  9,864;
4302; ESTREITO - 500;;  9,765;;  9,765;  9,750;;;  9,750;
269; EUNAPOLI - 230;;  8,359;;  8,359;  8,345;;;  8,345;
12546; EXTREMOZ II - 230;; 10,553;; 10,553; 10,539;;; 10,539;
7306; FOZ DO CHAPECO - 230;;  9,021;;  9,021;  9,007;;;  9,007;
6653; FCHOPIM--230;;  9,397;;  9,397;  9,383;;;  9,383;
4321; F.DIAS - 440;;  7,799;;  7,799;  7,785;;;  7,785;
4322; F.DIAS - 500;;  8,725;;  8,725;  8,711;;;  8,711;
7782; FARROUPILHA - 230;;  6,781;;  6,781;  6,767;;;  6,767;
9541; FEIJO - 230;;  0,000;;  0,000;  5,376;;;  5,376;
9095; FIBR-F RS - 230;;  6,874;;  6,874;  6,860;;;  6,860;
6651; FIGUEIRA - 230;;  6,808;;  6,808;  6,794;;;  6,794;
1194; FIRMINOPOLIS - 230;; 11,464;; 11,464; 11,450;;; 11,450;
