Número;Nome;T_C N-1;RB_Reg.;RB_Nac.;RB_Média;TB_>= Piso;LI_Env I;LS_Env S;T_C N
30951; AGUA AZUL - 440;;  6,286;  3,478;  4,882;  4,860;;;  4,860;
1206; AG.LINDAS230;;  7,848;  7,069;  7,458;  7,437;;;  7,437;
251; ACU II - 230;;  8,732; 16,281; 12,506; 12,485;;; 12,485;
11265; ACU III - 230;;  8,654; 15,784; 12,219; 12,198;;; 12,198;
11565; ACU III - 500;;  8,652; 15,192; 11,922; 11,900;;; 11,900;
7747; ABDON BATISTA - 230;;  9,352;  1,467;  5,409;  5,388;;;  5,388;
7744; ABDON BATISTA - 525;;  8,784;  1,551;  5,168;  5,146;;;  5,146;
9537; ABUNA - 230;;  1,278;  0,000;  0,639;  4,606;;;  4,606;
559; ACAILANDIA - 500;;  8,810; 11,371; 10,090; 10,069;;; 10,069;
55412; ACARAU II – 230;;  8,327; 13,686; 11,006; 10,985;;; 10,985;
12907; ACARAT CE - 230;;  8,334; 13,654; 10,994; 10,972;;; 10,972;
12902; ACARAT-CE500;;  8,361; 13,584; 10,973; 10,951;;; 10,951;
4475; ACESITA - 230;;  6,185;  5,762;  5,973;  5,952;;;  5,952;
3729; ADRIANOPOLIS - 345;;  7,046;  5,149;  6,098;  6,076;;;  6,076;
3728; ADRIANOPOLIS - 500;;  7,240;  5,177;  6,208;  6,187;;;  6,187;
1637; AIMORES - 230;;  8,195;  6,997;  7,596;  7,574;;;  7,574;
11760; ALAGOAS 2 - 230;;  6,219; 11,959;  9,089;  9,067;;;  9,067;
9002; ALEGRETE2 - 230;; 10,492;  0,210;  5,351;  5,329;;;  5,329;
56095; ALEX - 230;;  8,570; 15,597; 12,084; 12,062;;; 12,062;
362; ALTAMIRA - 230;;  8,132; 10,350;  9,241;  9,219;;;  9,219;
7758; ANASTACIO - 230;;  7,862;  3,403;  5,632;  5,611;;;  5,611;
2770; ANDIRA LESTE - 230;;  7,035;  2,159;  4,597;  4,606;;;  4,606;
