Número;Nome;T_C N-1;RB_Reg.;RB_Nac.;RB_Média;TB_>= Piso;LI_Env I;LS_Env S;T_C N
5684; BACAB - MA - 500;;  8,783; 14,689; 11,145; 10,747;;; 10,747;
1188; BAGE 2 - 230;;  2,843;  0,000;  1,706;  4,408;;;  4,408;
478; BAGUACU - 440;;  6,629;  0,000;  3,978;  4,408;;;  4,408;
1495; BAGUARI - 230;;  7,148;  3,916;  5,855;  5,456;;;  5,456;
9354; BAIXO IGUACU PR - 230;;  3,761;  0,000;  2,256;  4,408;;;  4,408;
472; B. SANTISTA - 230;;  2,920;  0,000;  1,752;  4,408;;;  4,408;
471; B. SANTISTA - 345;;  3,394;  0,000;  2,036;  4,408;;;  4,408;
8501; BALBINA - 230;;  6,880; 11,538;  8,743;  8,345;;;  8,345;
5391; BALSAS - 230;;  9,369; 13,489; 11,017; 10,618;;; 10,618;
5421; BANABUIU - 230;;  9,094; 17,869; 12,604; 12,205;;; 12,205;
226; BANDEIRANTE GO - 230;;  7,396;  2,152;  5,298;  4,900;;;  4,900;
218; BANDEIRANTE GO - 345;;  8,085;  3,822;  6,380;  5,981;;;  5,981;
492; BANDEIRANTE SP - 345;;  3,327;  0,000;  1,996;  4,408;;;  4,408;
308; BARBACENA - 345;;  5,369;  0,729;  3,513;  4,408;;;  4,408;
6315; BARREIRAS II - 230;; 10,390; 11,129; 10,686; 10,287;;; 10,287;
6361; BARREIRAS - 230;; 10,030; 10,927; 10,389;  9,990;;;  9,990;
6360; BARREIRAS - 500;; 10,933; 10,849; 10,899; 10,500;;; 10,500;
313; BARREIRO - 345;;  6,617;  2,534;  4,984;  4,585;;;  4,585;
112; BATEIAS - 500;;  3,750;  0,000;  2,250;  4,408;;;  4,408;
113; BATEIAS 2 - 500;;  3,750;  0,000;  2,250;  4,408;;;  4,408;
814; BATEIAS - 230;;  2,678;  0,000;  1,607;  4,408;;;  4,408;
895; BATEIAS - 525;;  3,663;  0,000;  2,198;  4,408;;;  4,408;
114; BATEIAS 3 - 500;;  3,749;  0,000;  2,250;  4,408;;;  4,408;
561; BAURU SP - 440;;  5,553;  0,000;  3,332;  4,408;;;  4,408;
9004; BARAO DE COCAIS 3 - 230;;  5,711;  2,423;  4,396;  4,408;;;  4,408;
4050; B.DESPACHO - 500;;  7,539;  3,075;  5,753;  5,354;;;  5,354;
4337; BETIM 6 -345;;  7,064;  2,933;  5,412;  5,013;;;  5,013;
9626; B. FLUMINENSE - 500;;  5,480;  0,258;  3,391;  4,408;;;  4,408;
936; BARRA GRANDE - 230;;  3,922;  0,000;  2,353;  4,408;;;  4,408;
947; BAIXO IGUACU SC - 230;;  2,204;  0,000;  1,323;  4,408;;;  4,408;
946; BIGUACU--525;;  2,927;  0,000;  1,756;  4,408;;;  4,408;
6358; B.J.LAPA II - 230;; 11,178; 11,241; 11,203; 10,804;;; 10,804;
6349; BJLAPAII - 500;; 11,156; 10,507; 10,896; 10,498;;; 10,498;
6351; B.J.LAPA - 230;; 11,169; 11,313; 11,227; 10,828;;; 10,828;
939; BLUMENAU - 230;;  2,242;  0,000;  1,345;  4,408;;;  4,408;
938; BLUMENAU - 525;;  3,015;  0,000;  1,809;  4,408;;;  4,408;
5152; BONGI - 230;;  5,688; 14,321;  9,141;  8,742;;;  8,742;
625; BOTUCATU - 230;;  3,074;  0,000;  1,845;  4,408;;;  4,408;
7734; BRACEL - 440;;  5,174;  0,000;  3,104;  4,408;;;  4,408;
4868; BRASNORTE - 230;;  9,907;  0,798;  6,263;  5,864;;;  5,864;
9051; BRAUNA - 230;;  6,504;  3,338;  5,237;  4,839;;;  4,839;
6334; BROT.MACAUBAS - 230;; 11,843; 14,025; 12,716; 12,317;;; 12,317;
5941; BRUMADO II - 230;;  5,346;  5,260;  5,312;  4,913;;;  4,913;
6075; BURITIRAMA - 500;; 10,718; 12,834; 11,564; 11,165;;; 11,165;
5701; CIC.DANTAS - 230;;  6,536; 14,412;  9,686;  9,287;;;  9,287;
756; CACHOEIRA DOURADA - 230;;  9,991;  2,839;  7,130;  6,732;;;  6,732;
4512; C. MAGALHAES - 230;;  9,081;  0,892;  5,805;  5,406;;;  5,406;
5525; COELHO NETO - 230;;  6,056; 12,855;  8,776;  8,377;;;  8,377;
5262; CURRAIS NOVOS II - 230;;  9,810; 18,575; 13,316; 12,917;;; 12,917;
104; C. PAULISTA - 500;;  5,528;  0,000;  3,317;  4,408;;;  4,408;
7054; C.PORTO VELHO - 230;; 10,208;  0,000;  6,125;  5,726;;;  5,726;
7055; C.PORTO VELHO - 500;; 15,545;  4,631; 11,180; 10,781;;; 10,781;
8551; CRISTIANO ROCHA - 230;;  6,576; 11,194;  8,423;  8,024;;;  8,024;
590; CABREUVA - 230;;  3,424;  0,000;  2,054;  4,408;;;  4,408;
584; CABREUVA - 440;;  4,292;  0,000;  2,575;  4,408;;;  4,408;
9458; CACU - 230;;  9,852;  2,532;  6,924;  6,525;;;  6,525;
5098; CAETES II - 230;;  7,624; 15,703; 10,855; 10,457;;; 10,457;
41414; CAIACA-SC - 230;;  1,279;  0,000;  0,767;  4,408;;;  4,408;
10218; CRUZ ALTA 2 - 230;;  2,473;  0,000;  1,484;  4,408;;;  4,408;
5750; CAMACARI - 500;;  6,996; 11,637;  8,852;  8,453;;;  8,453;
5756; CAMACARI IV - 230;;  6,043; 11,054;  8,047;  7,648;;;  7,648;
5752; CAMACARI IV - 500;;  6,905; 11,743;  8,840;  8,441;;;  8,441;
9569; CAMAQUA 3 - 230;;  2,382;  0,000;  1,429;  4,408;;;  4,408;
1194; CAMAQUA - 230;;  2,276;  0,000;  1,366;  4,408;;;  4,408;
123; CAMPINAS - 345;;  4,276;  0,000;  2,566;  4,408;;;  4,408;
103; CAMPINAS - 500;;  5,236;  0,000;  3,141;  4,408;;;  4,408;
117; CAMPOS 2 - 500;;  6,278;  2,069;  4,594;  4,408;;;  4,408;
1198; CAMPO BOM - 230;;  2,180;  0,000;  1,308;  4,408;;;  4,408;
147; CAMPOS - 345;;  6,615;  1,895;  4,727;  4,408;;;  4,408;
4684; CANARANA CMT - 230;;  5,984;  1,653;  4,252;  4,408;;;  4,408;
9590; CANDELARIA 2 - 230;;  2,754;  0,000;  1,652;  4,408;;;  4,408;
9952; CANDIOTA 2 - 230;;  3,021;  0,000;  1,812;  4,408;;;  4,408;
9951; CANDIOTA 2 - 525;;  2,840;  0,000;  1,704;  4,408;;;  4,408;
9785; CANDIOTA - 230;;  3,591;  0,000;  2,155;  4,408;;;  4,408;
9786; CANDIOTA - 525;;  3,591;  0,000;  2,155;  4,408;;;  4,408;
1190; CANOA 1 - 230;;  1,686;  0,000;  1,012;  4,408;;;  4,408;
1248; CANOAS 2 - 230;;  2,119;  0,000;  1,271;  4,408;;;  4,408;
943; CANOINHA - 230;;  1,313;  0,000;  0,788;  4,408;;;  4,408;
1037; CAPIVARI-230;;  1,842;  0,000;  1,105;  4,408;;;  4,408;
1036; CAPIVARI-525;;  2,674;  0,000;  1,604;  4,408;;;  4,408;
549; CAPIVARA - 440;;  6,601;  0,000;  3,961;  4,408;;;  4,408;
3714; CARAJAS GO - 230;;  7,102;  0,321;  4,390;  4,408;;;  4,408;
6407; CARAJAS PA - 230;;  8,428; 12,118;  9,904;  9,505;;;  9,505;
477; CARBOCLORO - 230;;  2,799;  0,000;  1,679;  4,408;;;  4,408;
839; CASCAVEL - 230;;  3,445;  0,000;  2,067;  4,408;;;  4,408;
9538; CASCAVEL NORT - 230;;  3,423;  0,000;  2,054;  4,408;;;  4,408;
2458; CASCAVEL OESTE - 230;;  3,857;  0,000;  2,314;  4,408;;;  4,408;
896; CASCAVOE - 525;;  4,789;  0,000;  2,873;  4,408;;;  4,408;
10355; CASSILANDIA - 230;;  9,561;  1,033;  6,150;  5,751;;;  5,751;
2353; CAMPO ASSOBIO - 230;;  1,680;  0,000;  1,008;  4,408;;;  4,408;
6489; CASTANHA - 230;;  6,261; 10,714;  8,043;  7,644;;;  7,644;
9278; CASTERTECH - 230;;  2,603;  0,000;  1,562;  4,408;;;  4,408;
10138; CASTRO NORTE - 230;;  2,252;  0,000;  1,351;  4,408;;;  4,408;
5782; CATU - 230;;  5,409; 10,499;  7,445;  7,046;;;  7,046;
5651; CAIUPE - 230;;  8,133; 16,472; 11,469; 11,070;;; 11,070;
1200; CAXIAS SUL 2 - 230;;  2,650;  0,000;  1,590;  4,408;;;  4,408;
1192; CAXIAS 5 -230;;  2,474;  0,000;  1,485;  4,408;;;  4,408;
1386; CAXIAS 6 - 230;;  2,615;  0,000;  1,569;  4,408;;;  4,408;
965; CAXIAS - 230;;  2,763;  0,000;  1,658;  4,408;;;  4,408;
964; CAXIAS RS - 525;;  3,228;  0,000;  1,937;  4,408;;;  4,408;
10216; CAXIAS NORTE - 230;;  2,941;  0,000;  1,765;  4,408;;;  4,408;
10215; CAXIAS NORTE - 525;;  3,353;  0,000;  2,012;  4,408;;;  4,408;
607; CBA - 230;;  3,424;  0,000;  2,054;  4,408;;;  4,408;
608; CBA TERM - 440;;  3,941;  0,000;  2,364;  4,408;;;  4,408;
603; CBA 2 - 440;;  3,941;  0,000;  2,364;  4,408;;;  4,408;
9543; CBA LESTE - 230;;  1,988;  0,000;  1,193;  4,408;;;  4,408;
9542; CBA LESTE - 525;;  3,131;  0,000;  1,878;  4,408;;;  4,408;
9697; CURITIBA NORT - 230;;  2,130;  0,000;  1,278;  4,408;;;  4,408;
623; CAPAO BONITO - 230;;  0,287;  0,000;  0,172;  4,408;;;  4,408;
3964; CANA BRAVA - 230;; 10,430;  7,917;  9,425;  9,026;;;  9,026;
816; C.COMPRIDO - 230;;  2,220;  0,000;  1,332;  4,408;;;  4,408;
6132; CEAMIRIM - 230;;  9,025; 17,521; 12,423; 12,025;;; 12,025;
6130; CEA.MIRIM II - 500;;  9,299; 17,324; 12,509; 12,110;;; 12,110;
427; CENTRO - 230;;  2,084;  0,000;  1,250;  4,408;;;  4,408;
9731; CERRO CHATO - 230;;  3,458;  0,000;  2,075;  4,408;;;  4,408;
2035; CERQUILHO 3 - 230;;  2,134;  0,000;  1,280;  4,408;;;  4,408;
970; GARABI 2 - 500;;  3,631;  0,000;  2,179;  4,408;;;  4,408;
971; GARABI 1 - 500;;  3,631;  0,000;  2,179;  4,408;;;  4,408;
6107; CAMPO FORMOSO - 230;;  9,590; 15,355; 11,896; 11,497;;; 11,497;
1043; RIVERA - 230;;  3,267;  0,000;  1,960;  4,408;;;  4,408;
5222; CAMPINA GRANDE II - 230;;  7,949; 16,316; 11,296; 10,897;;; 10,897;
1025; CAMPO GRANDE II - 230;;  8,021;  0,000;  4,813;  4,414;;;  4,414;
5202; CAMPINA GRANDE III - 230;;  8,078; 16,389; 11,402; 11,003;;; 11,003;
5200; CAMPINA GRANDE III - 500;;  8,727; 16,619; 11,884; 11,485;;; 11,485;
5303; CHAPADA 1 PI - 230;; 10,278; 16,131; 12,619; 12,220;;; 12,220;
6631; CHAPADA 2 PI - 230;; 10,225; 16,209; 12,618; 12,220;;; 12,220;
5305; CHAPADA 3 PI - 230;; 10,421; 16,301; 12,773; 12,374;;; 12,374;
1089; CHAPADAO - 230;;  9,561;  1,033;  6,150;  5,751;;;  5,751;
5685; CHAPADINHA II - 230;;  6,454; 13,060;  9,096;  8,697;;;  8,697;
10276; CHARQUEADAS 3 - 230;;  2,193;  0,000;  1,316;  4,408;;;  4,408;
951; CHARQUEADAS (SE) - 230;;  2,003;  0,000;  1,202;  4,408;;;  4,408;
615; CHAVANTES - 230;;  3,878;  0,000;  2,327;  4,408;;;  4,408;
7784; HELIO VALGAS MG - 345;; 11,073;  6,429;  9,216;  8,817;;;  8,817;
815; C.IND. CURITIBA - 230;;  1,992;  0,000;  1,195;  4,408;;;  4,408;
1258; C.INDUSTRIAL - 230;;  1,873;  0,000;  1,124;  4,408;;;  4,408;
4495; CLAUDIA - 500;; 10,331;  1,781;  6,911;  6,512;;;  6,512;
5751; CAMACARI II - 230;;  6,117; 10,799;  7,990;  7,591;;;  7,591;
954; C.MOURAO - 230;;  3,256;  0,000;  1,954;  4,408;;;  4,408;
