CONCESSIONÁRIA;Cód. ANEEL;Cód. ONS;BARRA;NOME;PONTO DE CONEXÃO;TUST RB Ponta;TUST RB Fora Ponta;TUST FR Ponta;TUST FR Fora Ponta;MUST RB Ponta;MUST RB Fora Ponta
AMAZONAS ENERGIA;7019;60;8512;J.TEIX-AM138; JORG.TEIXEIRA - 138;  7,265;  7,001;       ;       ;376,5;398,5
AMAZONAS ENERGIA;7019;60;8751;LECHUG-AM138; LECHUGA - 138;  7,161;  6,886;       ;       ;152,5;167,0
AMAZONAS ENERGIA;7019;60;8523;MANAU2-AM069; MANAUS - 69;  7,421;  7,195;       ;       ;348,5;378,5
AMAZONAS ENERGIA;7019;60;8532;MAUA 3-AM138; MAUA III - 138;  7,302;  7,042;       ;       ;464,0;483,5
AMAZONAS ENERGIA;7019;60;8544;P.FIGU-AM013; PR.FIGUEIREDO - 13,8;  6,991;  6,696;       ;       ;13,70;14,40
AMAZONAS ENERGIA;7019;60;8332;PARINTIN-138; PARINTINS - 138;  6,446;  6,066;       ;       ;32,50;31,20
AMAZONAS ENERGIA;7019;60;8451;SILVES-AM138; SILVES - 138;  6,390;  6,012;       ;       ;44,35;41,10
CEA;31;61;8271;LARANJ-AP069; LARANJAL - 69;  5,881;  5,432;       ;       ; 2,21; 2,22
CEA;31;61;8281;MACAP1-AP069; MACAPA - 69;  5,980;  5,532;       ;       ;257,6;263,3
CEEE-D;5707;23;1331;ATLAN2-RS069; ATLANTIDA 2 - 69;  8,543;  9,297;       ;       ;90,00;90,00
CEEE-D;5707;23;1189;BAGE2--RS069; BAGE2 - 69;  7,858;  8,547;       ;       ;65,00;70,00
CEEE-D;5707;23;9570;CAMAQ3-RS069; CAMAQUA 3 - 69;  8,109;  8,805;       ;       ;19,50;21,50
CEEE-D;5707;23;1195;CAMAQU-RS069; CAMAQUA - 69;  8,113;  8,810;       ;       ;70,00;78,00
CEEE-D;5707;23;1038;CAPIVA-RS138; CAPIVARI SUL - 138;  8,373;  9,087;       ;       ; 6,88;21,75
CEEE-D;5707;23;1203;CHARQU-RS069; CHARQUEADAS - 69;  8,270;  8,968;       ;       ;23,10;23,10
CEEE-D;5707;23;9241;ELDORA-RS023; ELDORADO SUL - 23;  8,354;  9,072;       ;       ;23,00;25,00
CEEE-D;5707;23;1209;GRAVA2-RS069; GRAVATAI2 - 69;  8,383;  9,110;       ;       ;96,04;105,0
CEEE-D;5707;23;1197;GUAIB2-RS069; GUAIBA 2 - 69;  8,166;  8,848;       ;       ;50,00;50,00
