DE,NOME_DE,PARA,NOME_PARA,CIRC,EST
  148,SUAPE2-PE000,   99,SUAPE4UTE013, 1,L
  100,SUAPE5UTE013,  149,SUAPE3-PE000, 1,L
  149,SUAPE3-PE000,  100,SUAPE5UTE013, 1,L
  101,SUAPE6UTE013,  149,SUAPE3-PE000, 1,L
  149,SUAPE3-PE000,  101,SUAPE6UTE013, 1,L
  150,CAMAC1-BA069,  140,BAHIA1UTE013, 1,L
  140,BAHIA1UTE013,  150,CAMAC1-BA069, 1,L
  150,CAMAC1-BA069,  140,BAHIA1UTE013, 2,L
  140,BAHIA1UTE013,  150,CAMAC1-BA069, 2,L
  151,A?U2---RN138,  152,S.MATO-RN138, 1, 
  152,S.MATO-RN138,  151,A?U2---RN138, 1, 
  151,A?U2---RN138,  152,S.MATO-RN138, 2, 
  152,S.MATO-RN138,  151,A?U2---RN138, 2, 
  151,A?U2---RN138,56462,M.SECO-RN138, 1, 
56462,M.SECO-RN138,  151,A?U2---RN138, 1, 
  152,S.MATO-RN138,  852,S.MATO-RN000, 1, 
  852,S.MATO-RN000,  152,S.MATO-RN138, 1, 
  152,S.MATO-RN138,  858,S.MAT2-RN000, 1, 
  858,S.MAT2-RN000,  152,S.MATO-RN138, 1, 
  162,T.FREI-BA138,18554,ITAMAR-BA138, 1, 
18554,ITAMAR-BA138,  162,T.FREI-BA138, 1, 
  567,TUPIRA-TO500,  164,TUPIRAUHE013, 1,L
  164,TUPIRAUHE013,  567,TUPIRA-TO500, 1,L
  166,C.M.1-CAP500,  571,MIRACE-TO500, 1, 
  571,MIRACE-TO500,  166,C.M.1-CAP500, 1, 
  169,EUNAPO-BA138,18554,ITAMAR-BA138, 1, 
18554,ITAMAR-BA138,  169,EUNAPO-BA138, 1, 
  169,EUNAPO-BA138,18600,ITAPEB-BA138, 1, 
18600,ITAPEB-BA138,  169,EUNAPO-BA138, 1, 
  176,FUNIL--BA115,   63,FUNIL1UHE013, 1,L
   63,FUNIL1UHE013,  176,FUNIL--BA115, 1,L
  976,FUNIL--BA138,  176,FUNIL--BA115, 1, 
  176,FUNIL--BA115,  976,FUNIL--BA138, 1, 
  181,B.PULP-BA069,  180,B.PULPUTE013, 1,L
  180,B.PULPUTE013,  181,B.PULP-BA069, 1,L
  182,COPEC--BA069,  181,B.PULP-BA069, 1, 
  181,B.PULP-BA069,  182,COPEC--BA069, 1, 
  182,COPEC--BA069,  337,RALMEI-BA069, 1, 
  337,RALMEI-BA069,  182,COPEC--BA069, 1, 
  182,COPEC--BA069,  337,RALMEI-BA069, 2, 
  337,RALMEI-BA069,  182,COPEC--BA069, 2, 
  186,BARREI-BA138,18510,RGRAND-BA138, 1, 
18510,RGRAND-BA138,  186,BARREI-BA138, 1, 
  190,PIMENT-PA230,  195,PIMENTUHE013, 1,L
  195,PIMENTUHE013,  190,PIMENT-PA230, 1,L
  191,COLITACAP500,  591,COLINA-TO500, 1, 
  591,COLINA-TO500,  191,COLITACAP500, 1, 
  192,ST.MAR-PA138,19751,S.MIGU-PA138, 1, 
19751,S.MIGU-PA138,  192,ST.MAR-PA138, 1, 
  192,ST.MAR-PA138,19761,CAPANE-PA138, 1, 
19761,CAPANE-PA138,  192,ST.MAR-PA138, 1, 
  192,ST.MAR-PA138,19761,CAPANE-PA138, 2, 
19761,CAPANE-PA138,  192,ST.MAR-PA138, 2, 
  244,CGRD2B-PB230,  196,CGRD--UTE013, 1,L
  196,CGRD--UTE013,  244,CGRD2B-PB230, 1,L
  197,MARAB3CAP500,  599,MARABA-PA500, 1, 
  599,MARABA-PA500,  197,MARAB3CAP500, 1, 
  698,V.COND-PA069,  198,VCOND2-PA000, 1, 
  198,VCOND2-PA000,  698,V.COND-PA069, 1, 
  200,PAF3-A-BA230,    4,PAF2A1UHE013, 1,L
    4,PAF2A1UHE013,  200,PAF3-A-BA230, 1,L
  200,PAF3-A-BA230,    5,PAF2A2UHE013, 1,L
    5,PAF2A2UHE013,  200,PAF3-A-BA230, 1,L
  200,PAF3-A-BA230,    6,PAF2A3UHE013, 1,L
    6,PAF2A3UHE013,  200,PAF3-A-BA230, 1,L
  200,PAF3-A-BA230,    7,PAF2B1UHE013, 1,L
    7,PAF2B1UHE013,  200,PAF3-A-BA230, 1,L
  200,PAF3-A-BA230,    8,PAF2B2UHE013, 1,L
    8,PAF2B2UHE013,  200,PAF3-A-BA230, 1,L
  200,PAF3-A-BA230,    9,PAF2B3UHE013, 1,L
    9,PAF2B3UHE013,  200,PAF3-A-BA230, 1,L
  200,PAF3-A-BA230,   10,PAF3-1UHE013, 1,L
   10,PAF3-1UHE013,  200,PAF3-A-BA230, 1,L
  200,PAF3-A-BA230,  208,ZEBUII-AL230, 1,D
  208,ZEBUII-AL230,  200,PAF3-A-BA230, 1,D
  200,PAF3-A-BA230,  270,C.DANT-BA230, 1, 
  270,C.DANT-BA230,  200,PAF3-A-BA230, 1, 
  200,PAF3-A-BA230,  349,GARANH-PE230, 1, 
  349,GARANH-PE230,  200,PAF3-A-BA230, 1, 
  500,PAF4---BA500,  200,PAF3-A-BA230, 1, 
  200,PAF3-A-BA230,  500,PAF4---BA500, 1, 
  200,PAF3-A-BA230,  600,ABAIXA-BA069, 1, 
  600,ABAIXA-BA069,  200,PAF3-A-BA230, 1, 
  200,PAF3-A-BA230,11201,SANTA2-AL230, 1, 
11201,SANTA2-AL230,  200,PAF3-A-BA230, 1, 
  200,PAF3-A-BA230,11250,NSGLO2-SE230, 1, 
11250,NSGLO2-SE230,  200,PAF3-A-BA230, 1, 
  202,JUAZE2-BA230,  203,S.BONF-BA230, 1, 
  203,S.BONF-BA230,  202,JUAZE2-BA230, 1, 
  202,JUAZE2-BA230,  207,JAGUAR-BA230, 1, 
  207,JAGUAR-BA230,  202,JUAZE2-BA230, 1, 
  202,JUAZE2-BA230,  602,JUAZE2-BA069, 1, 
  602,JUAZE2-BA069,  202,JUAZE2-BA230, 1, 
  202,JUAZE2-BA230,  602,JUAZE2-BA069, 2, 
  602,JUAZE2-BA069,  202,JUAZE2-BA230, 2, 
  202,JUAZE2-BA230,  602,JUAZE2-BA069, 3, 
  602,JUAZE2-BA069,  202,JUAZE2-BA230, 3, 
  202,JUAZE2-BA230,  602,JUAZE2-BA069, 4, 
  602,JUAZE2-BA069,  202,JUAZE2-BA230, 4, 
  202,JUAZE2-BA230,11282,JUAZE3-BA230, 1, 
11282,JUAZE3-BA230,  202,JUAZE2-BA230, 1, 
  203,S.BONF-BA230,  103,S.BONF-BA138, 1, 
  103,S.BONF-BA138,  203,S.BONF-BA230, 1, 
  203,S.BONF-BA230,  103,S.BONF-BA138, 2, 
  103,S.BONF-BA138,  203,S.BONF-BA230, 2, 
  203,S.BONF-BA230,  103,S.BONF-BA138, 3, 
  103,S.BONF-BA138,  203,S.BONF-BA230, 3, 
  203,S.BONF-BA230,  603,S.BONF-BA069, 1, 
  603,S.BONF-BA069,  203,S.BONF-BA230, 1, 
  203,S.BONF-BA230,  603,S.BONF-BA069, 2, 
  603,S.BONF-BA069,  203,S.BONF-BA230, 2, 
  203,S.BONF-BA230,  603,S.BONF-BA069, 3, 
  603,S.BONF-BA069,  203,S.BONF-BA230, 3, 
  205,BROTAS-BA230,  283,IRECE--BA230, 1, 
  283,IRECE--BA230,  205,BROTAS-BA230, 1, 
  205,BROTAS-BA230,11260,GOURO2-BA230, 1, 
11260,GOURO2-BA230,  205,BROTAS-BA230, 1, 
  206,SOBRAD-BA230,  202,JUAZE2-BA230, 1, 
  202,JUAZE2-BA230,  206,SOBRAD-BA230, 1, 
  206,SOBRAD-BA230,  202,JUAZE2-BA230, 2, 
  202,JUAZE2-BA230,  206,SOBRAD-BA230, 2, 
  506,SOBRAD-BA500,  206,SOBRAD-BA230, 1, 
  206,SOBRAD-BA230,  506,SOBRAD-BA500, 1, 
  506,SOBRAD-BA500,  206,SOBRAD-BA230, 2, 
  206,SOBRAD-BA230,  506,SOBRAD-BA500, 2, 
  207,JAGUAR-BA230,  203,S.BONF-BA230, 1, 
  203,S.BONF-BA230,  207,JAGUAR-BA230, 1, 
  207,JAGUAR-BA230,21036,CARAIB-BA230, 1, 
21036,CARAIB-BA230,  207,JAGUAR-BA230, 1, 
  207,JAGUAR-BA230,21036,CARAIB-BA230, 2, 
21036,CARAIB-BA230,  207,JAGUAR-BA230, 2, 
  208,ZEBUII-AL230,  708,ZEBUII-AL069, 1, 
  708,ZEBUII-AL069,  208,ZEBUII-AL230, 1, 
  208,ZEBUII-AL230,  708,ZEBUII-AL069, 2, 
  708,ZEBUII-AL069,  208,ZEBUII-AL230, 2, 
  209,POCOE2-BA230,  376,BRUMA2-BA230, 1, 
  376,BRUMA2-BA230,  209,POCOE2-BA230, 1, 
  209,POCOE2-BA230,  909,POCOE2-BA138, 1, 
  909,POCOE2-BA138,  209,POCOE2-BA230, 1, 
  209,POCOE2-BA230,  909,POCOE2-BA138, 2, 
  909,POCOE2-BA138,  209,POCOE2-BA230, 2, 
  210,RGONCA-PI230,  215,BALSAS-MA230, 1, 
  215,BALSAS-MA230,  210,RGONCA-PI230, 1, 
  210,RGONCA-PI230,  215,BALSAS-MA230, 2, 
  215,BALSAS-MA230,  210,RGONCA-PI230, 2, 
  210,RGONCA-PI230,  657,RGONCA-PI069, 1, 
  657,RGONCA-PI069,  210,RGONCA-PI230, 1, 
  210,RGONCA-PI230,  969,URUCUI-PI230, 1, 
  969,URUCUI-PI230,  210,RGONCA-PI230, 1, 
  211,CASTEL-PI230,   86,CASTELUHE013, 1,L
   86,CASTELUHE013,  211,CASTEL-PI230, 1,L
  211,CASTEL-PI230,   87,ESTRE-UHE013, 1,L
   87,ESTRE-UHE013,  211,CASTEL-PI230, 1,L
  211,CASTEL-PI230,  228,TERES--PI230, 1, 
  228,TERES--PI230,  211,CASTEL-PI230, 1, 
  212,FLORII-PE230,11281,TACARA-PE230, 1, 
11281,TACARA-PE230,  212,FLORII-PE230, 1, 
  212,FLORII-PE230,11281,TACARA-PE230, 2, 
11281,TACARA-PE230,  212,FLORII-PE230, 2, 
  212,FLORII-PE230,21034,PISF-1-PE230, 1, 
21034,PISF-1-PE230,  212,FLORII-PE230, 1, 
  212,FLORII-PE230,21034,PISF-1-PE230, 2, 
21034,PISF-1-PE230,  212,FLORII-PE230, 2, 
  213,ITAGIB-BA230,  209,POCOE2-BA230, 1, 
  209,POCOE2-BA230,  213,ITAGIB-BA230, 1, 
  213,ITAGIB-BA230,21045,MIRABE-BA230, 1, 
21045,MIRABE-BA230,  213,ITAGIB-BA230, 1, 
  215,BALSAS-MA230,  607,BALSAS-MA069, 1, 
  607,BALSAS-MA069,  215,BALSAS-MA230, 1, 
  215,BALSAS-MA230,  607,BALSAS-MA069, 2, 
  607,BALSAS-MA069,  215,BALSAS-MA230, 2, 
  216,TAUA2--CE230,  616,TAUA2--CE069, 1, 
  616,TAUA2--CE069,  216,TAUA2--CE230, 1, 
  216,TAUA2--CE230,  616,TAUA2--CE069, 2, 
  616,TAUA2--CE069,  216,TAUA2--CE230, 2, 
  216,TAUA2--CE230,11217,CRATO2-CE230, 1, 
11217,CRATO2-CE230,  216,TAUA2--CE230, 1, 
  217,ICO----CE230,  222,BANABU-CE230, 1, 
  222,BANABU-CE230,  217,ICO----CE230, 1, 
  217,ICO----CE230,  222,BANABU-CE230, 2, 
  222,BANABU-CE230,  217,ICO----CE230, 2, 
  217,ICO----CE230,  517,S.MILA-CE230, 1, 
  517,S.MILA-CE230,  217,ICO----CE230, 1, 
  217,ICO----CE230,  517,S.MILA-CE230, 2, 
  517,S.MILA-CE230,  217,ICO----CE230, 2, 
  217,ICO----CE230,  617,ICO----CE069, 1, 
  617,ICO----CE069,  217,ICO----CE230, 1, 
  217,ICO----CE230,  617,ICO----CE069, 2, 
  617,ICO----CE069,  217,ICO----CE230, 2, 
  217,ICO----CE230,  617,ICO----CE069, 3, 
  617,ICO----CE069,  217,ICO----CE230, 3, 
  218,CAUIPE-CE230,  618,CAUIPE-CE069, 1, 
  618,CAUIPE-CE069,  218,CAUIPE-CE230, 1, 
  218,CAUIPE-CE230,  618,CAUIPE-CE069, 2, 
  618,CAUIPE-CE069,  218,CAUIPE-CE230, 2, 
  218,CAUIPE-CE230,  618,CAUIPE-CE069, 3, 
  618,CAUIPE-CE069,  218,CAUIPE-CE230, 3, 
  218,CAUIPE-CE230,11218,MARACN-CE230, 1, 
11218,MARACN-CE230,  218,CAUIPE-CE230, 1, 
  219,D.GOUV-CE230,  619,D.GOUV-CE069, 1, 
  619,D.GOUV-CE069,  219,D.GOUV-CE230, 1, 
  219,D.GOUV-CE230,  619,D.GOUV-CE069, 2, 
  619,D.GOUV-CE069,  219,D.GOUV-CE230, 2, 
  219,D.GOUV-CE230,  619,D.GOUV-CE069, 3, 
  619,D.GOUV-CE069,  219,D.GOUV-CE230, 3, 
  219,D.GOUV-CE230,  619,D.GOUV-CE069, 4, 
  619,D.GOUV-CE069,  219,D.GOUV-CE230, 4, 
  220,BOM-NO-PE230,  120,B.NOME-PE138, 1, 
  120,B.NOME-PE138,  220,BOM-NO-PE230, 1, 
  220,BOM-NO-PE230,  120,B.NOME-PE138, 2, 
  120,B.NOME-PE138,  220,BOM-NO-PE230, 2, 
  220,BOM-NO-PE230,  120,B.NOME-PE138, 3, 
  120,B.NOME-PE138,  220,BOM-NO-PE230, 3, 
