BARRA;NOME;TUST-RB P;TUST-RB FP;TUST-FR P;TUST-FR FP  
5511; B.ESPERANCA - 230;    6,241;    5,802;;
5510; B.ESPERANCA - 500;    5,869;    5,379;;
5678; UB.ESPERANCA - 69;    6,241;    5,803;;
221; BRAS. GERAL - 34,5;    7,793;    7,612;;
227; BRASILIA GERAL - 230;    7,793;    7,612;;
576; BOM JARDIM - 88;    8,756;    8,811;;
575; BOM JARDIM - 138;    8,799;    8,853;;
574; BOM JARDIM - 440;    8,756;    8,811;;
7183; BOM JESUS II - 69;    6,193;    5,778;;
7181; B.JESUS II - 230;    6,193;    5,778;;
3698; BRAS. LESTE - 138;    7,054;    6,740;;
3699; BRASILIA LESTE - 500;    6,999;    6,674;;
5403; BOM NOME - 69;    5,745;    5,327;;
5402; BOM NOME - 138;    5,745;    5,327;;
5401; BOM NOME - 230;    5,745;    5,327;;
4503; BARRA PEIXE - 138;    7,244;    7,043;;
4502; BARRA PEIXE - 230;    7,205;    7,000;;
236; BRAS. SUL - 138;    7,232;    6,950;;
228; BRAS. SUL - 230;    7,575;    7,347;;
219; BRAS. SUL -345;    7,289;    7,017;;
5684; BACAB - MA - 500;    5,946;    5,451;;
1189; BAGE2 - 69;    8,541;    9,240;;
1188; BAGE 2 - 230;    8,541;    9,240;;
479; BAGUACU - 138;    7,974;    7,927;;
478; BAGUACU - 440;    7,988;    7,942;;
1495; BAGUARI - 230;    7,731;    7,460;;
9354; BAIXO IGUACU PR - 230;    8,634;    9,011;;
473; B. SANTISTA - 88;    9,187;    9,296;;
472; B. SANTISTA - 230;    9,385;    9,499;;
471; B. SANTISTA - 345;    9,151;    9,258;;
8501; BALBINA - 230;    6,802;    6,440;;
5393; BALSAS - 69;    5,920;    5,488;;
5391; BALSAS - 230;    5,920;    5,488;;
5423; BANABUIU - 69;    5,581;    5,060;;
5421; BANABUIU - 230;    5,581;    5,060;;
3494; BANDEIRANTES - 34,5;    9,211;    9,323;;
226; BANDEIRANTE GO - 230;    7,775;    7,620;;
218; BANDEIRANTE GO - 345;    7,387;    7,145;;
493; ECH BANDEIRAN - 88;    9,211;    9,323;;
492; BANDEIRANTE SP - 345;    9,211;    9,323;;
309; BARBACENA 2 - 138;    8,356;    8,237;;
308; BARBACENA - 345;    8,392;    8,283;;
633; BARIRI - 138;    8,519;    8,561;;
3056; BARRA DO UNA - 138;    9,006;    9,083;;
6315; BARREIRAS II - 230;    6,081;    5,942;;
6363; BARREIRAS - 69;    6,225;    6,294;;
6365; BARREIRAS - 138;    6,238;    6,338;;
6361; BARREIRAS - 230;    6,225;    6,294;;
6360; BARREIRAS - 500;    5,997;    5,538;;
314; BARREIRO 1 - 138;    8,027;    7,807;;
313; BARREIRO - 345;    8,027;    7,807;;
3190; BASTOS - 138;    7,896;    7,855;;
112; BATEIAS - 500;    8,587;    8,983;;
113; BATEIAS 2 - 500;    8,587;    8,983;;
2359; BATEIAS - 138;    9,079;    9,642;;
814; BATEIAS - 230;    8,992;    9,529;;
895; BATEIAS - 525;    8,593;    9,016;;
114; BATEIAS 3 - 500;    8,578;    8,981;;
562; BAURU - 138;    8,412;    8,437;;
561; BAURU SP - 440;    8,388;    8,409;;
3427; BADY BASSITT - 138;    7,981;    7,928;;
635; BARRA BONITA - 138;    8,823;    8,918;;
9004; BARAO DE COCAIS 3 - 230;    8,437;    8,253;;
4050; B.DESPACHO - 500;    7,311;    7,026;;
709; BERTIOGA II - 138;    9,058;    9,143;;
3844; BERTIOGA 1 - 138;    9,089;    9,178;;
3846; BERTIOGA 3 - 138;    9,024;    9,103;;
4170; BERTIOGA 4 - 138;    9,048;    9,132;;
5513; B. ESPERANCA - 69;    6,241;    5,803;;
4339; BETIM 6 - 138;    7,845;    7,609;;
4337; BETIM 6 -345;    7,873;    7,640;;
9626; B. FLUMINENSE - 500;    8,290;    8,202;;
5158; BONGI - 13,8;    6,996;    6,753;;
936; BARRA GRANDE - 230;    8,121;    8,676;;
7628; COL BOA HORA - 138;    7,610;    7,495;;
948; BIGUACU - 138;    9,071;    9,755;;
947; BAIXO IGUACU SC - 230;    9,006;    9,677;;
946; BIGUACU--525;    8,730;    9,316;;
6584; BIRIGUI 3 - 138;    7,899;    7,845;;
3051; BIRITIBA - 138;    8,947;    9,014;;
6358; B.J.LAPA II - 230;    6,076;    5,615;;
6349; BJLAPAII - 500;    6,123;    5,649;;
6353; B.J.LAPA II - 69;    6,067;    5,607;;
6351; B.J.LAPA - 230;    6,067;    5,607;;
940; BLUMENAU - 138;    9,093;    9,757;;
939; BLUMENAU - 230;    9,054;    9,709;;
938; BLUMENAU - 525;    8,742;    9,295;;
