Número;Nome;T_C N-1;RB_Reg.;RB_Nac.;RB_Média;TB_>= Piso;LI_Env I;LS_Env S;T_C N
222; BANABUIU - 230;; 10,520; 19,900; 15,210; 14,880;;; 14,880;
3909; BANDEIRANTE GO - 345;; 10,130;  6,720;  8,425;  8,095;;;  8,095;
2934; BANDEIRANTE SP - 345;;  3,890;  0,000;  1,945;  5,361;;;  5,361;
1480; BARBACENA - 345;;  8,392;  5,221;  6,806;  6,476;;;  6,476;
11286; BARREIRAS II - 230;; 10,203; 12,339; 11,271; 10,941;;; 10,941;
286; BARREIRAS - 230;;  9,757; 12,097; 10,927; 10,597;;; 10,597;
1482; BARREIRO - 345;;  8,978;  6,170;  7,574;  7,244;;;  7,244;
846; BARREIRAS - 500;; 11,655; 13,058; 12,356; 12,027;;; 12,027;
6627; BATEIAS - 230;;  6,668;  0,000;  3,334;  5,361;;;  5,361;
3696; BATEIAS 3 - 500;;  7,112;  0,028;  3,570;  5,361;;;  5,361;
6628; BATEIAS - 525;;  7,292;  0,000;  3,646;  5,361;;;  5,361;
2628; BAURU SP - 440;;  7,461;  1,833;  4,647;  5,361;;;  5,361;
1612; BARAO DE COCAIS 3 - 230;;  8,359;  6,298;  7,329;  6,999;;;  6,999;
1485; B.DESPACHO - 500;; 10,125;  7,102;  8,614;  8,284;;;  8,284;
529; B.ESPERANCA - 500;; 11,120; 15,698; 13,409; 13,079;;; 13,079;
26454; BETIM 6 -345;;  9,228;  6,354;  7,791;  7,461;;;  7,461;
7740; BAIXO IGUACU SC - 230;;  5,991;  0,000;  2,995;  5,361;;;  5,361;
7741; BIGUACU--525;;  6,847;  0,000;  3,424;  5,361;;;  5,361;
2638; BOM JARDIM - 440;;  6,745;  1,931;  4,338;  5,361;;;  5,361;
385; B.J.LAPA II - 230;; 11,753; 12,078; 11,915; 11,585;;; 11,585;
585; BJLAPAII - 500;; 11,812; 11,740; 11,776; 11,446;;; 11,446;
285; B.J.LAPA - 230;; 11,753; 12,076; 11,914; 11,584;;; 11,584;
35351; BRASILIA LESTE - 500;; 10,768;  8,500;  9,634;  9,304;;;  9,304;
7734; BLUMENAU - 230;;  6,201;  0,000;  3,100;  5,361;;;  5,361;
7733; BLUMENAU - 525;;  6,827;  0,000;  3,413;  5,361;;;  5,361;
220; BOM NOME - 230;; 11,322; 19,847; 15,585; 15,255;;; 15,255;
243; BONGI - 230;;  8,035; 17,286; 12,660; 12,330;;; 12,330;
2777; BOTUCATU - 230;;  5,445;  0,000;  2,722;  5,361;;;  5,361;
3936; BRASILIA GERAL - 230;;  9,327;  6,891;  8,109;  7,779;;;  7,779;
3920; BRAS. SUL - 230;;  9,734;  7,188;  8,461;  8,131;;;  8,131;
3919; BRAS. SUL -345;; 10,262;  7,757;  9,010;  8,680;;;  8,680;
3300; BRASNORTE - 230;;  9,477;  2,758;  6,117;  5,787;;;  5,787;
1600; BRAUNA - 230;;  9,950;  7,801;  8,875;  8,545;;;  8,545;
205; BROT.MACAUBAS - 230;; 12,148; 13,920; 13,034; 12,704;;; 12,704;
376; BRUMADO II - 230;;  8,889; 10,541;  9,715;  9,385;;;  9,385;
38913; HELIO VALGAS MG - 345;; 11,985;  8,931; 10,458; 10,128;;; 10,128;
12318; BURITIRAMA - 500;; 11,797; 14,783; 13,290; 12,960;;; 12,960;
9266; CRUZ ALTA 2 - 230;;  7,352;  0,000;  3,676;  5,361;;;  5,361;
4481; CANA BRAVA - 230;; 12,305; 10,407; 11,356; 11,026;;; 11,026;
6615; C.COMPRIDO - 230;;  6,464;  0,000;  3,232;  5,361;;;  5,361;
270; CIC.DANTAS - 230;; 10,034; 18,286; 14,160; 13,830;;; 13,830;
11461; CAMPO FORMOSO - 230;; 11,603; 16,451; 14,027; 13,697;;; 13,697;
9020; C.INDUSTRIAL - 230;;  6,831;  0,000;  3,416;  5,361;;;  5,361;
236; COELHO NETO - 230;;  8,324; 14,499; 11,411; 11,081;;; 11,081;
11253; CURRAIS NOVOS II - 230;; 11,198; 21,074; 16,136; 15,806;;; 15,806;
3720; C. PAULISTA - 500;;  9,459;  5,006;  7,233;  6,903;;;  6,903;
38871; CACU - 230;; 12,117;  6,090;  9,103;  8,773;;;  8,773;
2649; CABREUVA - 230;;  5,143;  0,458;  2,800;  5,361;;;  5,361;
2647; CABREUVA - 440;;  6,205;  1,350;  3,778;  5,361;;;  5,361;
58008; CAETES II - 230;; 10,217; 18,606; 14,412; 14,082;;; 14,082;
51457; CAMAQUA 3 - 230;;  7,096;  0,000;  3,548;  5,361;;;  5,361;
574; CAMACARI - 500;;  9,357; 14,553; 11,955; 11,625;;; 11,625;
284; CAMACARI IV - 230;;  8,558; 14,100; 11,329; 10,999;;; 10,999;
584; CAMACARI IV - 500;;  9,322; 14,502; 11,912; 11,582;;; 11,582;
9030; CAMAQUA - 230;;  6,952;  0,000;  3,476;  5,361;;;  5,361;
3701; CAMPINAS - 345;;  6,291;  1,280;  3,785;  5,361;;;  5,361;
3700; CAMPINAS - 500;;  7,489;  2,131;  4,810;  5,361;;;  5,361;
38951; CAMPOS 2 - 500;;  9,736;  6,996;  8,366;  8,036;;;  8,036;
9015; CAMPO BOM - 230;;  6,091;  0,000;  3,046;  5,361;;;  5,361;
3785; CAMPOS - 345;;  9,907;  6,638;  8,272;  7,942;;;  7,942;
38873; CANARANA CMT - 230;;  6,805;  4,473;  5,639;  5,361;;;  5,361;
9283; CANDELARIA 2 - 230;;  7,781;  0,000;  3,890;  5,361;;;  5,361;
9040; CANDIOTA 2 - 230;;  7,644;  0,000;  3,822;  5,361;;;  5,361;
7753; CANDIOTA 2 - 525;;  7,599;  0,000;  3,799;  5,361;;;  5,361;
50209; CANDIOTA - 230;;  7,645;  0,000;  3,822;  5,361;;;  5,361;
9045; CANOA 1 - 230;;  6,607;  0,000;  3,304;  5,361;;;  5,361;
9050; CANOAS 2 - 230;;  7,438;  0,000;  3,719;  5,361;;;  5,361;
7778; CANOINHA - 230;;  5,351;  0,000;  2,675;  5,361;;;  5,361;
50215; CAPIVARI-230;;  7,092;  0,000;  3,546;  5,361;;;  5,361;
50212; CAPIVARI-525;;  7,220;  0,000;  3,610;  5,361;;;  5,361;
2622; CAPIVARA - 440;;  8,807;  2,253;  5,530;  5,361;;;  5,361;
1202; CARAJAS GO - 230;;  9,168;  4,801;  6,984;  6,654;;;  6,654;
916; CARAJAS PA - 230;; 10,181; 13,813; 11,997; 11,667;;; 11,667;
2966; CARBOCLORO - 230;;  4,397;  0,000;  2,199;  5,361;;;  5,361;
6624; CASCAVEL - 230;;  7,417;  0,000;  3,708;  5,361;;;  5,361;
44900; CASCAVEL NORT - 230;;  7,324;  0,000;  3,662;  5,361;;;  5,361;
6625; CASCAVEL OESTE - 230;;  7,645;  0,014;  3,830;  5,361;;;  5,361;
6626; CASCAVOE - 525;;  7,988;  0,476;  4,232;  5,361;;;  5,361;
6762; CAMPO ASSOBIO - 230;;  6,090;  0,000;  3,045;  5,361;;;  5,361;
235; CASTANHA - 230;;  8,316; 12,829; 10,572; 10,242;;; 10,242;
51704; CASTERTECH - 230;;  6,503;  0,000;  3,251;  5,361;;;  5,361;
7023; CASTRO NORTE - 230;;  6,111;  0,000;  3,055;  5,361;;;  5,361;
272; CATU - 230;;  7,994; 13,743; 10,869; 10,539;;; 10,539;
218; CAIUPE - 230;;  9,508; 18,445; 13,977; 13,647;;; 13,647;
9062; CAXIAS SUL 2 - 230;;  6,494;  0,000;  3,247;  5,361;;;  5,361;
9065; CAXIAS 5 -230;;  6,575;  0,000;  3,287;  5,361;;;  5,361;
9066; CAXIAS 6 - 230;;  6,522;  0,000;  3,261;  5,361;;;  5,361;
46948; CAXIAS - 230;;  6,874;  0,000;  3,437;  5,361;;;  5,361;
46947; CAXIAS NORTE - 525;;  7,259;  0,000;  3,630;  5,361;;;  5,361;
9060; CAXIAS NORTE - 230;;  6,676;  0,000;  3,338;  5,361;;;  5,361;
7751; CAXIAS RS - 525;;  7,158;  0,000;  3,579;  5,361;;;  5,361;
