GENERATOR,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
EOL ANGICOS I,0,10.878,11.646,12.723,13.841,16.016,16.133,16.579,16.433,16.457,16.437,16.417,16.397000000000002,16.377000000000002,16.357000000000003,16.337000000000003,16.317000000000004,16.297000000000004
EOL ANGICOS II,0,10.878,11.646,12.723,13.841,16.016,16.133,16.579,16.433,16.457,16.437,16.417,16.397000000000002,16.377000000000002,16.357000000000003,16.337000000000003,16.317000000000004,16.297000000000004
EOL APELIOTES(RIACHAO VI),0,10.042,10.812,11.742,12.883,14.52,14.608,15.11,14.946,14.967,14.947000000000001,14.927000000000001,14.907000000000002,14.887000000000002,14.867000000000003,14.847000000000003,14.827000000000004,14.807000000000004
EOL AQUIBATA,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ARAPAPA,0,10.528,10.863,10.503,10.846,11.108,11.102,11.48,11.186,11.202,11.182,11.162,11.142000000000001,11.122000000000002,11.102000000000002,11.082000000000003,11.062000000000003,11.042000000000003
EOL ARARINHA AZUL,0,10.528,10.863,10.503,10.846,11.108,11.102,11.48,11.186,11.202,11.182,11.162,11.142000000000001,11.122000000000002,11.102000000000002,11.082000000000003,11.062000000000003,11.042000000000003
EOL ARATUA 1,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ARENA (RIACHAO VII),0,10.042,10.812,11.742,12.883,14.52,14.608,15.11,14.946,14.967,14.947000000000001,14.927000000000001,14.907000000000002,14.887000000000002,14.867000000000003,14.847000000000003,14.827000000000004,14.807000000000004
EOL ARIZONA 1,0,0,0,0,0,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL AROEIRA,0,10.64,11.454,12.387,13.48,14.842,14.936,15.468,15.311,15.333,15.313,15.293000000000001,15.273000000000001,15.253000000000002,15.233000000000002,15.213000000000003,15.193000000000003,15.173000000000004
EOL AROEIRA 1,0,10.81,11.14,11.257,11.853,12.317,12.333,12.752,12.511,12.529,12.509,12.489,12.469000000000001,12.449000000000002,12.429000000000002,12.409000000000002,12.389000000000003,12.369000000000003
EOL AROEIRA 2,0,10.81,11.14,11.257,11.853,12.317,12.333,12.752,12.511,12.529,12.509,12.489,12.469000000000001,12.449000000000002,12.429000000000002,12.409000000000002,12.389000000000003,12.369000000000003
EOL AROEIRA 3,0,10.81,11.14,11.257,11.853,12.317,12.333,12.752,12.511,12.529,12.509,12.489,12.469000000000001,12.449000000000002,12.429000000000002,12.409000000000002,12.389000000000003,12.369000000000003
EOL AROEIRA 4,0,10.81,11.14,11.257,11.853,12.317,12.333,12.752,12.511,12.529,12.509,12.489,12.469000000000001,12.449000000000002,12.429000000000002,12.409000000000002,12.389000000000003,12.369000000000003
EOL AROEIRA 5,0,10.81,11.14,11.257,11.853,12.317,12.333,12.752,12.511,12.529,12.509,12.489,12.469000000000001,12.449000000000002,12.429000000000002,12.409000000000002,12.389000000000003,12.369000000000003
EOL AROEIRA 6,0,10.81,11.14,11.257,11.853,12.317,12.333,12.752,12.511,12.529,12.509,12.489,12.469000000000001,12.449000000000002,12.429000000000002,12.409000000000002,12.389000000000003,12.369000000000003
EOL AROEIRA 7,0,10.81,11.14,11.257,11.853,12.317,12.333,12.752,12.511,12.529,12.509,12.489,12.469000000000001,12.449000000000002,12.429000000000002,12.409000000000002,12.389000000000003,12.369000000000003
EOL AROEIRA 8,0,10.81,11.14,11.257,11.853,12.317,12.333,12.752,12.511,12.529,12.509,12.489,12.469000000000001,12.449000000000002,12.429000000000002,12.409000000000002,12.389000000000003,12.369000000000003
EOL ASA BRANCA I,0,10.64,11.454,12.387,13.48,14.842,14.936,15.468,15.311,15.333,15.313,15.293000000000001,15.273000000000001,15.253000000000002,15.233000000000002,15.213000000000003,15.193000000000003,15.173000000000004
EOL ASA BRANCA II,0,10.64,11.454,12.387,13.48,14.842,14.936,15.468,15.311,15.333,15.313,15.293000000000001,15.273000000000001,15.253000000000002,15.233000000000002,15.213000000000003,15.193000000000003,15.173000000000004
EOL ASA BRANCA III,0,10.64,11.454,12.387,13.48,14.842,14.936,15.468,15.311,15.333,15.313,15.293000000000001,15.273000000000001,15.253000000000002,15.233000000000002,15.213000000000003,15.193000000000003,15.173000000000004
EOL ASA BRANCA IV,0,10.64,11.454,12.387,13.48,14.842,14.936,15.468,15.311,15.333,15.313,15.293000000000001,15.273000000000001,15.253000000000002,15.233000000000002,15.213000000000003,15.193000000000003,15.173000000000004
EOL ASA BRANCA V,0,10.64,11.454,12.387,13.48,14.842,14.936,15.468,15.311,15.333,15.313,15.293000000000001,15.273000000000001,15.253000000000002,15.233000000000002,15.213000000000003,15.193000000000003,15.173000000000004
EOL ASA BRANCA VI,0,10.64,11.454,12.387,13.48,14.842,14.936,15.468,15.311,15.333,15.313,15.293000000000001,15.273000000000001,15.253000000000002,15.233000000000002,15.213000000000003,15.193000000000003,15.173000000000004
EOL ASA BRANCA VII,0,10.64,11.454,12.387,13.48,14.842,14.936,15.468,15.311,15.333,15.313,15.293000000000001,15.273000000000001,15.253000000000002,15.233000000000002,15.213000000000003,15.193000000000003,15.173000000000004
EOL ASA BRANCA VIII,0,10.64,11.454,12.387,13.48,14.842,14.936,15.468,15.311,15.333,15.313,15.293000000000001,15.273000000000001,15.253000000000002,15.233000000000002,15.213000000000003,15.193000000000003,15.173000000000004
